the_geom,street,postvz_sl,postvz_sg,shape_leng
"{'type': 'MultiLineString', 'coordinates': [[[-73.98657085618159, 40.59853220328418], [-73.98548151761135, 40.59788394681436]]]}",85 STREET,25,NO,383.788930971
"{'type': 'MultiLineString', 'coordinates': [[[-74.22984893511742, 40.51123400691145], [-74.23119062253731, 40.51093330797439]]]}",ACADEMY AVENUE,25,NO,388.830321662
"{'type': 'MultiLineString', 'coordinates': [[[-73.98169760622879, 40.62053232630982], [-73.98228337663805, 40.61997084452003]]]}",20 AVENUE,25,YES,261.323969242
"{'type': 'MultiLineString', 'coordinates': [[[-74.11678355012042, 40.60118044927153], [-74.11788345298369, 40.60116905946114]]]}",MARSHALL AVENUE,25,NO,305.462252259
"{'type': 'MultiLineString', 'coordinates': [[[-74.1358115672816, 40.62507257407577], [-74.1361832232836, 40.62484613066056]]]}",FOREST AVENUE,25,YES,132.098452262
"{'type': 'MultiLineString', 'coordinates': [[[-74.07804422632546, 40.62157056078737], [-74.07785714255131, 40.621205329292586]]]}",TOMPKINS AVENUE,25,YES,142.839868999
"{'type': 'MultiLineString', 'coordinates': [[[-74.08929860212277, 40.63784225283623], [-74.08918022698687, 40.6374597771214]]]}",DESOTO STREET,25,NO,143.166866384
"{'type': 'MultiLineString', 'coordinates': [[[-73.9803984509662, 40.625218978503376], [-73.9782017126607, 40.62389040595558]]]}",52 STREET,25,NO,778.555386771
"{'type': 'MultiLineString', 'coordinates': [[[-74.06542754028038, 40.608999296048246], [-74.06475876785466, 40.60801651215274]]]}",HOME AVENUE,25,NO,403.341087297
"{'type': 'MultiLineString', 'coordinates': [[[-74.13823913707326, 40.63612666216001], [-74.13932008728868, 40.636151093497205]]]}",CASTLETON AVENUE,25,YES,300.145889335
"{'type': 'MultiLineString', 'coordinates': [[[-73.98007156955663, 40.656948381194155], [-73.98065431463105, 40.656389104825514]]]}",10 AVENUE,25,NO,260.118174315
"{'type': 'MultiLineString', 'coordinates': [[[-74.13244070346717, 40.57192945355039], [-74.1343864582717, 40.57170575451563]]]}",ARDSLEY STREET,25,NO,546.667057212
"{'type': 'MultiLineString', 'coordinates': [[[-73.97663699609313, 40.59199877874178], [-73.97569414629731, 40.59210850101435]]]}",AVENUE W,25,NO,264.891121957
"{'type': 'MultiLineString', 'coordinates': [[[-74.0805531531382, 40.637328238782885], [-74.08095004180531, 40.63730493919202]]]}",BROOK STREET,20,YES,110.4796853
"{'type': 'MultiLineString', 'coordinates': [[[-74.19183435335519, 40.54396933519659], [-74.19151721150541, 40.54329743961422]]]}",DELMAR AVENUE,25,NO,260.173471061
"{'type': 'MultiLineString', 'coordinates': [[[-74.09514407070598, 40.5705808685938], [-74.09608998793976, 40.569568531038335]]]}",OLYMPIA BOULEVARD,25,NO,452.868049868
"{'type': 'MultiLineString', 'coordinates': [[[-74.0961331946309, 40.57753433326578], [-74.09647840895246, 40.57712136040261]]]}",IDLEASE PLACE,25,NO,178.419195482
"{'type': 'MultiLineString', 'coordinates': [[[-73.99507607111254, 40.6340849720153], [-73.99518164204969, 40.63323564194608]]]}",NEW UTRECHT AVENUE,25,NO,310.81805681
"{'type': 'MultiLineString', 'coordinates': [[[-73.99777696983533, 40.59496984990427], [-73.99791463060428, 40.59509116189875], [-73.99803915252241, 40.59522151475121], [-73.9981490612583, 40.59535962973817], [-73.99824321323702, 40.59550403002659], [-73.99832076610733, 40.59565313972792]]]}",BELT PARKWAY EXIT 5 WESTBOUND,0,NO,293.224766783
"{'type': 'MultiLineString', 'coordinates': [[[-74.03155948007144, 40.64145010506618], [-74.03122141809959, 40.641462193153444], [-74.03102738515219, 40.64145804024883], [-74.03083438715714, 40.64144222502556], [-74.03071748603999, 40.64142635315585]]]}",SHORE ROAD DRIVE,25,NO,234.618726587
"{'type': 'MultiLineString', 'coordinates': [[[-74.19713740869219, 40.519134242961044], [-74.1986334504298, 40.518832849662466]]]}",HYLAN BOULEVARD,30,YES,430.199312373
"{'type': 'MultiLineString', 'coordinates': [[[-73.99179462959356, 40.62845411432214], [-73.9895920727133, 40.62712536326692]]]}",56 STREET,25,NO,779.838378736
"{'type': 'MultiLineString', 'coordinates': [[[-74.08916069329362, 40.57342432267192], [-74.08968202363044, 40.57287065230746]]]}",PATTERSON AVENUE,25,NO,248.32433728
"{'type': 'MultiLineString', 'coordinates': [[[-73.98533302345712, 40.60746593369464], [-73.98440438664207, 40.607567751387805]]]}",AVENUE P,25,NO,260.504983297
"{'type': 'MultiLineString', 'coordinates': [[[-74.1661547967417, 40.54861402895757], [-74.1666177058937, 40.55070996751616]]]}",BARTLETT AVENUE,25,NO,774.36137816
"{'type': 'MultiLineString', 'coordinates': [[[-74.11568300929483, 40.56752633902106], [-74.11622981538808, 40.56693184523368]]]}",CLAWSON STREET,25,NO,264.557318875
"{'type': 'MultiLineString', 'coordinates': [[[-74.0271839146274, 40.61602535262178], [-74.0271959159122, 40.61589687337069], [-74.02722842012605, 40.61576855855984], [-74.02728141649405, 40.61564324751687], [-74.02735393705312, 40.61552375907423], [-74.02744418536834, 40.61541263039153], [-74.02754967120671, 40.615311989955146]]]}",VERRAZZANO BR UPPER EN 92 ST,0,NO,285.007433592
"{'type': 'MultiLineString', 'coordinates': [[[-74.07936428746206, 40.59300230455324], [-74.0802982858762, 40.59267687296164]]]}",CAMERON AVENUE,25,NO,285.207877502
"{'type': 'MultiLineString', 'coordinates': [[[-73.99611627167558, 40.629240648238635], [-73.99633762546412, 40.62845401559856]]]}",NEW UTRECHT AVENUE,25,NO,293.103662106
"{'type': 'MultiLineString', 'coordinates': [[[-74.13363068450529, 40.5668514048568], [-74.1346559557884, 40.56676431444031]]]}",THOMAS STREET,25,NO,286.617687354
"{'type': 'MultiLineString', 'coordinates': [[[-74.12182297008911, 40.55814160320743], [-74.12211298132107, 40.55772452250238]]]}",GRAYSON STREET,25,NO,171.999076497
"{'type': 'MultiLineString', 'coordinates': [[[-74.12070572232138, 40.600714211416026], [-74.12229572969764, 40.599695407562656]]]}",MANOR ROAD,30,YES,576.825918301
"{'type': 'MultiLineString', 'coordinates': [[[-73.9977206133505, 40.71536511397891], [-73.99849301157406, 40.715641034920466]]]}",BAYARD STREET,20,NO,236.545004365
"{'type': 'MultiLineString', 'coordinates': [[[-74.20277123406248, 40.52591543072968], [-74.20368913284686, 40.525791153455444]]]}",AMBOY ROAD,25,NO,259.166233161
"{'type': 'MultiLineString', 'coordinates': [[[-74.18401289981847, 40.534904935654545], [-74.18292843054843, 40.53345995909844]]]}",RUGGLES STREET,25,NO,606.638538646
"{'type': 'MultiLineString', 'coordinates': [[[-73.99768724729506, 40.6365745119051], [-73.99826640428452, 40.636014111179044]]]}",11 AVENUE,25,NO,259.852270487
"{'type': 'MultiLineString', 'coordinates': [[[-74.11805320923182, 40.56614502432222], [-74.11876186422312, 40.56536344775153]]]}",ISORA PLACE,25,NO,346.190154017
"{'type': 'MultiLineString', 'coordinates': [[[-74.09844147836264, 40.581249934110645], [-74.09909040731269, 40.58073345588234]]]}",HYLAN BOULEVARD,30,YES,260.574188852
"{'type': 'MultiLineString', 'coordinates': [[[-74.10470686110982, 40.58284515730797], [-74.10539908804623, 40.582348038244604]]]}",NORTH RAILROAD AVENUE,25,YES,264.14617774
"{'type': 'MultiLineString', 'coordinates': [[[-74.15863066320598, 40.57926242235511], [-74.1594630978223, 40.578538759386724]]]}",WELLINGTON COURT,25,NO,350.686817436
"{'type': 'MultiLineString', 'coordinates': [[[-74.08208254106052, 40.60824131064517], [-74.08139587601003, 40.60780910628446]]]}",STEUBEN STREET,25,NO,247.27832084
"{'type': 'MultiLineString', 'coordinates': [[[-74.13780740668153, 40.59899653498523], [-74.13782770991776, 40.59870140008483]]]}",FIELDS AVENUE,25,NO,107.6729161
"{'type': 'MultiLineString', 'coordinates': [[[-74.19640335886223, 40.54118141556578], [-74.19872476223675, 40.540534911655776]]]}",SHELDON AVENUE,25,NO,686.864410492
"{'type': 'MultiLineString', 'coordinates': [[[-74.00482005479961, 40.71348325708397], [-74.00631114477878, 40.71417408273913]]]}",CHAMBERS STREET,20,NO,483.960522523
"{'type': 'MultiLineString', 'coordinates': [[[-73.98328341987614, 40.672804125645285], [-73.98092461704627, 40.671662859994946]]]}",3 STREET,25,NO,775.257910264
"{'type': 'MultiLineString', 'coordinates': [[[-73.996266749642, 40.64483478716934], [-73.99424183425714, 40.64361175499408]]]}",41 STREET,25,NO,717.162208448
"{'type': 'MultiLineString', 'coordinates': [[[-74.0860427132117, 40.61882841277734], [-74.08609504193768, 40.61852755815643]]]}",VAN DUZER STREET,25,YES,110.567784567
"{'type': 'MultiLineString', 'coordinates': [[[-74.0835800353424, 40.61163346060637], [-74.08446991655775, 40.611878022135876]]]}",PALMA DRIVE,25,NO,262.648433251
"{'type': 'MultiLineString', 'coordinates': [[[-74.25088179733311, 40.50713119176562], [-74.25173449149305, 40.50689286167272]]]}",SUMMIT ROAD,25,NO,252.517843489
