_1999,_2009,_1995,_2007
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,7,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
