_2001,transport_total,_2012
8,27,R
R,R,R
R,R,R
R,R,R
R,R,R
R,15,R
R,R,R
R,R,R
R,R,R
R,7,R
R,7,R
R,6,R
R,R,R
R,6,R
R,6,R
R,R,R
R,R,R
R,R,R
R,R,R
R,17,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,6,R
R,R,R
R,R,R
R,R,R
R,R,R
R,8,R
R,7,R
R,9,R
R,R,R
R,7,R
R,R,R
6,29,R
R,R,R
R,11,R
R,R,R
R,6,R
R,R,R
R,R,R
R,R,R
R,R,R
R,19,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,26,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,6,R
R,11,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,13,R
R,11,R
R,7,R
R,R,R
R,R,R
R,9,R
R,R,R
R,R,R
R,R,R
7,10,R
R,R,R
R,R,R
R,7,R
R,6,R
R,R,R
R,R,R
R,14,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,9,R
R,12,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,7,R
R,9,R
R,R,R
R,6,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,6,R
R,R,R
R,R,R
R,R,R
R,R,R
R,10,R
R,9,R
R,R,R
R,6,R
R,R,R
R,R,R
R,6,R
R,R,R
R,R,R
R,R,R
R,R,R
R,8,R
R,R,R
R,R,R
R,6,R
R,R,R
R,9,R
R,R,R
R,R,R
R,6,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,20,R
R,R,R
R,11,R
R,R,R
R,R,R
R,9,R
R,10,R
R,R,R
R,R,R
R,R,R
R,R,R
R,7,R
R,R,R
7,12,R
R,R,R
R,R,R
R,R,R
R,10,R
R,R,R
R,7,R
6,22,R
R,R,R
R,R,R
R,6,R
R,11,R
R,8,R
R,R,R
R,R,R
R,R,R
R,R,R
R,8,R
R,R,R
R,R,R
10,41,R
R,9,R
R,8,R
R,R,R
R,R,R
R,20,R
R,R,R
R,R,R
R,12,R
R,R,R
R,11,R
R,10,R
R,R,R
