condo_base_bbl_key,condo_base_block,condo_name,condo_base_boro,condo_number
1009200036100597,920,,1,597
3000270001300658,27,,3,658
3009760040300165,976,,3,165
3057670081300858,5767,,3,858
1013890030100993,1389,,1,993
3056040018300844,5604,,3,844
3022370035300621,2237,,3,621
1018230047100807,1823,,1,807
3056700044300840,5670,,3,840
4092700044400313,9270,,4,313
1013880032101030,1388,,1,1030
1001900013101237,190,,1,1237
1001000003101286,100,,1,1286
1002740012101291,274,,1,1291
4161130001400463,16113,,4,463
4162330044400173,16233,,4,173
3001790038300139,179,,3,139
3037730016300464,3773,,3,464
3054380075301251,5438,,3,1251
1015360001101277,1536,,1,1277
3053880043300753,5388,,3,753
1001890011100816,189,,1,816
3008070055301072,807,,3,1072
4019900007400296,1990,,4,296
1007790030100504,779,,1,504
1005000024101439,500,,1,1439
1015370001101277,1537,,1,1277
3071670011301127,7167,,3,1127
1001730010101434,173,,1,1434
3037550040300464,3755,,3,464
3056770062300370,5677,,3,370
3024170029301488,2417,,3,1488
3003470036300074,347,,3,74
3004030009300812,403,,3,812
3021130016300816,2113,,3,816
3055930066300581,5593,,3,581
1021640001100769,2164,,1,769
1005940021101379,594,,1,1379
1006990030100672,699,,1,672
1011650060100472,1165,,1,472
1014190015100833,1419,,1,833
1004920019100382,492,,1,382
5060240078500038,6024,,5,38
1001740017101397,174,,1,1397
3073980043301282,7398,,3,1282
1018690061100708,1869,,1,708
1009100033101320,910,,1,1320
1001340005101079,134,,1,1079
1010090010100364,1009,,1,364
1001890017100838,189,,1,838
5038930048500024,3893,OCEANWOODS CONDOMINIUM,5,24
2054170001200069,5417,,2,69
1014360030100546,1436,,1,546
1011790050100412,1179,,1,412
1011630026100231,1163,,1,231
1001930032100588,193,,1,588
1014580020100645,1458,,1,645
3066670021301484,6667,,3,1484
4050410014400221,5041,,4,221
4019100023400129,1910,,4,129
3055100070300160,5510,,3,160
1014870023100419,1487,,1,419
3079910135300263,7991,,3,263
4051020025400361,5102,,4,361
1013790037101015,1379,,1,1015
5024020400500125,2402,,5,125
1016460006101512,1646,,1,1512
1014090025100299,1409,,1,299
3009390027300349,939,,3,349
4051370127400121,5137,,4,121
3026980042301455,2698,,3,1455
3022380134301376,2238,,3,1376
1014130061100257,1413,,1,257
4114170050400012,11417,,4,12
3055930065300543,5593,,3,543
3009660032300083,966,,3,83
4018660030400216,1866,,4,216
4016170135400321,1617,,4,321
1013420006100061,1342,,1,61
3066510004301149,6651,,3,1149
3021470032300506,2147,,3,506
3074680063300734,7468,,3,734
3019130013301041,1913,,3,1041
4040760005400391,4076,,4,391
3021650101300881,2165,THE 525 - 535 PARK PLAZA CONDOMINIUM,3,881
5000690031500102,69,,5,102
3026180007300379,2618,,3,379
3022410112300854,2241,,3,854
1019250004101488,1925,,1,1488
3054950410300904,5495,,3,904
2031540009200022,3154,TOWER CONDOMINIUM ASSOCIATION,2,22
4056880001400049,5688,,4,49
3087930047300520,8793,,3,520
3021320003300798,2132,,3,798
3055910057301518,5591,,3,1518
3074700027300763,7470,,3,763
1005570009100039,557,,1,39
3018550008301589,1855,,3,1589
3069240010301471,6924,,3,1471
2039430100200023,3943,,2,23
1013610119101118,1361,,1,1118
1014930013101037,1493,,1,1037
1009980001100717,998,,1,717
1005440032102004,544,,1,2004
1015570001100752,1557,,1,752
3010480047301216,1048,,3,1216
3059130027300694,5913,,3,694
5054610067500088,5461,,5,88
1012250013100004,1225,,1,4
3024080035301382,2408,,3,1382
1015050050100100,1505,,1,100
2036430001200029,3643,,2,29
3056280068300672,5628,,3,672
3002860040301011,286,,3,1011
3003910008300091,391,,3,91
1014430023100175,1443,,1,175
1004970031101214,497,,1,1214
1012840069101344,1284,,1,1344
1014040069100151,1404,,1,151
4002750015400384,275,,4,384
1002770011100884,277,,1,884
3056850057300101,5685,,3,101
1015420001100250,1542,,1,250
3011710038301500,1171,,3,1500
3068010016301599,6801,,3,1599
