condo_billing_bbl,condo_key
4002757501,400384
3057037502,300687
4040767501,400391
3056217501,300282
3010537501,301128
3021657501,300881
1004927502,100382
1014437501,100175
3055937508,300543
3037737501,300464
3056857503,300101
1007797502,100504
4018667503,400270
3053887501,300753
3052777501,300135
1008447503,101492
1005927502,100788
4016177501,400321
1014877502,100419
3055107502,300160
1015577502,100752
3056707502,300840
3024087502,301382
5053107501,500109
3057697501,301262
3057527501,301348
1012267501,100511
3069247502,301471
3009767501,300165
5060247501,500038
3056357501,300366
3037557501,300464
2036517501,200035
3082177501,300052
1005007506,101439
3054387501,301251
3004037504,300812
1014197503,100833
3002867501,300051
1015057502,100100
4050227501,400034
1001907507,101237
1015427501,100250
4018667501,400216
3022377512,301153
3002627502,300009
1014097501,100299
1001897505,100838
3003477502,300074
1012877501,100013
1001897504,100816
5070547501,500029
1008867503,100587
1014047501,100151
1002777503,100884
1014587502,100645
3003917501,300091
1013897502,100993
1005577501,100039
4050417503,400221
4051377501,400121
3001797501,300139
3071677502,301127
1014937506,101037
1012257501,100004
3021477504,300506
3000277501,300658
1002027501,100222
3024177502,301488
3009547501,300076
3021137501,300816
1001327504,101069
3057677501,300858
1010097501,100364
4049557502,400248
2054177502,200069
3018557501,301589
1014147502,101465
3074687502,300734
1010537501,100233
3066517501,301149
1002747502,101291
1005447501,102004
1001937504,100588
1014097503,100639
3056437503,300079
1009037503,100321
1004697503,101085
4051027501,400361
3087937501,300520
3002867503,301011
5024027502,500125
4019107501,400129
3021297506,301333
3022417525,301088
3010667501,300679
2036437501,200029
3021327501,300798
4019907501,400296
4114177502,400012
1006997501,100672
1018697502,100708
3022417507,300859
3056067501,300140
3008077501,301072
3073987503,301282
4021197501,400183
1013427501,100061
1011657502,100472
1015367501,101277
1013037501,100305
3022307501,300737
3019137503,301041
3010487501,301216
1006387502,101211
3011717502,301500
3019667501,301147
1011637501,100231
3056287508,300672
3056777501,300370
3011717502,301500
3026187501,300379
1006327502,100962
3017347504,301139
1001347502,101079
3022347504,301035
3002607502,301254
1004977502,101214
1000167505,100371
1016807501,100458
3056047503,300844
2039437501,200023
3087207508,301138
5000697501,500102
4056887501,400049
3066677501,301484
3022417506,300854
1013887503,101030
1014677501,100687
3055917502,301518
1014367502,100546
3068017502,301599
3009747501,300847
1004707501,100564
1019557501,101340
1009107501,101320
4049557510,400276
3022377508,300621
3009837501,300644
1018497501,101035
3056777502,300390
1013617501,101118
5038937501,500024
1016467502,101512
2031547501,200022
3002437501,300874
4001607501,400308
1013797502,101015
1001357502,100662
1004737502,101179
1004347504,101526
3026987501,301455
1021647501,100769
3074707502,300763
3009667501,300083
1001737502,101434
1001007501,101286
5054617501,500088
4162337501,400173
1011797502,100412
4092707501,400313
3010927501,300440
1009207501,100597
3054957501,300904
1003777501,101288
3064017501,301418
1012847501,101344
3079917501,300263
1001747502,101397
3022647514,301283
1015377501,101277
1005947504,101379
1018237501,100807
1003927501,100341
4018667502,400269
1009987501,100717
3009397501,300349
4155577501,400179
3022387504,301376
3055937509,300581
3021317501,300539
1014137501,100257
4161137501,400463
5009427501,500140
1019257501,101488
3059137501,300694
3064177501,301413
1011587503,100414
1006077501,100392
1001797504,101072
