condo_base_bbl,condo_billing_bbl
4002750015,4002757501
3057030072,3057037502
4040760005,4040767501
3056210056,3056217501
3010530076,3010537501
3021650101,3021657501
1004920019,1004927502
1014430023,1014437501
3055930065,3055937508
3037730016,3037737501
3056850057,3056857503
1007790030,1007797502
4018660064,4018667503
3053880043,3053887501
3052770010,3052777501
1008440010,1008447503
1005920058,1005927502
4016170135,4016177501
1014870023,1014877502
3055100070,3055107502
1015570001,1015577502
3056700044,3056707502
3024080035,3024087502
5053100073,5053107501
3057690020,3057697501
3057520058,3057527501
1012260007,1012267501
3069240010,3069247502
3009760040,3009767501
5060240078,5060247501
3056350055,3056357501
3037550040,3037557501
2036510001,2036517501
3082170046,3082177501
1005000024,1005007506
3054380075,3054387501
3004030009,3004037504
1014190015,1014197503
3002860006,3002867501
1015050050,1015057502
4050220048,4050227501
1001900013,1001907507
1015420001,1015427501
4018660030,4018667501
3022370017,3022377512
3002620035,3002627502
1014090025,1014097501
1001890017,1001897505
3003470036,3003477502
1012870001,1012877501
1001890011,1001897504
5070540301,5070547501
1008860018,1008867503
1014040069,1014047501
1002770011,1002777503
1014580020,1014587502
3003910008,3003917501
1013890030,1013897502
1005570009,1005577501
4050410014,4050417503
4051370127,4051377501
3001790038,3001797501
3071670011,3071677502
1014930013,1014937506
1012250013,1012257501
3021470032,3021477504
3000270001,3000277501
1002020001,1002027501
3024170029,3024177502
3009540049,3009547501
3021130016,3021137501
1001320010,1001327504
3057670081,3057677501
1010090010,1010097501
4049550117,4049557502
2054170001,2054177502
3018550008,3018557501
1014140002,1014147502
3074680063,3074687502
1010530016,1010537501
3066510004,3066517501
1002740012,1002747502
1005440032,1005447501
1001930032,1001937504
1014090017,1014097503
3056430063,3056437503
1009030059,1009037503
1004690035,1004697503
4051020025,4051027501
3087930047,3087937501
3002860040,3002867503
5024020400,5024027502
4019100023,4019107501
3021290018,3021297506
3022410119,3022417525
3010660055,3010667501
2036430001,2036437501
3021320003,3021327501
4019900007,4019907501
4114170050,4114177502
1006990030,1006997501
1018690061,1018697502
3022410114,3022417507
3056060021,3056067501
3008070055,3008077501
3073980043,3073987503
4021190001,4021197501
1013420006,1013427501
1011650060,1011657502
1015360001,1015367501
1013030024,1013037501
3022300010,3022307501
3019130013,3019137503
3010480047,3010487501
1006380031,1006387502
3011710038,3011717502
3019660006,3019667501
1011630026,1011637501
3056280068,3056287508
3056770062,3056777501
3011710035,3011717502
3026180007,3026187501
1006320010,1006327502
3017340027,3017347504
1001340005,1001347502
3022340024,3022347504
3002600048,3002607502
1004970031,1004977502
1000160065,1000167505
1016800005,1016807501
3056040018,3056047503
2039430100,2039437501
3087200165,3087207508
5000690031,5000697501
4056880001,4056887501
3066670021,3066677501
3022410112,3022417506
1013880032,1013887503
1014670045,1014677501
3055910057,3055917502
1014360030,1014367502
3068010016,3068017502
3009740122,3009747501
1004700040,1004707501
1019550005,1019557501
1009100033,1009107501
4049550043,4049557510
3022370035,3022377508
3009830047,3009837501
1018490031,1018497501
3056770064,3056777502
1013610119,1013617501
5038930048,5038937501
1016460006,1016467502
2031540009,2031547501
3002430031,3002437501
4001600039,4001607501
1013790037,1013797502
1001350008,1001357502
1004730006,1004737502
1004340030,1004347504
3026980042,3026987501
1021640001,1021647501
3074700027,3074707502
3009660032,3009667501
1001730010,1001737502
1001000003,1001007501
5054610067,5054617501
4162330044,4162337501
1011790050,1011797502
4092700044,4092707501
3010920037,3010927501
1009200036,1009207501
3054950410,3054957501
1003770015,1003777501
3064010027,3064017501
1012840069,1012847501
3079910135,3079917501
1001740017,1001747502
3022640022,3022647514
1015370001,1015377501
1005940021,1005947504
1018230047,1018237501
1003920001,1003927501
4018660062,4018667502
1009980001,1009987501
3009390027,3009397501
4155570067,4155577501
3022380134,3022387504
3055930066,3055937509
3021310021,3021317501
1014130061,1014137501
4161130001,4161137501
5009420016,5009427501
1019250004,1019257501
3059130027,3059137501
3064170013,3064177501
1011580080,1011587503
1006070061,1006077501
1001790010,1001797504
