buildingid,isaep,worktypegeneral,iscommercialdemolition,apartment,streetname,nta
43026,,GC,,53,WEST 164 STREET,Washington Heights (South)
538405,,ASBEST,,,125 STREET,South Ozone Park
809072,,DELEAD,,E1,OCEAN PARKWAY,Coney Island-Sea Gate
324088,,GC,,5B,LENOX ROAD,Prospect Lefferts Gardens-Wingate
109910,,DELEAD,,3A,SOUTH OAK DRIVE,Williamsbridge-Olinville
734220,,GC,,1,ELM STREET,West New Brighton-New Brighton-St. George
637161,AEP,GC,,1,BEACH CHANNEL DRIVE,Hammels-Arverne-Edgemere
506654,,GC,,C3,96 STREET,East Elmhurst
417081,,PLUMB,,2NDFL,31 AVENUE,Old Astoria
374127,,GC,,2R,ST JOHNS PLACE,Crown Heights North
806269,,GC,,3,BATHGATE AVENUE,Claremont-Bathgate
347166,,DELEAD,,B1,OCEAN AVENUE,Flatbush
150096,,DELEAD,,A2,43 STREET,Borough Park
92773,,GC,,1B,LORING PLACE SOUTH,University Heights-Morris Heights
42484,,GC,,B68,WEST 151 STREET,Harlem (North)
693458,,GC,,306,SANFORD AVENUE,Flushing
247557,,DELEAD,,D16,EAST 18 STREET,Madison
809554,,GC,,,STANLEY AVENUE,East New York-New Lots
808963,,GC,,6F,NEW YORK AVENUE,East Flatbush-Farragut
332220,,GC,,1D,MAPLE STREET,Prospect Lefferts Gardens-Wingate
303345,,DELEAD,,1L,GRATTAN STREET,Bushwick North
1009703,,DEMOL,,,EAST 188 STREET,Fordham Heights
117077,,GC,,4C,VALENTINE AVENUE,Bedford Park-Fordham North
353248,,GC,,3F,PENNSYLVANIA AVENUE,East New York
89061,,GC,,,JESUP AVENUE,Highbridge
646832,,DELEAD,,1FL,CORONA AVENUE,Corona
118827,,GC,,,WALLACE AVENUE,Pelham Parkway-Van Nest
114409,,GC,,B22,TIEBOUT AVENUE,Mount Hope
694083,,GC,,,SEAGIRT AVENUE,Far Rockaway-Bayswater
91591,,GC,,2F,LELAND AVENUE,West Farms-Bronx River
94062,AEP,GC,,2R,MANOR AVENUE,Soundview-Bruckner
297216,,DEMOL,,,FULTON STREET,Bedford-Stuyvesant (West)
54200,,DELEAD,,BASEME,BURR AVENUE,Pelham Bay-Country Club-City Island
1011656,,ASBEST,,,53 AVENUE,Elmhurst
91591,,GC,,,LELAND AVENUE,Soundview-Bruckner-Bronx River
8378,,GC,,4H,BROADWAY,Marble Hill-Inwood
119081,,GC,,4A,WALTON AVENUE,Mount Hope
294967,,GC,,B9,FOSTER AVENUE,Flatbush
287547,,GC,,,EASTERN PARKWAY,Crown Heights North
332786,,GC,,,MARINE AVENUE,Bay Ridge
118980,,DELEAD,,1F,WALLACE AVENUE,Williamsbridge-Olinville
265461,,GC,,,EAST 46 STREET,East Flatbush-Farragut
577067,,GC,,1FL,173 STREET,South Jamaica
4095,,GC,,3A,FREDERICK DOUGLASS BOULEVARD,Harlem (North)
60430,,GC,,3I,DAVIDSON AVENUE,University Heights (South)-Morris Heights
116839,,GC,,1H,UNIVERSITY AVENUE,University Heights-Morris Heights
577067,,GC,,2FL,173 STREET,South Jamaica
222903,,GC,,19,CLINTON AVENUE,Clinton Hill
897264,,GC,,5,ST GEORGES CRESCENT,Bedford Park
60275,,DELEAD,,1J,CRUGER AVENUE,Williamsbridge-Olinville
213192,,GC,,6G,BRIGHTON 13 STREET,Brighton Beach
81591,,GC,,,GRAND AVENUE,Kingsbridge Heights
81844,,DELEAD,,1F,GRAND CONCOURSE,Bedford Park-Fordham North
283221,,DELEAD,,1F,EAST 94 STREET,Rugby-Remsen Village
684673,,GC,,3N,NORTHERN BOULEVARD,Murray Hill
149861,,GC,,,42 STREET,Sunset Park (East)-Borough Park (West)
317226,,GC,,,JEFFERSON AVENUE,Bedford
73965,,GC,,1H,EAST TREMONT AVENUE,Westchester Square
30455,,GC,,,WEST 15 STREET,Hudson Yards-Chelsea-Flatiron-Union Square
116839,,GC,,1C,UNIVERSITY AVENUE,University Heights-Morris Heights
215971,,GC,,,BUSHWICK AVENUE,Bushwick South
43445,,GC,,4C,WEST 182 STREET,Washington Heights (North)
520396,,GC,,,MERRICK BOULEVARD,South Jamaica
190393,,GC,,2G,AVENUE L,Midwood
374870,,GC,,GROUND,ST MARKS AVENUE,Crown Heights North
459832,,GC,,,67 AVENUE,Forest Hills
715935,,GC,,1,BIDWELL AVENUE,Westerleigh
108467,,GC,,4G,SEDGWICK AVENUE,Kingsbridge Heights
281981,AEP,GC,,,EAST 92 STREET,Rugby-Remsen Village
21527,,GC,,3E,ELLWOOD STREET,Washington Heights (North)
117194,,GC,,2B,VALENTINE AVENUE,Bedford Park
60500,,GC,,,DAVIDSON AVENUE,Fordham South
287492,,DELEAD,,12R,EASTERN PARKWAY,Crown Heights North
108628,AEP,GC,,DD,SELWYN AVENUE,East Concourse-Concourse Village
