omonumber,latitude,longitude,omoawarddate,zip,lifecycle,servicechargeflag,omostatusreason,femaeventid
EM07394,40.575868,-73.968639,2021-10-23T00:00:00.000,11235.0,Standing Building,False,OMO Completed,
EO10476,40.843191,-73.888393,2024-01-30T00:00:00.000,10460.0,Standing Building,False,OMO Completed,
EM21082,40.592673,-73.799249,2022-04-21T00:00:00.000,11692.0,Standing Building,False,OMO Completed,
EL08286,40.668409,-73.759808,2020-12-01T00:00:00.000,11413.0,Standing Building,False,OMO Completed,
EO10401,40.758043,-73.857569,2023-11-01T00:00:00.000,11368.0,Standing Building,True,Owner Refused Access,
DM00373,40.761251,-73.991398,2022-07-05T00:00:00.000,10036.0,Standing Building,False,OMO Completed,
EM14312,40.684254,-73.941687,2022-01-12T00:00:00.000,11221.0,Standing Building,True,No Access,
EO08361,40.828169,-73.940567,2024-01-30T00:00:00.000,10031.0,Standing Building,False,OMO Completed,
EM24439,40.614481,-73.979336,2022-07-12T00:00:00.000,11204.0,Standing Building,True,No Access,
EO11571,40.882479,-73.880859,2023-11-01T00:00:00.000,10467.0,Standing Building,False,OMO Completed,
EM27469,40.669967,-73.952618,2022-07-07T00:00:00.000,11225.0,Standing Building,True,No Access,
EO18891,40.897242,-73.854117,2024-01-30T00:00:00.000,10466.0,Standing Building,True,No Access,
EM02134,40.726824,-73.975986,2021-12-10T00:00:00.000,10009.0,Standing Building,True,No Access,
EM00920,40.820883,-73.937264,2021-07-13T00:00:00.000,10039.0,Standing Building,False,OMO Completed,
EN01374,40.84902,-73.917491,2022-09-24T00:00:00.000,10453.0,Standing Building,False,OMO Completed,
DM00396,,,2022-02-16T00:00:00.000,,Standing Building,False,OMO Completed,
EO18760,40.867298,-73.894929,2024-01-30T00:00:00.000,10468.0,Standing Building,True,No Access,
EM20991,40.64774,-73.959517,2022-04-14T00:00:00.000,11226.0,Standing Building,False,OMO Completed,
EM26406,40.768519,-73.987162,2022-07-12T00:00:00.000,10019.0,Standing Building,True,No Access,
EL19288,40.838951,-73.937572,2021-07-28T00:00:00.000,10032.0,Standing Building,True,No Access,
EL01933,40.602238,-73.954146,2020-08-10T00:00:00.000,11229.0,Standing Building,False,OMO Completed,
EM14027,40.701346,-73.783403,2022-01-11T00:00:00.000,11433.0,Standing Building,True,Refused Access,
EO18633,40.817256,-73.903715,2024-01-30T00:00:00.000,10455.0,Standing Building,True,No Access,
EK25397,40.823922,-73.899153,2020-05-13T00:00:00.000,10459.0,Standing Building,True,Landlord Complied,
EO11713,40.863662,-73.866406,2023-11-01T00:00:00.000,10467.0,Standing Building,False,OMO Completed,
EM08270,40.804054,-73.946527,2021-10-22T00:00:00.000,10027.0,Standing Building,False,OMO Completed,
EO18634,40.869671,-73.864597,2024-01-30T00:00:00.000,10467.0,Standing Building,True,No Access,
EN01791,40.871349,-73.88895,2022-09-24T00:00:00.000,10468.0,Standing Building,False,OMO Completed,
EN13360,40.670352,-73.926591,2023-01-21T00:00:00.000,11213.0,Standing Building,True,No Access,
EL06858,40.884882,-73.89995,2020-10-30T00:00:00.000,10463.0,Standing Building,True,No Access,
EM05803,40.617645,-74.03629,2021-11-04T00:00:00.000,11209.0,Standing Building,True,Owner Refused Access,
EM24963,40.872255,-73.866129,2022-07-12T00:00:00.000,10467.0,Standing Building,True,No Access,
