latitude,longitude,lot
40.659457,-73.891292,52
40.863401,-73.904512,9
40.853589,-73.898504,23
40.753596,-73.928585,1
40.836877,-73.938022,70
40.848237,-73.887275,63
40.818587,-73.946815,102
40.681877,-73.959182,7
40.669967,-73.952618,13
40.76648,-73.871876,38
40.871679,-73.886465,42
40.825068,-73.875499,52
40.697151,-73.784159,11
40.702385,-73.83194,38
40.845253,-73.883698,29
40.871564,-73.864272,24
40.854252,-73.936292,46
40.726824,-73.975986,1
40.855865,-73.864777,42
40.701346,-73.783403,113
40.80954,-73.921806,120
40.725023,-73.855031,13
40.757774,-73.87238,33
40.825551,-73.93662,38
40.645205,-74.004454,34
40.70554,-73.895235,31
40.808992,-73.91464,30
40.648017,-73.906903,1
40.671784,-73.952833,76
40.681304,-73.941289,49
40.828169,-73.940567,49
40.872255,-73.866129,21
40.818459,-73.918671,7
40.897645,-73.853797,14
40.849329,-73.890233,30
40.708152,-73.939931,20
40.863662,-73.866406,57
40.696181,-73.971604,50
40.861544,-73.92925,119
40.64503,-73.998126,21
40.850131,-73.933893,6
40.804236,-73.948058,4
40.668409,-73.759808,34
40.848728,-73.89613,29
40.652491,-73.914602,31
40.682864,-73.966757,21
40.864049,-73.902342,85
40.642919,-74.094224,107
40.619284,-73.956411,31
40.575868,-73.968639,62
40.647009,-74.007445,10
40.700651,-73.914642,48
40.74085,-74.003006,56
40.738216,-73.87316,71
40.660777,-73.95132,39
40.841312,-73.884211,57
40.853905,-73.827556,37
40.865531,-73.889693,81
40.8604,-73.903841,34
40.640907,-73.933116,67
40.868641,-73.890285,33
40.690908,-73.954457,15
40.857911,-73.907076,28
40.882479,-73.880859,3
40.829134,-73.943146,12
40.602238,-73.954146,29
40.629055,-73.973496,18
40.905645,-73.849026,24
40.578455,-73.956593,64
40.849197,-73.908169,31
40.639516,-74.114279,81
40.836135,-73.942078,12
40.836789,-73.864335,26
40.765183,-73.819104,64
40.842519,-73.852823,22
40.662296,-73.926953,10
40.848795,-73.909565,29
40.869871,-73.905985,67
40.84354,-73.941847,185
40.84878,-73.907913,65
40.758043,-73.857569,7501
40.742573,-73.866682,26
40.862034,-73.923563,39
40.761251,-73.991398,41
40.818518,-73.945088,47
40.628918,-73.991289,4
40.627768,-73.944157,75
40.65819,-73.898124,1
40.760956,-73.830378,76
40.831562,-73.894856,38
40.86822,-73.918241,5
40.668712,-73.929379,53
40.869502,-73.904438,100
40.862217,-73.870509,22
40.668992,-73.934811,33
40.64774,-73.959517,44
40.803414,-73.958006,68
40.612949,-73.963939,57
40.638361,-73.945315,1
40.592673,-73.799249,49
40.855232,-73.91423,97
40.76812,-73.931682,103
40.828409,-73.908494,1
40.865035,-73.88725,38
40.733636,-73.956037,58
40.687997,-73.909494,55
40.595996,-73.742187,1
40.708645,-73.789395,48
40.620977,-73.955308,5
40.701346,-73.783403,113
40.863451,-73.896389,64
40.840838,-73.910309,51
40.87224,-73.864823,15
40.859887,-73.904131,55
40.859148,-73.897209,32
40.854027,-73.930303,46
40.8539,-73.929128,45
40.595485,-73.795398,6
40.884882,-73.89995,49
40.692345,-73.929826,19
40.836789,-73.864335,26
40.84354,-73.941847,185
40.615752,-74.0815,265
40.750161,-73.880457,40
40.614481,-73.979336,64
,,17
40.670352,-73.926591,54
40.64774,-73.959517,44
40.660225,-73.881862,1
40.854382,-73.861856,22
40.612677,-74.083078,1
40.665,-73.767992,28
40.84902,-73.917491,112
40.758515,-73.822002,38
40.84902,-73.917491,112
40.834281,-73.896926,45
40.839176,-73.850142,6
40.78444,-73.951988,158
40.84716,-73.936932,47
40.675664,-73.954712,69
40.867298,-73.894929,14
40.837894,-73.942065,58
40.615978,-74.030908,4
40.851266,-73.882994,35
40.708047,-73.89342,65
40.768519,-73.987162,57
40.638882,-73.943921,40
40.871349,-73.88895,93
40.76175,-73.873076,32
40.706109,-73.928957,34
40.744992,-73.924986,40
40.850531,-73.895089,19
40.710439,-73.958999,32
40.834382,-73.929554,138
40.659509,-73.924876,59
40.72606,-73.848329,27
40.820883,-73.937264,20
40.804054,-73.946527,9
40.841653,-73.920446,29
40.687747,-73.819162,15
40.644793,-73.954578,39
40.861533,-73.906023,53
40.847708,-73.913484,57
40.838951,-73.937572,84
40.595967,-73.802184,30
40.77157,-73.926479,35
40.862101,-73.909236,148
40.653911,-73.953804,42
40.85434,-73.918648,56
40.635808,-73.95831,107
40.779462,-73.985803,49
40.843191,-73.888393,25
40.817256,-73.903715,61
40.84381,-73.934047,48
40.843189,-73.922963,98
40.657749,-73.896568,68
40.620361,-74.136392,21
40.876299,-73.884591,75
40.612677,-74.083078,1
40.822728,-73.939553,13
40.81558,-73.886933,150
40.840838,-73.910309,51
40.696458,-73.80806,27
40.575868,-73.968639,62
,,14
40.659186,-73.922058,66
40.823922,-73.899153,44
40.853172,-73.898664,18
40.876199,-73.873349,37
40.703888,-73.919633,7502
40.869671,-73.864597,2
40.861218,-73.897213,41
40.617645,-74.03629,37
40.858583,-73.897445,30
40.633786,-73.98102,21
40.860402,-73.905843,21
40.764466,-73.939873,19
40.684254,-73.941687,42
40.897242,-73.854117,6
40.679718,-73.937018,1
