physicalid,r_low_hn,l_blkfc_id,modified
212,220.0,1222607473,2021-12-07T00:00:00.000
215,144.0,1222607470,2021-12-07T00:00:00.000
41,,212260137,2020-08-28T00:00:00.000
214,164.0,1222607472,2021-12-07T00:00:00.000
113,0.0,212261159,2019-01-03T00:00:00.000
141,76.0,212260419,2017-10-13T00:00:00.000
61,26.0,212260079,2019-04-15T00:00:00.000
51,70.0,212261435,2017-11-21T00:00:00.000
142,39.0,212260904,2019-04-15T00:00:00.000
235,396.0,1222600243,2020-01-09T00:00:00.000
152,195.0,1222603507,2019-04-15T00:00:00.000
236,390.0,1222600243,2020-01-09T00:00:00.000
86,76.0,212262263,2018-04-19T00:00:00.000
251,248.0,1222600272,2020-01-09T00:00:00.000
234,406.0,1222600243,2020-01-09T00:00:00.000
123,135.0,212261390,2019-04-15T00:00:00.000
77,55.0,212260695,2020-01-08T00:00:00.000
70,125.0,212260905,2017-07-18T00:00:00.000
125,161.0,212260938,2019-04-15T00:00:00.000
96,240.0,212261633,2017-03-17T00:00:00.000
252,226.0,1222600272,2020-01-09T00:00:00.000
186,,1222600442,2020-01-09T00:00:00.000
146,95.0,212261527,2019-04-15T00:00:00.000
224,28.0,1222600273,2020-01-09T00:00:00.000
124,155.0,212261655,2019-04-15T00:00:00.000
62,22.0,212260079,2019-04-15T00:00:00.000
46,90.0,212260169,2019-01-03T00:00:00.000
189,802.0,1322600623,2020-01-09T00:00:00.000
243,,1222600033,2020-01-09T00:00:00.000
108,352.0,212261607,2019-04-15T00:00:00.000
159,321.0,1222600852,2017-03-17T00:00:00.000
158,305.0,1222605942,2017-03-17T00:00:00.000
210,260.0,1222607474,2021-12-07T00:00:00.000
148,121.0,212260804,2019-04-15T00:00:00.000
88,126.0,212261577,2018-04-19T00:00:00.000
187,760.0,1222600442,2020-01-09T00:00:00.000
169,1.0,212261291,2019-10-22T00:00:00.000
120,77.0,212261509,2019-04-15T00:00:00.000
203,460.0,1222607495,2020-01-09T00:00:00.000
44,,212260137,2020-08-28T00:00:00.000
116,1.0,212261132,2019-04-15T00:00:00.000
139,32.0,212260348,2018-12-17T00:00:00.000
133,2.0,212260929,2017-07-18T00:00:00.000
192,678.0,1222600409,2020-01-09T00:00:00.000
89,152.0,212260416,2018-04-19T00:00:00.000
258,148.0,212260499,2020-01-09T00:00:00.000
221,82.0,1222607464,2020-01-09T00:00:00.000
205,420.0,1222607491,2020-01-09T00:00:00.000
45,100.0,0,2017-03-17T00:00:00.000
91,170.0,212261765,2018-04-19T00:00:00.000
259,140.0,212260499,2020-01-09T00:00:00.000
101,,0,2020-01-08T00:00:00.000
134,0.0,212260175,2017-07-18T00:00:00.000
182,,1322601370,2020-01-09T00:00:00.000
190,718.0,1222606766,2020-01-09T00:00:00.000
231,428.0,1222600243,2020-01-09T00:00:00.000
171,,1322601370,2017-03-17T00:00:00.000
48,110.0,212261108,2021-10-14T00:00:00.000
211,240.0,1222607473,2021-12-07T00:00:00.000
200,518.0,1222607499,2020-01-09T00:00:00.000
166,95.0,212261038,2017-06-21T00:00:00.000
72,141.0,212260905,2019-01-03T00:00:00.000
33,,212261798,2020-08-28T00:00:00.000
135,14.0,212260253,2017-04-20T00:00:00.000
129,0.0,212261614,2017-07-18T00:00:00.000
256,178.0,1222605305,2020-01-09T00:00:00.000
216,100.0,1222600160,2021-12-07T00:00:00.000
131,22.0,212260987,2017-07-18T00:00:00.000
153,211.0,1222606770,2019-04-15T00:00:00.000
104,,212262172,2019-04-15T00:00:00.000
198,560.0,1222607502,2020-01-09T00:00:00.000
138,2.0,212260644,2017-07-18T00:00:00.000
