pivot-metric,pivot-value,post_direc,r_high_hn,to_lvl_co,status,the_geom-full_stree
r_blkfc_id,0.0,,,13,2,"{'type': 'MultiLineString', 'coordinates': [[[-74.01793061274537, 40.70617486563979], [-74.01869417782103, 40.706511760458845]]]}-1 PL"
bike_lane,,,238.0,13,2,"{'type': 'MultiLineString', 'coordinates': [[[-74.00595100486223, 40.707205735084045], [-74.00548224925218, 40.707387571654436]]]}-PEARL ST"
r_blkfc_id,1322603240.0,,818.0,13,2,"{'type': 'MultiLineString', 'coordinates': [[[-73.99422912573793, 40.770610031583], [-73.99424199791461, 40.77070951746987], [-73.99423613661054, 40.77081258160249], [-73.99421016963889, 40.770916111953554], [-73.99416397380453, 40.77101670706366], [-73.99409872733925, 40.77111101243666], [-73.99401685898705, 40.771196063298866], [-73.99392173067238, 40.771269626676585], [-73.99381726222295, 40.771330329708086]]]}-12 AVE"
bike_lane,,,337.0,13,2,"{'type': 'MultiLineString', 'coordinates': [[[-74.00391758971028, 40.72004031154029], [-74.00351186439296, 40.72055635239183]]]}-CHURCH ST"
r_blkfc_id,1222603978.0,,,13,2,"{'type': 'MultiLineString', 'coordinates': [[[-74.01086996931917, 40.726084713593615], [-74.01085597868205, 40.72616424802977]]]}-WEST ST"
r_blkfc_id,212261582.0,,21.0,13,2,"{'type': 'MultiLineString', 'coordinates': [[[-74.01125467663418, 40.70750763999125], [-74.01067628670197, 40.707116369075244]]]}-WALL ST"
r_blkfc_id,1222600704.0,,258.0,13,2,"{'type': 'MultiLineString', 'coordinates': [[[-74.00729116852627, 40.75309914259302], [-74.0070256109346, 40.75379253019804]]]}-12 AVE"
bike_lane,,,,13,2,"{'type': 'MultiLineString', 'coordinates': [[[-73.98366277920069, 40.785906028742474], [-73.98348066392018, 40.78622669846258], [-73.98331611492648, 40.78655312441142], [-73.98329333599285, 40.78660463041776], [-73.98316957191713, 40.78688447798047], [-73.98306677350438, 40.78714998514239], [-73.98275320200416, 40.787973952728024], [-73.98274152393704, 40.788004638238064]]]}-H HUDSON PKWY"
bike_lane,,,442.0,13,2,"{'type': 'MultiLineString', 'coordinates': [[[-74.00998887757267, 40.735296993104214], [-74.00993003083771, 40.73600434861673]]]}-WEST ST"
r_blkfc_id,212260238.0,,31.0,13,2,"{'type': 'MultiLineString', 'coordinates': [[[-74.01351885460902, 40.70694327099632], [-74.01337315500739, 40.70714645264195]]]}-TRINITY PL"
bike_lane,,,37.0,13,2,"{'type': 'MultiLineString', 'coordinates': [[[-74.01123100601572, 40.71036686413972], [-74.0108007673076, 40.711017406995765]]]}-CHURCH ST"
bike_lane,,,129.0,13,2,"{'type': 'MultiLineString', 'coordinates': [[[-74.01308187710583, 40.709146980592976], [-74.0129927976973, 40.70935427038371]]]}-GREENWICH ST"
bike_lane,,,,13,2,"{'type': 'MultiLineString', 'coordinates': [[[-74.01086996931917, 40.726084713593615], [-74.01085597868205, 40.72616424802977]]]}-WEST ST"
bike_lane,,,,13,2,"{'type': 'MultiLineString', 'coordinates': [[[-74.00123476628733, 40.71005533303564], [-74.00113646757461, 40.71017596422536]]]}-PEARL ST"
r_blkfc_id,1222604417.0,,303.0,13,2,"{'type': 'MultiLineString', 'coordinates': [[[-74.0048448675, 40.7188530167363], [-74.00437215011533, 40.71946672443137]]]}-CHURCH ST"
r_blkfc_id,1322601639.0,,,13,2,"{'type': 'MultiLineString', 'coordinates': [[[-73.98393581597519, 40.7855093334064], [-73.98366277920069, 40.785906028742474]]]}-H HUDSON PKWY"
r_blkfc_id,212260325.0,,162.0,13,2,"{'type': 'MultiLineString', 'coordinates': [[[-74.01343897530212, 40.714430418461134], [-74.01325534455943, 40.71506455461134], [-74.01321811652312, 40.71520821640214]]]}-WEST ST"
r_blkfc_id,212260885.0,,93.0,13,2,"{'type': 'MultiLineString', 'coordinates': [[[-74.01012167536024, 40.71208469638951], [-74.00966812264812, 40.71272457013371]]]}-CHURCH ST"
bike_lane,,,399.0,13,2,"{'type': 'MultiLineString', 'coordinates': [[[-74.01739796591468, 40.70845740994716], [-74.01814846679568, 40.70879516565625]]]}-W  THAMES ST"
