shape_leng,st_label,st_name,r_zip,l_zip,created,bike_trafd,st_width
83.6302310052,BROAD ST,BROAD,10004.0,10004.0,2007-11-29T00:00:00.000,TF,38.0
192.556033136,HENRY HUDSON PKWY,H HUDSON,10024.0,10024.0,2007-11-29T00:00:00.000,,32.0
84.3298234166,TRINITY PL,TRINITY,10006.0,10006.0,2007-11-29T00:00:00.000,,40.0
62.9063573947,TRINITY PL,TRINITY,10006.0,10006.0,2007-11-29T00:00:00.000,,40.0
258.439277768,11 AVE,11,10011.0,10011.0,2007-11-29T00:00:00.000,,44.0
257.712806391,12 AVE,12,10018.0,10018.0,2007-11-29T00:00:00.000,,52.0
328.274951055,GREENWICH ST,GREENWICH,10006.0,10006.0,2007-11-29T00:00:00.000,,32.0
278.774182498,WALL ST,WALL,10005.0,10005.0,2007-11-29T00:00:00.000,,0.0
193.848514903,HUGH L CAREY TUNL,BK BATTERY,10004.0,10004.0,2007-11-29T00:00:00.000,,40.0
34.9385956481,TRINITY PL,TRINITY,10006.0,10006.0,2007-11-29T00:00:00.000,,40.0
172.072457064,BROAD ST,BROAD,10004.0,10004.0,2007-11-29T00:00:00.000,,30.0
336.771318096,BROAD ST,BROAD,10005.0,10005.0,2007-11-29T00:00:00.000,,42.0
270.949338145,WEST ST,WEST,10014.0,10014.0,2007-11-29T00:00:00.000,,50.0
263.191604835,12 AVE,12,10018.0,10018.0,2007-11-29T00:00:00.000,,55.0
161.917298625,PEARL ST,PEARL,10038.0,10038.0,2007-11-29T00:00:00.000,TF,22.0
337.714677949,WATER ST,WATER,10038.0,10038.0,2007-11-29T00:00:00.000,,60.0
221.927584236,CHURCH ST,CHURCH,10007.0,10007.0,2007-11-29T00:00:00.000,,50.0
130.334846082,PEARL ST,PEARL,10038.0,10038.0,2007-11-29T00:00:00.000,TF,18.0
364.818310834,ALBANY ST,ALBANY,10280.0,10280.0,2007-11-29T00:00:00.000,,44.0
84.1546417537,ALBANY ST,ALBANY,10280.0,10280.0,2007-11-29T00:00:00.000,TW,0.0
195.86238265,PEARL ST,PEARL,10005.0,10004.0,2007-11-29T00:00:00.000,TF,30.0
445.618623503,WATER ST,WATER,10041.0,10004.0,2007-11-29T00:00:00.000,,58.0
259.161189805,CHURCH ST,CHURCH,10013.0,10013.0,2007-11-29T00:00:00.000,,60.0
275.846456264,WATER ST,WATER,10005.0,10005.0,2007-11-29T00:00:00.000,,60.0
254.35870292,TRINITY PL,TRINITY,10006.0,10006.0,2007-11-29T00:00:00.000,,42.0
238.46945087,WEST ST,WEST,10013.0,10013.0,2007-11-29T00:00:00.000,,54.0
347.806906606,WEST ST,WEST,10014.0,10014.0,2007-11-29T00:00:00.000,,42.0
214.559936791,WALL ST,WALL,10005.0,10005.0,2007-11-29T00:00:00.000,,18.0
160.969350427,GREENWICH ST,GREENWICH,10006.0,10006.0,2007-11-29T00:00:00.000,,32.0
380.630087028,WATER ST,WATER,10004.0,10004.0,2007-11-29T00:00:00.000,,60.0
231.671965358,WEST ST,WEST,10014.0,10014.0,2007-11-29T00:00:00.000,,42.0
189.828272038,WEST ST,WEST,10013.0,10013.0,2007-11-29T00:00:00.000,,42.0
24.2785799192,STATE ST,STATE,10004.0,10004.0,2007-11-29T00:00:00.000,,48.0
273.167349781,WALL ST,WALL,10005.0,10005.0,2007-11-29T00:00:00.000,,30.0
806.950183023,HENRY HUDSON PKWY,H HUDSON,10024.0,10024.0,2007-11-29T00:00:00.000,,32.0
240.328314925,CHURCH ST,CHURCH,10007.0,10013.0,2007-11-29T00:00:00.000,FT,60.0
257.681973054,ALBANY ST,ALBANY,10006.0,10006.0,2007-11-29T00:00:00.000,,30.0
262.802417229,11 AVE,11,10011.0,10011.0,2007-11-29T00:00:00.000,,40.0
262.242293735,12 AVE,12,10036.0,10036.0,2007-11-29T00:00:00.000,,52.0
293.100272872,1 PL,1,10280.0,10280.0,2007-11-29T00:00:00.000,,34.0
297.443714053,PEARL ST,PEARL,10038.0,10038.0,2007-11-29T00:00:00.000,,60.0
283.682815875,PEARL ST,PEARL,10004.0,10004.0,2007-11-29T00:00:00.000,TF,22.0
1137.84045163,WEST ST,WEST,10014.0,10014.0,2007-11-29T00:00:00.000,,42.0
244.997476885,WATER ST,WATER,10004.0,10004.0,2007-11-29T00:00:00.000,,60.0
51.7131448643,PEARL ST,PEARL,10038.0,10038.0,2007-11-29T00:00:00.000,,60.0
279.088214403,PEARL ST,PEARL,10004.0,10004.0,2007-11-29T00:00:00.000,TF,24.0
258.188009221,12 AVE,12,10036.0,10036.0,2007-11-29T00:00:00.000,,52.0
25.2791665773,PEARL ST,PEARL,10038.0,10038.0,2007-11-29T00:00:00.000,,54.0
243.479106049,WEST ST,WEST,10013.0,10013.0,2007-11-29T00:00:00.000,,54.0
497.904492087,BROAD ST,BROAD,10004.0,10004.0,2007-11-29T00:00:00.000,,30.0
254.827677066,12 AVE,12,10019.0,10019.0,2007-11-29T00:00:00.000,,48.0
258.371228978,11 AVE,11,10011.0,10011.0,2007-11-29T00:00:00.000,,35.0
258.699756664,11 AVE,11,10011.0,10011.0,2007-11-29T00:00:00.000,,35.0
182.231104291,HUGH L CAREY TUNL,BK BATTERY,10004.0,10004.0,2007-11-29T00:00:00.000,,18.0
266.66799069,ALBANY ST,ALBANY,10006.0,10006.0,2007-11-29T00:00:00.000,,26.0
233.336146219,WALL ST,WALL,10005.0,10005.0,2007-11-29T00:00:00.000,,24.0
264.872648223,CHURCH ST,CHURCH,10007.0,10007.0,2007-11-29T00:00:00.000,,58.0
229.03965886,CHURCH ST,CHURCH,10007.0,10007.0,2007-11-29T00:00:00.000,,60.0
136.432958534,GREENWICH ST,GREENWICH,10006.0,10006.0,2007-11-29T00:00:00.000,,32.0
30.6965237615,PEARL ST,PEARL,10038.0,10038.0,2007-11-29T00:00:00.000,,54.0
266.634699697,WEST ST,WEST,10014.0,10014.0,2007-11-29T00:00:00.000,,50.0
287.071441576,TRINITY PL,TRINITY,10006.0,10006.0,2007-11-29T00:00:00.000,,30.0
238.933016188,WEST ST,WEST,10013.0,10013.0,2007-11-29T00:00:00.000,,54.0
276.166623,12 AVE,12,10001.0,10001.0,2007-11-29T00:00:00.000,,55.0
364.16776824,HUGH L CAREY TUNL,BK BATTERY,10004.0,10004.0,2007-11-29T00:00:00.000,,18.0
229.746461394,PEARL ST,PEARL,10005.0,10005.0,2007-11-29T00:00:00.000,TF,18.0
179.511236788,BROAD ST,BROAD,10004.0,10004.0,2007-11-29T00:00:00.000,,42.0
181.489755193,HUGH L CAREY TUNL,BK BATTERY,10004.0,10004.0,2007-11-29T00:00:00.000,,18.0
255.017453198,CHURCH ST,CHURCH,10013.0,10013.0,2007-11-29T00:00:00.000,FT,60.0
106.867937,WEST ST,WEST,10013.0,10013.0,2007-11-29T00:00:00.000,,42.0
236.665780668,WATER ST,WATER,10005.0,10005.0,2007-11-29T00:00:00.000,,60.0
258.243617784,WEST ST,WEST,10014.0,10014.0,2007-11-29T00:00:00.000,,50.0
124.863741407,PEARL ST,PEARL,10004.0,10004.0,2007-11-29T00:00:00.000,TF,30.0
142.832804754,WEST ST,WEST,10014.0,10014.0,2007-11-29T00:00:00.000,,50.0
159.592403719,GREENWICH ST,GREENWICH,10006.0,10006.0,2007-11-29T00:00:00.000,,32.0
259.415988519,BATTERY PL,BATTERY,10280.0,10280.0,2007-11-29T00:00:00.000,,42.0
397.482659855,PEARL ST,PEARL,10004.0,10004.0,2007-11-29T00:00:00.000,TF,18.0
241.736694684,W THAMES ST,THAMES,10280.0,10280.0,2007-11-29T00:00:00.000,,38.0
163.11276749,HENRY HUDSON PKWY,H HUDSON,10024.0,10024.0,2007-11-29T00:00:00.000,,32.0
109.362860552,PEARL ST,PEARL,10007.0,10007.0,2007-11-29T00:00:00.000,,30.0
159.6703737,PEARL ST,PEARL,10005.0,10005.0,2007-11-29T00:00:00.000,TF,22.0
57.3658692631,PEARL ST,PEARL,10004.0,10004.0,2007-11-29T00:00:00.000,TF,22.0
253.945946883,12 AVE,12,10001.0,10001.0,2007-11-29T00:00:00.000,,54.0
262.77781228,BATTERY PL,BATTERY,10280.0,10280.0,2007-11-29T00:00:00.000,,42.0
251.140848631,CHURCH ST,CHURCH,10013.0,10013.0,2007-11-29T00:00:00.000,FT,60.0
71.65608858,WATER ST,WATER,10005.0,10004.0,2007-11-29T00:00:00.000,,60.0
271.345686667,BEAVER ST,BEAVER,10004.0,10004.0,2007-11-29T00:00:00.000,,22.0
218.330495297,WEST ST,WEST,10014.0,10014.0,2007-11-29T00:00:00.000,,52.0
615.118539612,HENRY HUDSON PKWY,H HUDSON,10024.0,10024.0,2007-11-29T00:00:00.000,,32.0
68.2363595146,WEST ST,WEST,10013.0,10013.0,2007-11-29T00:00:00.000,,44.0
286.09696164,PEARL ST,PEARL,10038.0,10038.0,2007-11-29T00:00:00.000,,52.0
361.837299792,12 AVE,12,10018.0,10018.0,2007-11-29T00:00:00.000,,55.0
206.27185039,BATTERY PL,BATTERY,10004.0,10004.0,2011-04-22T00:00:00.000,,24.0
292.855375837,GREENWICH ST,GREENWICH,10006.0,10006.0,2007-11-29T00:00:00.000,,32.0
276.034450471,CHURCH ST,CHURCH,10006.0,10048.0,2007-11-29T00:00:00.000,,50.0
242.519791603,RECTOR ST,RECTOR,10006.0,10006.0,2007-11-29T00:00:00.000,,22.0
93.1013435151,TRINITY PL,TRINITY,10006.0,10006.0,2007-11-29T00:00:00.000,,42.0
