pivot-metric,pivot-value,the_geom,trafdir,snow_pri,borocode,physicalid-l_high_hn
shape_leng,267.359140878,"{'type': 'MultiLineString', 'coordinates': [[[-73.99622237272236, 40.7673522186317], [-73.99574495408581, 40.76798999299133]]]}",FT,C,1,191-0.0
shape_leng,25.9657344749,"{'type': 'MultiLineString', 'coordinates': [[[-74.0012825859855, 40.70999405297033], [-74.00123476628733, 40.71005533303564]]]}",TW,H,1,106-nan
shape_leng,304.084206954,"{'type': 'MultiLineString', 'coordinates': [[[-73.99440976235653, 40.77068507068018], [-73.99420752546703, 40.77150541873993]]]}",FT,C,1,182-nan
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01591034233404, 40.70146094794127], [-74.01589967703721, 40.70154212204522], [-74.01584079939174, 40.701990377851075]]]}",TF,V,1,34-nan
shape_leng,30.6965237615,"{'type': 'MultiLineString', 'coordinates': [[[-74.00157615385477, 40.709620004022504], [-74.00151938817625, 40.70969234295805]]]}",TW,H,1,103-nan
shape_leng,32.0701391509,"{'type': 'MultiLineString', 'coordinates': [[[-74.01693786186667, 40.704813986597024], [-74.01704963744208, 40.70483662931336]]]}",TW,C,1,8-nan
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.00811962428791, 40.74537505055023], [-74.00798545322678, 40.746087855458825]]]}",FT,C,1,221-0.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.00925467816931, 40.71325580613428], [-74.00883196127769, 40.71379594739111]]]}",FT,C,1,147-124.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.00624902059795, 40.7170757117057], [-74.00577729796854, 40.71767664665009]]]}",FT,C,1,154-244.0
shape_leng,249.43959054,"{'type': 'MultiLineString', 'coordinates': [[[-74.00532369793707, 40.71827334637825], [-74.0048448675, 40.7188530167363]]]}",FT,C,1,156-282.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01433649678438, 40.70623720783566], [-74.01430040437965, 40.70627688391721], [-74.01425392075623, 40.70631108615352], [-74.0141994991425, 40.70633764575861], [-74.01414046824934, 40.70635526179954], [-74.01401379521812, 40.70642249167858], [-74.01401354714498, 40.7064226173541], [-74.01401333429845, 40.70642276178838], [-74.01389705238063, 40.706501687350205], [-74.01389681576204, 40.70650184988008], [-74.01389659147883, 40.70650204809173], [-74.0137931510094, 40.70659139972115], [-74.01379304425912, 40.706591489863506], [-74.01379296216471, 40.7065915798354], [-74.01370452743437, 40.706689538970195], [-74.01370448055523, 40.706689593422084], [-74.0137044330174, 40.70668965641792], [-74.01363266125834, 40.70679389912786]]]}",FT,C,1,73-26.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-73.99666737542213, 40.76673968306694], [-73.99622237272236, 40.7673522186317]]]}",FT,C,1,192-0.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-73.98366277920069, 40.785906028742474], [-73.98348066392018, 40.78622669846258], [-73.98331611492648, 40.78655312441142], [-73.98329333599285, 40.78660463041776], [-73.98316957191713, 40.78688447798047], [-73.98306677350438, 40.78714998514239], [-73.98275320200416, 40.787973952728024], [-73.98274152393704, 40.788004638238064]]]}",FT,C,1,174-nan
shape_leng,2802.3165713,"{'type': 'MultiLineString', 'coordinates': [[[-73.99332519843287, 40.772831479035005], [-73.99293297355692, 40.77336901041069], [-73.99245134194055, 40.77404465417788], [-73.99227731188081, 40.77428802856217], [-73.99122907017902, 40.77575391295386], [-73.99064691410396, 40.77656798192866], [-73.9906469039647, 40.776567996670096], [-73.99064600333705, 40.77656929006096], [-73.99019036262722, 40.77721889069885], [-73.99016802704384, 40.777250733704456], [-73.98975501067643, 40.77783713990109], [-73.98928968657778, 40.77847952770988], [-73.9891419302272, 40.7786867706072], [-73.98884372569711, 40.779105025544794], [-73.98851184957837, 40.77959675363082]]]}",FT,C,1,180-0.0
shape_leng,257.681973054,"{'type': 'MultiLineString', 'coordinates': [[[-74.01308187710583, 40.709146980592976], [-74.01388897924912, 40.709497733735695]]]}",TF,H,1,59-12.0
shape_leng,541.177934899,"{'type': 'MultiLineString', 'coordinates': [[[-74.00827951933162, 40.75027197362554], [-74.00824770187701, 40.75045605813331], [-74.00820881875423, 40.750639356245486], [-74.00816290316953, 40.75082171115095], [-74.00810999434634, 40.751002966844226], [-74.00805013749209, 40.75118296828219], [-74.00798338375833, 40.75136156144709], [-74.00790979019932, 40.751538593547934], [-74.00782941972257, 40.75171391312812]]]}",FT,C,1,214-0.0
shape_leng,142.832804754,"{'type': 'MultiLineString', 'coordinates': [[[-74.01027197567741, 40.73200971900632], [-74.01023707839751, 40.73240086019474]]]}",FT,C,1,237-387.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01048801492398, 40.729817690964204], [-74.01039726573508, 40.73055816948494]]]}",FT,C,1,240-361.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01363266125834, 40.70679389912786], [-74.01351885460902, 40.70694327099632]]]}",FT,C,1,74-0.0
shape_leng,287.622232088,"{'type': 'MultiLineString', 'coordinates': [[[-74.00902906502225, 40.70531013847116], [-74.00800726907983, 40.70544646155277]]]}",TF,H,1,141-95.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.0048448675, 40.7188530167363], [-74.00437215011533, 40.71946672443137]]]}",FT,C,1,157-300.0
shape_leng,279.063005164,"{'type': 'MultiLineString', 'coordinates': [[[-74.01023707839751, 40.73240086019474], [-74.01016258075191, 40.733164720337115]]]}",FT,C,1,236-395.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.0156777818473, 40.70125602052488], [-74.01568594789885, 40.70154175500151], [-74.01567486061293, 40.70184224805438]]]}",FT,V,1,41-nan
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01283896749439, 40.709709980376886], [-74.01266646989112, 40.710148920968756]]]}",TF,V,1,72-146.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01231160768083, 40.70268653279639], [-74.01218311229, 40.702741276603625], [-74.01205204354203, 40.70279236510637], [-74.01191858089284, 40.702839728353425], [-74.01178290727775, 40.70288330134841], [-74.01164520826687, 40.702923024581494], [-74.01150567239777, 40.70295884366267]]]}",TW,C,1,115-20.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01200855059044, 40.72030281775768], [-74.01187628282109, 40.72095228810878], [-74.01174301064889, 40.72162327130305]]]}",FT,C,1,252-0.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01584079939174, 40.701990377851075], [-74.01582741717505, 40.702092200546545], [-74.01581941822997, 40.70219162702801]]]}",TF,V,1,33-nan
shape_leng,203.319704441,"{'type': 'MultiLineString', 'coordinates': [[[-74.00794861212007, 40.7055461878137], [-74.00739218847701, 40.70518268851544]]]}",FT,C,1,165-90.0
shape_leng,272.410527522,"{'type': 'MultiLineString', 'coordinates': [[[-74.00755195736613, 40.75237822573365], [-74.00729116852627, 40.75309914259302]]]}",FT,C,1,212-0.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01150567239777, 40.70295884366267], [-74.01020028920429, 40.70328219200393]]]}",TW,C,1,117-38.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.00157615385477, 40.709620004022504], [-74.00151938817625, 40.70969234295805]]]}",TW,H,1,103-nan
