coordinates,new_name,limits,:@computed_region_yeji_bk3q
"{'type': 'Point', 'coordinates': [-73.88096596799994, 40.656992616000025]}",Melvin A. Faulkner Way,At the intersection of Schenck Avenue and Cozine Avenue,2.0
"{'type': 'Point', 'coordinates': [-73.98232799699997, 40.76910486200006]}",P.O. Calabrese and P.O. Keegan Plaza,At the southeast corner of 60th Street and Broadway,4.0
"{'type': 'Point', 'coordinates': [-73.95101410099994, 40.597259558000076]}",Rabbi Melvin I. Burg Way,At the intersection of Ocean Avenue and Avenue V,2.0
"{'type': 'Point', 'coordinates': [-73.75400939699995, 40.599479479000024]}",St. John’s Episcopal Hospital Way,At the intersection of Brookhaven Avenue and Beach 20th Street,3.0
"{'type': 'Point', 'coordinates': [-74.01826398199995, 40.64443497900004]}",Basil “Bob” Stonbely Way,At the intersection of 56th Street and 3rd Avenue,2.0
"{'type': 'Point', 'coordinates': [-73.81828074099997, 40.607881028000065]}",Chief Christian Hoobs Way,At the northeast corner of Church Road and Noel Road,3.0
"{'type': 'Point', 'coordinates': [-73.98257900499993, 40.76402639300005]}",Big Apple Corner,The southwest corner of W. 54th Street and Broadway,4.0
"{'type': 'Point', 'coordinates': [-74.13398839299998, 40.63700212400005]}",Carmelo Tirone Way,Port Richmond Avenue at the North side of New Street,1.0
"{'type': 'Point', 'coordinates': [-74.11427215699996, 40.562559657000065]}",Susan M. Bochino Avenue,The southeast corner of the intersection of Tysens Lane and Falcon Avenue,1.0
"{'type': 'Point', 'coordinates': [-73.84575569699996, 40.879503389000035]}",Ludie Brown Way,At the intersection of Kingsland Avenue and Chester Street,5.0
"{'type': 'Point', 'coordinates': [-73.95204482899999, 40.81896807000004]}",Vinegar Hill Corner and Amsterdam Avenue,The northeast corner at the intersection of West 135th Street,4.0
"{'type': 'Point', 'coordinates': [-74.09701296799994, 40.58355901900006]}",Michael “Coach Mike” Colini Way,At the intersection of Joyce Street and Seaver Avenue,1.0
"{'type': 'Point', 'coordinates': [-73.93636163999997, 40.82546880900003]}",Edwin Eddie Ellis Way,"At the intersection of 151st Street and Adam Clayton Powell Jr., Boulevard",4.0
"{'type': 'Point', 'coordinates': [-73.84056302399995, 40.718369987000074]}",Geraldine Ferraro Way,At the intersection of Austin Street and Ascan Avenue,3.0
"{'type': 'Point', 'coordinates': [-73.90648990099999, 40.846732092000025]}",Lieutenant Howard Carpluk Place,Intersection of Monroe Avenue and East 175th Street,5.0
"{'type': 'Point', 'coordinates': [-74.16949002699994, 40.548952805000056]}",Gaetano Vincent Mangano Street,On the Corner of Wainwright Street and Memphis Avenue,1.0
"{'type': 'Point', 'coordinates': [-73.86531984799996, 40.69570895100003]}",Mary Whalen Playground,An existing playground in Forest Park located on the north side of Park Lane South at its intersection with 79th Street,3.0
"{'type': 'Point', 'coordinates': [-73.99519790599999, 40.64229407700003]}",Stan Brooks Way,At the southeast corner of 43rd Street and 10th Avenue,2.0
"{'type': 'Point', 'coordinates': [-74.16039549499999, 40.62661501800005]}",Dominick (Dom) Lambert Way,At the northeast corner of Forest Avenue and Harbor Road,1.0
"{'type': 'Point', 'coordinates': [-73.98861467999996, 40.71412703200008]}",Educational Alliance Corner,The southeast corner off the intersection of East Broadway and Jefferson Street,4.0
"{'type': 'Point', 'coordinates': [-73.94005244299996, 40.83611527900007]}",Max Bond Way,At the southeast corner of St. Nicholas and 162nd Street,4.0
"{'type': 'Point', 'coordinates': [-73.95958202599996, 40.615616991000024]}",Benjamin W. Schaeffer Way,At the intersection of Avenue N and East 15th Street,2.0
"{'type': 'Point', 'coordinates': [-73.88684613399994, 40.856525144000045]}",Anne Bancroft Way,At the intersection of Arthur Avenue and 188th Street,5.0
"{'type': 'Point', 'coordinates': [-73.93514584499997, 40.80762370100007]}",Johnnie Mae Johnson Way,At the northwest corner of 130th Street and Lexington Avenue,4.0
"{'type': 'Point', 'coordinates': [-73.91691733999994, 40.83832719900005]}",Sgt. Cornelius H. Charlton Way,At the intersection of Marcy Place and Walton Avenue,5.0
"{'type': 'Point', 'coordinates': [-74.00323514999997, 40.74898438800005]}",Richie’s Corner,At the intersection of 25th Street and 10th Avenue,4.0
"{'type': 'Point', 'coordinates': [-73.94578197699997, 40.792915994000055]}",GLORIA DENARD WAY,At the intersection of East 107th Street and Lexington Avenue,4.0
"{'type': 'Point', 'coordinates': [-73.99148849499994, 40.72984087300006]}",Joseph Papp Way,At the intersection of Astor Place and Lafayette,4.0
