coordinates,new_name,limits,:@computed_region_yeji_bk3q
"{'type': 'Point', 'coordinates': [-74.00520824499995, 40.618977511000026]}",Joe ‘The Great’ Rollino Corner,At the intersection of Bay Ridge Parkway and 14th Avenue,2.0
"{'type': 'Point', 'coordinates': [-73.87853267299994, 40.75441891400004]}",Ed Sedarbaum & Howard Cruse Corner,At the intersection of 34th Avenue and 89th Street,3.0
"{'type': 'Point', 'coordinates': [-74.03859376599996, 40.63343378900004]}",Bobby Bello Field,Ballfield known as Field number two in an existing park located at 75th Street and Shore Road,2.0
"{'type': 'Point', 'coordinates': [-74.08598109899998, 40.59597122100007]}",Paula Frassinetti Way,On the Corner of Dawson Place and Hylan Boulevard,1.0
"{'type': 'Point', 'coordinates': [-73.82405796699999, 40.77769781000006]}",Bernard L. Shapiro Boulevard,At the intersection of Parsons Boulevard and 24th Avenue,3.0
"{'type': 'Point', 'coordinates': [-73.91529478999996, 40.841964794000035]}",José Ángel Hernández Way,At the intersection of Townsend Avenue and East 172nd Street,5.0
"{'type': 'Point', 'coordinates': [-74.07700067099995, 40.637845381000034]}",Mr. Joe Marotta Way,At the intersection of Victory Boulevard and St. Marks,1.0
"{'type': 'Point', 'coordinates': [-73.98313017299995, 40.738804618000074]}",SVA Way,At the intersection of East 23rd Street and Third Avenue,4.0
"{'type': 'Point', 'coordinates': [-74.00683609499998, 40.711666464000075]}",Susan B. Anthony and Elizabeth Cady Stanton Corner,The northeast corner of Park Row and Beekman Street,4.0
"{'type': 'Point', 'coordinates': [-73.76704188699995, 40.746337733000075]}",Armenia Way,At the southwest corner of 210th Street and Horace Harding Expressway adjacent to the Armenian Church of Holy Martyrs,3.0
"{'type': 'Point', 'coordinates': [-73.95349671399998, 40.74487789500006]}",Sal Anzalone Place,NW corner of 47th Road and Vernon Boulevard,3.0
"{'type': 'Point', 'coordinates': [-73.95840420699994, 40.64192701200005]}",Gibbs “Big Gibbs” Seraphin Way,At the intersection of Dorchester Road and East 21st Street,2.0
"{'type': 'Point', 'coordinates': [-73.94703373999994, 40.796814115000075]}",Hiram Maristany Way,At the intersection of 111th Street and Madison Avenue,4.0
"{'type': 'Point', 'coordinates': [-73.98071515099997, 40.68533023100008]}",Thelma Martin Way,At the northwest side of Atlantic Avenue and 3rd Avenue,2.0
"{'type': 'Point', 'coordinates': [-73.91485241899994, 40.82229738700005]}",Nos Quedamos Way,At the intersection of Melrose Avenue and 158th Street,5.0
"{'type': 'Point', 'coordinates': [-73.74289939299996, 40.68914678700003]}",Frederick Cabbell Park,"An existing park bounded by Francis Lewis Boulevard, 120th Avenue and 121st Avenue",3.0
"{'type': 'Point', 'coordinates': [-74.22461319399997, 40.51047855500008]}",William “Pop” Marsh Avenue,At the northwest corner of Richard Avenue and Bartow Avenue,1.0
"{'type': 'Point', 'coordinates': [-73.86143002399996, 40.73795799200008]}",Priscilla Carrow Way,At the northeast corner of 98th Place and 57th Avenue,3.0
"{'type': 'Point', 'coordinates': [-73.98232102099996, 40.771476954000036]}",Sakya Tsechen Way,At the intersection of Broadway and 63rd Street,4.0
"{'type': 'Point', 'coordinates': [-73.91594357499997, 40.742655428000035]}",Alejandro Nino Place,At the intersection of 49th Street and Queens Boulevard,3.0
"{'type': 'Point', 'coordinates': [-73.76368102299995, 40.70296501300004]}",Theresa Irene Merritt Way,At the intersection of 192nd Street and 110th Road,3.0
"{'type': 'Point', 'coordinates': [-74.00260983899994, 40.73370567300003]}",Wes Joice Corner,The Northeast corner of 7th Avenue and Christopher Street,4.0
"{'type': 'Point', 'coordinates': [-73.97495109299996, 40.579958787000066]}",Howard Lasher Way,On the center median on Neptune Avenue and the corner of West 6th Street,2.0
"{'type': 'Point', 'coordinates': [-74.21223052999994, 40.552726214000074]}",Julius J. Deak,The northwest corner of knesel Street and Rossville Avenue,1.0
"{'type': 'Point', 'coordinates': [-74.11386735999997, 40.580167551000045]}",P.O. Thomas Schimenti Jr. Corner,The intersection of Richmond Road and Todt Hill Road,1.0
"{'type': 'Point', 'coordinates': [-73.98195181699998, 40.719466745000034]}",Marie Christopher Way,At the intersection of Stanton Street and Pitt Street,4.0
"{'type': 'Point', 'coordinates': [-74.10130201399994, 40.59719886400006]}",Paul V. Barbaro Way,The northeast corner of the intersection of Chapin Avenue and Ridge Avenue,1.0
"{'type': 'Point', 'coordinates': [-73.83060699999999, 40.66050598000004]}",Coleman Square,The southeast corner of the intersection of 159th Avenue and Coleman Square,3.0
"{'type': 'Point', 'coordinates': [-73.90418929699996, 40.887083569000026]}",Andrew Sandler Way,At the intersection of Waldo Avenue and West 238th Street,5.0
"{'type': 'Point', 'coordinates': [-74.06433887699995, 40.61179308200008]}",Firefighter Robert Curatolo Lane,The southeast corner of the intersection of New Lane and Bay Street,1.0
"{'type': 'Point', 'coordinates': [-73.85043434899995, 40.66481459900007]}",Harold Schneiderman Playground,A playground located at 155th Avenue between 83rd Street and 84th street,3.0
"{'type': 'Point', 'coordinates': [-73.94715294099996, 40.67592218300007]}",Reggie “Combat Jack” Ossé Place,At the intersection of Bergen Street and New York Avenue,2.0
"{'type': 'Point', 'coordinates': [-73.75462873499998, 40.684051226000065]}",Julius Freeman Way,At the intersection of 191st Street and Nashville Boulevard,3.0
"{'type': 'Point', 'coordinates': [-74.09942595299998, 40.63128980400006]}",Lee Ludwig Way,The southeast corner of the intersection of University Place and Forest Avenue,1.0
"{'type': 'Point', 'coordinates': [-73.82085130299998, 40.75223848400003]}",Corporal Julian Alberto Ramon Avenue,At the intersection of 45th Avenue and Kissena Boulevard,3.0
"{'type': 'Point', 'coordinates': [-74.07172640699997, 40.610357873000055]}",Kristen L. Montanaro Way,The southeast corner of the intersection of Maryland Avenue and Foxhill Terrace,1.0
"{'type': 'Point', 'coordinates': [-73.86210904199999, 40.74572701000005]}",Edgar Moya Way,At the intersection of 102nd Street and 46th Avenue,3.0
"{'type': 'Point', 'coordinates': [-73.91577154099997, 40.86892970300005]}",Victor Aurelio Tapia “Clasico” Way,At the intersection of 214th Street and 10th Avenue,4.0
"{'type': 'Point', 'coordinates': [-74.12800065499994, 40.62002308800004]}",Firefighter Arthur T. Barry Way,The northeast corner of the intersection of Elmira Avenue and Wescott Boulevard,1.0
"{'type': 'Point', 'coordinates': [-74.03459997599998, 40.62200001900004]}",Justice Arthur M. Schack Way,At the intersection of Ridge Boulevard and 89th Street,2.0
"{'type': 'Point', 'coordinates': [-74.16171856299997, 40.63164118200007]}",Tracy Brown Way,At the intersection of Lockman Avenue and Brabrant Street,1.0
"{'type': 'Point', 'coordinates': [-74.12479688099995, 40.55943861600008]}",John V. LaFemina Way,At the intersection of Malone Avenue and Hylan Boulevard,1.0
"{'type': 'Point', 'coordinates': [-73.88872594299994, 40.853438151000034]}",Gjergj Kastrioti Skenderbeu Way,At the intersection of Crescent Avenue and Adam's Place,5.0
"{'type': 'Point', 'coordinates': [-74.12350466199996, 40.569951838000065]}",Vincent “Jimmy” Anthony Navarino Way,At the intersection of Vincent Avenue and Amboy Road,1.0
"{'type': 'Point', 'coordinates': [-73.89736902599998, 40.662665996000044]}",Richard Akbar Salahuddin Drive,At the intersection of Williams Avenue and Riverdale Avenues,2.0
"{'type': 'Point', 'coordinates': [-74.15257953599996, 40.58061345700003]}",Arthur C. Leahy Jr. Way,At the intersection of Forest Hill Road and Richmond Hill Road,1.0
"{'type': 'Point', 'coordinates': [-74.11714317399998, 40.63455126500003]}",Crossing Guard Doris Allen Way,At the intersection of Castleton Avenue at the northeast corner of Broadway,1.0
"{'type': 'Point', 'coordinates': [-74.07623381099995, 40.64342728500003]}",Justice John Leone Way,The southeast corner of the intersection of Richmond Terrace and Schuyler Street,1.0
"{'type': 'Point', 'coordinates': [-73.90646827999996, 40.75710089700004]}",Jack Hastings Square,Intersection at 31st Avenue and 55th Street,3.0
"{'type': 'Point', 'coordinates': [-74.16031804599999, 40.537874369000065]}",FDNY Lt. James J. Winters Avenue,At the intersection of Lyndale Avenue and Koch Boulevard,1.0
"{'type': 'Point', 'coordinates': [-73.98881378699997, 40.70318238900006]}",Gleason’s Gym Way,At the intersection of Water Street and Adams Street,2.0
"{'type': 'Point', 'coordinates': [-73.89747239399998, 40.86761207600006]}",Johnny Pacheco Way,At the southeast corner of Jerome Avenue and Kingsbridge Avenue,5.0
"{'type': 'Point', 'coordinates': [-74.07792603299998, 40.57922599400007]}",Ismail Qemali Way,At the intersection of Seaview Avenue and Father Capodanno Boulevard,1.0
"{'type': 'Point', 'coordinates': [-73.92968818799994, 40.79697663600007]}",Police Officer Randolph Holder Way,At the intersection of East 120th Street and the FDR Drive,4.0
"{'type': 'Point', 'coordinates': [-73.94207399099997, 40.812206521000064]}",Assemblywoman Geraldine L. Daniels Way,At the northeast corner of 132nd Street and Lenox Avenue,4.0
"{'type': 'Point', 'coordinates': [-73.83703491399996, 40.579810509000026]}",Lew M. Simon Way,At the southeast corner of Beach 116th Street and Rockaway Beach Boulevard,3.0
"{'type': 'Point', 'coordinates': [-73.94741200599998, 40.583770997000045]}",Sheila Nelson Way,At the intersection of East 21st Street and Emmons Avenue,2.0
"{'type': 'Point', 'coordinates': [-74.11688735899997, 40.61488789300006]}",Lt. Michael T. Quilty Way,The southeast corner of the intersection of Sanford Place and Slosson Avenue,1.0
"{'type': 'Point', 'coordinates': [-73.94664103799994, 40.83806800700006]}",Alexander Felix Place,At the intersection of West 161st Street and Riverside Drive,4.0
"{'type': 'Point', 'coordinates': [-73.83989518199996, 40.89071181300005]}",Reverend Dr. Samuel G. Simpson Way,At the southeast corner of Strang Avenue and Murdock Avenue,5.0
"{'type': 'Point', 'coordinates': [-73.88545859299995, 40.85106212100004]}",Lucas Yoaldy Silverio Mendoza Way,At the intersection of Crotona Avenue and Grote Street,5.0
"{'type': 'Point', 'coordinates': [-74.08221344399993, 40.621423778000064]}",Sandra Conaty Brace Way,The east corner of the intersection of the intersection of Fulton Street and Warren Street,1.0
"{'type': 'Point', 'coordinates': [-73.79318555499998, 40.691586219000044]}",Mother Maude Ford Way,At the intersection of 157th Street and 110th Avenue,3.0
"{'type': 'Point', 'coordinates': [-74.02747401699997, 40.61696601600005]}",Donna and Michele Blanchard Plaza,The intersection of 92nd Street and Fort Hamilton Parkway,2.0
"{'type': 'Point', 'coordinates': [-73.89570299999997, 40.72585900000007]}",Maspeth Memorial Square,"A sitting area located in the north side of the Queens Midtown Expressway, (Bordon Avenue), at the intersection of Grand Avenue and 69th Street between 68th Street and 69th Street.",3.0
"{'type': 'Point', 'coordinates': [-73.80741855199994, 40.667327423000074]}",Police Officer Edward Byrne Park,"An existing park located on the north side of the North Conduit, the east side of 130th Place, the south side of 135th Road and the south side of 135th Avenue",3.0
"{'type': 'Point', 'coordinates': [-73.91032799999994, 40.702559000000065]}",Nancy Muniz Street,The intersection of Linden Street and Cypress Avenue,3.0
"{'type': 'Point', 'coordinates': [-73.91008764199995, 40.854439729000035]}",Thomasina Bushby Way,At the intersection of Burnside Avenue and Harrison Avenue,5.0
"{'type': 'Point', 'coordinates': [-73.74619913899994, 40.66185385000006]}",Jules Taylor Way,At the intersection of 232nd Street and Edgewood Avenue,3.0
"{'type': 'Point', 'coordinates': [-74.00525428399999, 40.71199311100003]}",David Dinkins Plaza,At the intersection of Park Row and Frankfort Street,4.0
"{'type': 'Point', 'coordinates': [-73.90849734399995, 40.893564722000065]}",Grace Belkin Way,At the intersection of West 246th Street and Henry Hudson Parkway,5.0
"{'type': 'Point', 'coordinates': [-73.89789716999996, 40.86668877000005]}",Cinco de Mayo Way,At the intersection of Jerome Avenue and East 193rd Street,5.0
"{'type': 'Point', 'coordinates': [-73.85068601599994, 40.89126601900006]}",Dorothy Pamela Gomes Way,Edenwald Avenue and East 233rd Street,5.0
"{'type': 'Point', 'coordinates': [-73.94761488499995, 40.79294262500008]}",Saint Cecilia’s Parish Way,At the intersection of 106th Street and Park Avenue,4.0
"{'type': 'Point', 'coordinates': [-73.85698306899997, 40.68953846000005]}",Firefighter LT Robert F. Wallace Street,Corner of 86th Street and 89th Avenue,3.0
"{'type': 'Point', 'coordinates': [-73.83004658599998, 40.85026648300004]}",Detective Daniel Enchautegui Way,Northeast corner of Westchester Avenue and Arnow Place,5.0
"{'type': 'Point', 'coordinates': [-73.98194670399994, 40.77124107000003]}",Sesame Street,At the southeast corner of 63rd Street and Broadway,4.0
"{'type': 'Point', 'coordinates': [-73.99538455099997, 40.68113543700008]}",Louis Valentino Jr. Ballfield,"An existing ballfield located within Caroll Park, which park is bounded by Caroll Street, Court Street, President Street, and Smith Street",2.0
"{'type': 'Point', 'coordinates': [-73.95187630799995, 40.79042502100003]}",John William Perry Way,At the intersection of East 101st Street and Madison Avenue,4.0
"{'type': 'Point', 'coordinates': [-73.98696385999995, 40.77379482200007]}",Samuel N. Bennerson Park,An existing park located on the south side of West 64th Street between West End Avenue and Amsterdam Avenue,4.0
"{'type': 'Point', 'coordinates': [-73.98414911799995, 40.57905511600006]}",Grace Nichilo Place,Neptune Avenue at West 16th Street,2.0
"{'type': 'Point', 'coordinates': [-73.80201699899999, 40.58887302000005]}",St. John Baptist Church Place,At the intersection of Beach 74th Street and Rockaway Beach Boulevard,3.0
"{'type': 'Point', 'coordinates': [-73.94501782699996, 40.808426997000026]}",Sylvia P. Woods Way,At the intersection of West 126th Street and Malcolm X Boulevard,4.0
"{'type': 'Point', 'coordinates': [-74.06366020399997, 40.61074851600006]}",Firefighter James M. Gray Way,The northwest corner of the intersection of Hope Avenue and Bay Street,1.0
"{'type': 'Point', 'coordinates': [-73.75510407299998, 40.734431382000025]}",Father John J. Murray Way,At the northeast corner of Union Turnpike and Bell Boulevard,3.0
"{'type': 'Point', 'coordinates': [-74.16978414799996, 40.56022861100007]}",Dave Brennan’s Elks Way,At the intersection of Wainwright Avenue at Richmond Avenue,1.0
"{'type': 'Point', 'coordinates': [-73.75305151299995, 40.76948434600007]}",Ann Jawin Way,At the intersection of 39th Avenue and 233rd Street,3.0
"{'type': 'Point', 'coordinates': [-74.00082030599998, 40.76203901500003]}",Tiananmen Square Corner,The northeastern corner of the intersection of west Forty-Second Street and Twelfth Avenue,4.0
"{'type': 'Point', 'coordinates': [-74.07719630499997, 40.62769613000006]}",Eden II Lane,Underneath the Beach Street sign at the intersection of Beach Street and Union Place,1.0
"{'type': 'Point', 'coordinates': [-73.73690687799996, 40.66829191100004]}",Cathy LeBlanc Way,At the intersection of 138th Avenue and Brookville Boulevard,3.0
"{'type': 'Point', 'coordinates': [-73.86681290999996, 40.759336295000026]}",Leverich Memorial Church Way,At the northwest corner of 32nd Avenue and 102nd Street,3.0
"{'type': 'Point', 'coordinates': [-73.77822150999998, 40.77623190200006]}",Glenn J. Travers Sr. 9/11 Memorial Way,The intersection of 211th Street and 28th Avenue,3.0
"{'type': 'Point', 'coordinates': [-73.84486499999997, 40.869763000000034]}",Betty Brady Square,"The intersection of East Gun Hill Road, Fenton Avenue, Knapp Street, Morgan Avenue and Dewitt Place",5.0
"{'type': 'Point', 'coordinates': [-73.88066675199997, 40.65692343400008]}",Carolyn D. Faulkner Way,At the intersection of Cozine Avenue and Schenck Avenue,2.0
"{'type': 'Point', 'coordinates': [-73.85393056999999, 40.84048888800004]}",George A. Romero Way,At the northeast side of Metropolitan Oval at Metropolitan Avenue and Purdy Street,5.0
"{'type': 'Point', 'coordinates': [-74.13765530799998, 40.60328653000005]}",Turid S. Brandt Road,At the corner of Willowbrook Road and Sheraden Avenue,1.0
"{'type': 'Point', 'coordinates': [-73.90430899099994, 40.85588998700007]}",FF Michael C. Reilly Way,Corner of Walton Avenue and Cameron Place,5.0
