limits,:@computed_region_sbqj_enih,enactment_number,:@computed_region_92fq_4b7q
At the intersection of Jackson Avenue and 50th Avenue,66.0,2025/010,33.0
At the intersection of Kingsland Avenue and Chester Street,30.0,2022/054,2.0
At the intersection of East 101st Street and Madison Avenue,14.0,2025/121,35.0
At the intersection of East 120th Street and the FDR Drive,16.0,2022/054,35.0
At the intersection of Cozine Avenue and Schenck Avenue,47.0,2024/041,25.0
Underneath the Beach Street sign at the intersection of Beach Street and Union Place,74.0,2013/050,13.0
At the intersection of 138th Avenue and Brookville Boulevard,63.0,2022/054,47.0
At the intersection of Dorchester Road and East 21st Street,43.0,2024/081,11.0
At the intersection of Kelly Street and Intervale Avenue,24.0,2024/041,43.0
At the intersection of East 66th Street and Mayfair Drive South,38.0,2025/121,8.0
At the intersection of East 23rd Street and Third Avenue,7.0,2024/041,50.0
The northwest corner of knesel Street and Rossville Avenue,77.0,1993/081,9.0
Ballfield known as Field number two in an existing park located at 75th Street and Shore Road,41.0,2002/019,44.0
On the Corner of Wainwright Street and Memphis Avenue,77.0,2006/050,9.0
Neptune Avenue at West 16th Street,35.0,2007/028,45.0
At the intersection of Guyon Avenue and South Railroad Avenue,76.0,2018/139,14.0
The southwest corner of W. 54th Street and Broadway,10.0,1997/007,10.0
At the intersection of Crotona Avenue and Grote Street,31.0,2020/026,22.0
At the intersection of Forest Hill Road and Richmond Hill Road,75.0,2025/121,9.0
At the intersection of 31st Avenue and 54th Street,72.0,2017/237,4.0
At the intersection of 114th Street and 101st Avenue,60.0,2025/010,46.0
The intersection of Livingston Avenue and Holden Boulevard,75.0,2003/062,13.0
The southeast corner of the intersection of Wenlock Street and Simonson Avenue,75.0,2003/034,13.0
At the intersection of 98th Street and Astoria Boulevard,73.0,2025/010,21.0
At the northeast corner of 132nd Street and Lenox Avenue,20.0,2017/237,36.0
At the intersection of 191st Street and Nashville Boulevard,71.0,2017/110,6.0
At the intersection of Castleton Avenue at the northeast corner of Broadway,74.0,2008/048,13.0
At the intersection of Waldo Avenue and West 238th Street,33.0,2017/237,40.0
Northeast corner of Westchester Avenue and Arnow Place,28.0,2006/050,12.0
At the intersection of 192nd Street and 110th Road,71.0,2022/054,6.0
At the northeast corner of Church Road and Noel Road,58.0,2017/237,41.0
At the intersection of Bergen Street and New York Avenue,49.0,2023/110,49.0
The southeast corner of the intersection of Avenue U and Lake Street,36.0,2004/063,45.0
At the southwest corner of 118th Street and Jamaica Avenue,60.0,2022/054,28.0
At the northwest corner of 130th Street and Lexington Avenue,16.0,2017/110,36.0
At the intersection of West 161st Street and Riverside Drive,21.0,2009/046,23.0
At the intersection of 49th Street and Queens Boulevard,66.0,2012/048,33.0
At the southeast corner of Beach 116th Street and Rockaway Beach Boulevard,58.0,2022/054,41.0
At the intersection of Westchester Avenue and Theriot Avenue,26.0,2025/121,31.0
At the intersection of Arthur Avenue and 188th Street,31.0,2021/014,22.0
At the intersection of Tenbroeck Avenue and Rhinelander Avenue,32.0,2025/121,12.0
The southeast corner of the intersection of Tysens Lane and Falcon Avenue,76.0,2003/006,14.0
Underneath Bard Avenue and the Northeast corner of Walnut Street,74.0,2006/013,13.0
Area located between Avenue U and Avenue V and West 13th Street ad Stillwell Avenue,35.0,1992/079,45.0
At the intersection of 111th Street and Madison Avenue,14.0,2022/081,35.0
At the intersection of 232nd Street and Edgewood Avenue,63.0,2021/014,47.0
At the intersection of 214th Street and 10th Avenue,22.0,2023/044,39.0
The intersection of 211th Street and 28th Avenue,69.0,2004/063,20.0
At the intersection of 45th Avenue and Kissena Boulevard,67.0,2008/064,3.0
At the intersection of Joyce Street and Seaver Avenue,76.0,2025/010,14.0
At the intersection of Park Row and Frankfort Street,1.0,2025/121,32.0
At the intersection of Brookhaven Avenue and Beach 20th Street,59.0,2023/044,47.0
"An existing park bounded by Francis Lewis Boulevard, 120th Avenue and 121st Avenue",63.0,1989/115,6.0
At the intersection of Beach 74th Street and Rockaway Beach Boulevard,58.0,2024/041,47.0
At the southwest corner of 216th Street and Barnes Avenue,30.0,2016/092,2.0
A playground located at 155th Avenue between 83rd Street and 84th street,64.0,1993/096,41.0
At the corner of Willowbrook Road and Sheraden Avenue,75.0,2008/064,14.0
At the southeast corner of Strang Avenue and Murdock Avenue,30.0,2018/139,2.0
At the intersection of Burnside Avenue and Harrison Avenue,29.0,2023/044,29.0
At the intersection of 34th Avenue and 89th Street,73.0,2025/121,5.0
The intersection of East Tremont Avenue and Barkley Avenue,28.0,1988/066,12.0
At the intersection of Malone Avenue and Hylan Boulevard,76.0,2018/139,14.0
An existing playground in Forest Park located on the north side of Park Lane South at its intersection with 79th Street,60.0,1988/015,34.0
"At the intersection of 151st Street and Adam Clayton Powell Jr., Boulevard",20.0,2025/010,36.0
At the intersection of Bay Ridge Parkway and 14th Avenue,37.0,2012/014,44.0
The northeast corner of Park Row and Beekman Street,1.0,2004/008,32.0
At the intersection of Fremont Avenue and North Railroad Avenue,76.0,2019/024,14.0
At the intersection of Broadway and 63rd Street,12.0,2025/121,19.0
The southeast corner of the intersection of Oakland Avenue and Forest Avenue,74.0,2003/015,13.0
At the intersection of Astor Place and Lafayette,5.0,2018/139,50.0
At the intersection of Jerome Avenue and East 193rd Street,34.0,2017/045,29.0
NW corner of Kissel Avenue and Linden Street,74.0,2005/131,13.0
"The intersection of Fulton Street, Ralph Avenue and MacDougal Street",52.0,2001/060,17.0
The Northeast corner of 7th Avenue and Christopher Street,3.0,1999/008,10.0
At the southeast corner of St. Nicholas and 162nd Street,21.0,2015/015,23.0
At the intersection of Wainwright Avenue at Richmond Avenue,77.0,2008/048,9.0
At the northwest corner of East 37th Street and Foster Avenue,40.0,2015/076,26.0
Corner of Hancock Street and Garretson Avenue,76.0,2006/013,14.0
At the intersection of Lockman Avenue and Brabrant Street,75.0,2024/081,13.0
The southeast corner of the intersection of Maryland Avenue and Foxhill Terrace,74.0,2002/028,13.0
On the corner of Jackson Street and Beach Street,74.0,2011/003,13.0
NW corner of 47th Road and Vernon Boulevard,66.0,2005/131,33.0
At the intersection of 56th Street and 3rd Avenue,45.0,2011/003,7.0
Corner of 86th Street and 89th Avenue,60.0,2005/043,41.0
At the intersection of 102nd Street and 46th Avenue,68.0,2024/081,21.0
The northeast corner of the intersection of Chapin Avenue and Ridge Avenue,76.0,2003/006,14.0
Edenwald Avenue and East 233rd Street,30.0,2011/003,2.0
Underneath the Martin Avenue street sign at the southwest corner of Purdy Avenue,75.0,2007/028,14.0
On the Corner of Minerva Place and Grand Concourse,34.0,2006/050,29.0
"An existing ballfield located within Caroll Park, which park is bounded by Caroll Street, Court Street, President Street, and Smith Street",48.0,1996/071,27.0
At the intersection of 109th Street and 101st Avenue,60.0,2023/044,46.0
The southeast corner of the intersection of 159th Avenue and Coleman Square,64.0,2004/063,41.0
The southeast corner of the intersection of Richmond Terrace and Schuyler Street,74.0,2004/008,13.0
At the southeast corner of St. Paul’s Avenue and Hannah Street,74.0,2022/054,13.0
At the intersection of Parsons Boulevard and 24th Avenue,67.0,2009/092,3.0
The northeast corner of the intersection of 72nd Street and 11th Avenue,41.0,2004/063,44.0
The northwest corner of the intersection of Hope Avenue and Bay Street,74.0,2003/034,13.0
At the intersection of Gansevoort Avenue at the southwest corner of Victory Boulevard,74.0,2008/048,14.0
At the northeast corner underneath the Maple Parkway street sign of Maple Parkway and DeRuyter Place,75.0,2017/045,13.0
