number_of_residents_who_received_financial_counseling_or_banking_services_through_financial_counseling_at_workforce1_career_center_program,number_of_residents_who_received_financial_counseling_or_banking_services_through_driver_resource_center_program
,<10
21.0,
,<10
39.0,
,
12.0,
32.0,
69.0,
,
,<10
,
,
,
,
,<10
,<10
,<10
,<10
,
,
,
,
,
167.0,
,<10
14.0,
63.0,
,
17.0,
,<10
43.0,
89.0,
,
232.0,
