number_of_residents_who_3,number_of_residents_who_14,number_of_residents_who_increased_their_credit_scores_by_at_least_35_points_through_financial_counseling_at_workforce1_career_center_program,number_of_residents_who_1,number_of_residents_who_reported_that_their_savings_increased_through_financial_counseling_at_workforce1_career_center_program
<10,,,12,
,,<10,<10,<10
<10,<10,,14,
<10,<10,<10,11,
,,,<10,
<10,,<10,,
<10,<10,<10,11,<10
<10,,<10,<10,
,,,<10,
<10,,,13,
<10,,,<10,
,,,,
<10,,,<10,
<10,,,<10,
<10,,,<10,
<10,,,<10,
<10,,,23,
18,<10,,38,
,,,<10,
,,,,
<10,,,<10,
<10,,,<10,
,,,<10,
16,<10,12,52,<10
<10,<10,,13,
<10,,<10,<10,
<10,,<10,22,<10
<10,,,<10,
<10,,<10,<10,
14,<10,,47,
,,<10,11,<10
<10,,10,22,<10
<10,,,<10,
<10,<10,20,45,<10
