number_of_residents_who_4,number_of_residents_who_2
<10,14
,<10
<10,14
,17
,<10
,
,16
,10
22,<10
20,10
,14
<10,
<10,<10
<10,<10
<10,<10
<10,<10
,37
12,33
<10,17
,
,
<10,12
<10,<10
,56
<10,12
,<10
,26
<10,<10
,11
<10,61
,<10
,29
<10,<10
,68
