number_of_residents_who_7,number_of_residents_who_12,number_of_residents_who_decreased_debt_by_at_least_10_through_financial_counseling_at_workforce1_career_center_program,year,number_of_residents_who_received_financial_counseling_or_banking_services_through_the_drop_in_center_program
,<10,,2020,
,<10,<10,2024,<10
,<10,,2021,
,13,<10,2024,<10
,<10,,2022,
,,<10,2023,
,18,<10,2023,
,11,<10,2024,<10
<10,<10,,2019,
,13,,2020,
,10,,2021,
,,,2019,
,<10,,2019,
,<10,,2020,
,11,,2021,
,22,,2022,
,12,,2022,
,28,,2021,
,,,2019,
,,,2022,
,,,2021,
,10,,2019,
,,,2020,
,29,17,2023,
,20,,2022,
,<10,<10,2024,
,<10,10,2023,
,11,,2020,
,<10,<10,2023,
,58,,2022,
,<10,<10,2023,
,<10,<10,2024,<10
,<10,,2021,
,34,21,2024,10
