year,development,boro,cc,number_of_public_housing
2022,GUN HILL,BRONX,12,14
2022,LA PRECIOSA,BRONX,16,<5
2022,MARCY AVENUE-GREENE AVENUE SITE A,BROOKLYN,36,0
2022,BAISLEY PARK,QUEENS,28,18
2022,CLAREMONT REHAB (GROUP 5),BRONX,16,<5
2022,BAILEY AVENUE-WEST 193RD STREET,BRONX,14,<5
2022,FRANKLIN AVENUE II CONVENTIONAL,BRONX,14,0
2022,"BETANCES III, 9A",BRONX,12,0
2022,LONGFELLOW AVENUE REHAB,BRONX,17,6
2022,BRONX RIVER ADDITION,BRONX,18,0
2022,ELLIOTT,MANHATTAN,3,13
2022,MELROSE,BRONX,17,21
2022,HARRISON AVENUE REHAB (GROUP A),BRONX,14,0
2022,BARUCH,MANHATTAN,2,64
2022,HIGHBRIDGE GARDENS,BRONX,16,15
2022,BOYNTON AVENUE REHAB,BRONX,18,<5
2022,DOUGLASS I,MANHATTAN,7,25
2022,"BETANCES III, 18",BRONX,12,0
2022,"BETANCES II, 18",BRONX,12,0
2022,HABER,BROOKLYN,47,0
2022,45 ALLEN STREET,MANHATTAN,1,<5
2022,BETANCES I,BRONX,12,0
2022,EAST 165TH STREET-BRYANT AVENUE,BRONX,17,<5
2022,FORT INDEPENDENCE STREET-HEATH AVENUE,BRONX,14,7
2022,GLEBE AVENUE-WESTCHESTER AVENUE,BRONX,18,0
2022,HYLAN,BROOKLYN,34,5
2022,GRANT,MANHATTAN,7,49
2022,JOHNSON,MANHATTAN,8,49
2022,CONEY ISLAND I (SITE 8),BROOKLYN,47,10
2022,HERNANDEZ,MANHATTAN,1,<5
2022,LAFAYETTE,BROOKLYN,35,43
2022,FHA REPOSSESSED HOUSES (GROUP V),BRONX/QUEENS,42,0
2022,BORINQUEN PLAZA II,BROOKLYN,34,13
2022,DAVIDSON,BRONX,17,7
2022,INDEPENDENCE,BROOKLYN,34,0
2022,LOWER EAST SIDE II,MANHATTAN,2,7
2022,CONLON LIHFE TOWER,QUEENS,27,0
2022,CAMPOS PLAZA II,MANHATTAN,2,<5
2022,EAST 180TH STREET-MONTEREY AVENUE,BRONX,15,6
2022,FARRAGUT,BROOKLYN,35,59
2022,LINDEN,MANHATTAN,9,0
