team_name,label_cd,borocd,cert_status,updated
Brooklyn 8,Brooklyn CD 8,308,Active CERT team,2010-05-19T00:00:00.000
Brooklyn 14,Brooklyn CD 14,314,Active CERT team,2010-05-19T00:00:00.000
Manhattan  Division 5,"Manhattan CD 10, 11","110, 111",Active CERT team,2024-05-09T00:00:00.000
Brooklyn  Division 2,"Brooklyn CD 2, 6, 7","302, 306, 307",Active CERT team,2021-04-26T00:00:00.000
Manhattan  Division 1,"Manhattan CD 1, 2, 3","101, 102, 103",Active CERT team,2021-04-26T00:00:00.000
Queens  Division 5,"Queens CD 9, 10, 14","409, 410, 414",Active CERT team,2024-05-09T00:00:00.000
Bronx  Division 5,"Bronx CD 11, 12","211, 212",Active CERT team,2024-05-09T00:00:00.000
Bronx  Division 1,"Bronx CD 1, 2, 3","201, 202, 203",Active CERT team,2021-04-26T00:00:00.000
Brooklyn  Division 2,"Brooklyn CD 2, 6, 7","302, 306, 307",Active CERT team,2024-05-09T00:00:00.000
Queens 3,Queens CD 3,403,Active CERT team,2010-05-19T00:00:00.000
Queens  Division 3,"Queens CD 5, 6","405, 406",Active CERT team,2021-04-26T00:00:00.000
Brooklyn 16,Brooklyn CD 16,316,Active CERT team,2010-05-19T00:00:00.000
Manhattan 9,Manhattan CD 9,109,Active CERT team,2010-07-28T00:00:00.000
Brooklyn 12,Brooklyn CD 5,305,Active CERT team,2015-06-26T00:00:00.000
Brooklyn 1,Brooklyn CD 1,301,Active CERT team,2015-06-16T00:00:00.000
Manhattan 3,Manhattan CD 3,103,Active CERT team,2010-05-19T00:00:00.000
Queens 9,Queens CD 9 and 10,409/410,Active CERT team,2016-01-11T00:00:00.000
Manhattan  Division 4,"Manhattan CD 9, 12","109, 112",Active CERT team,2024-05-09T00:00:00.000
Manhattan  Division 1,"Manhattan CD 1, 2, 3","101, 102, 103",Active CERT team,2024-05-09T00:00:00.000
Brooklyn 15,Brooklyn CD 15,315,Active CERT team,2010-05-19T00:00:00.000
Brooklyn  Division 7,"Brooklyn CD 15, 18","315, 318",Active CERT team,2021-04-26T00:00:00.000
Queens  Division 2,"Queens CD 3, 4","403, 404",Active CERT team,2024-05-09T00:00:00.000
Brooklyn  Division 3,"Brooklyn CD 5, 16","305, 316",Active CERT team,2021-04-26T00:00:00.000
Bronx 5/6,Bronx CD 5 and 6,205/206,Active CERT team,2016-01-11T00:00:00.000
Brooklyn  Division 6,"Brooklyn CD 12, 14, 17","312, 314, 317",Active CERT team,2024-05-09T00:00:00.000
Brooklyn 12,Brooklyn CD 12,312,Active CERT team,2011-09-21T00:00:00.000
Brooklyn  Division 6,"Brooklyn CD 12, 14, 17","312, 314, 317",Active CERT team,2021-04-26T00:00:00.000
Manhattan  Division 3,"Manhattan CD 6, 8","106, 108",Active CERT team,2024-05-09T00:00:00.000
Manhattan  Division 3,"Manhattan CD 6, 8","106, 108",Active CERT team,2021-04-26T00:00:00.000
Queens 7/11,Queens CD 7 & 11,407/411,Active CERT team,2015-06-26T00:00:00.000
Queens  Division 1,"Queens CD 1, 2","401, 402",Active CERT team,2024-05-09T00:00:00.000
Brooklyn  Division 4,"Brooklyn CD 8, 9","308, 309",Active CERT team,2021-04-26T00:00:00.000
Manhattan  Division 2,"Manhattan CD 4, 5, 7","104, 105, 107",Active CERT team,2021-04-26T00:00:00.000
Manhattan 6,Manhattan CD 6,106,Active CERT team,2010-05-19T00:00:00.000
Brooklyn  Division 1,"Brooklyn CD 1, 3,  4","301, 303, 304",Active CERT team,2024-05-09T00:00:00.000
Bronx  Division 4,"Bronx CD 9, 10","209, 210",Active CERT team,2024-05-09T00:00:00.000
Queens  Division 4,"Queens CD 7, 11, 8","407, 408, 411",Active CERT team,2021-04-26T00:00:00.000
Bronx 8,Bronx CD 8,208,Active CERT team,2010-05-19T00:00:00.000
Manhattan  Division 4,"Manhattan CD 9, 12","109, 112",Active CERT team,2021-04-26T00:00:00.000
Brooklyn 13,Brooklyn CD 13,313,Active CERT team,2010-05-19T00:00:00.000
Bronx  Division 1,"Bronx CD 1, 2, 3","201, 202, 203",Active CERT team,2024-05-09T00:00:00.000
Queens  Division 1,"Queens CD 1, 2","401, 402",Active CERT team,2021-04-26T00:00:00.000
