number_of_staff_attending,cte_designated_high_school
3,False
1,False
6,False
17,True
5,False
14,True
7,True
8,True
3,False
4,True
2,False
13,False
11,False
12,True
7,False
8,False
13,True
13,True
6,False
1,True
4,False
10,False
4,True
7,True
3,True
2,True
10,True
6,True
3,False
13,True
4,False
5,False
3,True
18,True
8,True
7,False
10,False
10,False
18,True
17,True
14,True
18,True
1,True
4,True
2,False
14,True
5,False
5,False
5,False
5,False
7,True
14,True
8,True
6,False
13,True
1,False
13,True
14,True
7,True
8,True
7,True
14,True
8,False
7,False
6,False
17,True
6,False
1,False
3,False
5,True
15,False
3,True
8,True
13,True
11,False
5,False
6,False
7,False
18,True
14,True
17,True
8,False
18,True
8,False
3,True
10,False
8,True
18,True
17,True
7,False
8,True
10,False
4,False
9,True
7,False
14,True
17,True
9,True
7,False
10,True
5,False
18,True
6,True
6,False
8,True
5,False
8,True
4,False
13,False
8,False
1,True
7,False
13,False
1,False
11,False
3,False
2,False
8,True
3,False
17,True
5,False
4,True
1,False
7,True
18,True
1,False
3,True
5,False
1,False
8,True
6,True
7,True
7,False
14,True
13,True
17,True
13,False
15,False
8,True
17,True
8,False
13,True
5,False
18,True
3,False
13,True
18,True
1,False
8,True
2,False
8,False
6,False
7,False
12,False
5,False
2,False
13,True
17,True
13,False
5,True
15,False
3,False
18,True
17,True
13,True
9,True
8,True
5,False
6,True
3,False
18,True
0,False
5,False
5,False
18,True
5,False
0,False
3,True
17,True
12,False
11,True
2,False
3,False
7,False
1,False
4,False
8,True
11,False
12,False
8,False
5,False
8,False
6,True
7,True
13,True
13,True
10,True
1,False
13,True
12,False
