industry_cluster,program_cip_code
Hospitality and Tourism Cluster,520903
Information Technology Cluster,110201
Information Technology Cluster,110101
"Arts, Audio/Video Technology and Communications Cluster",500402
Architecture and Construction Cluster,460302
Scientific Research and Engineering Cluster,150501
Business Management and Administration Cluster,520701
Information Technology Cluster,470104
Manufacturing Production Cluster,151304
Information Technology Cluster,110201
"Arts, Audio/Video Technology and Communications Cluster",500501
Health Science Cluster,510714
Business Management and Administration Cluster,520701
Information Technology Cluster,151202
Law and Public Safety Cluster,430199
Health Science Cluster,511614
"Agriculture, Food and Natural Resources Cluster",10303
"Arts, Audio/Video Technology and Communications Cluster",500409
Health Science Cluster,510808
Law and Public Safety Cluster,439999
Business Management and Administration Cluster,520304
Law and Public Safety Cluster,220302
Health Science Cluster,510603
Marketing Sales and Services Cluster,120401
Health Science Cluster,511614
"Transportation, Distribution and Logistics Cluster",520203
Information Technology Cluster,110899
Architecture and Construction Cluster,469999
Health Science Cluster,510904
Manufacturing Production Cluster,480599
Health Science Cluster,511614
Hospitality and Tourism Cluster,120503
Manufacturing Production Cluster,151303
Information Technology Cluster,110901
"Arts, Audio/Video Technology and Communications Cluster",500409
Health Science Cluster,511614
Marketing Sales and Services Cluster,521401
Business Management and Administration Cluster,520701
Business Management and Administration Cluster,520701
"Arts, Audio/Video Technology and Communications Cluster",500602
Information Technology Cluster,470104
Marketing Sales and Services Cluster,120401
Health Science Cluster,510904
Health Science Cluster,510805
"Transportation, Distribution and Logistics Cluster",490101
Manufacturing Production Cluster,151303
Information Technology Cluster,110201
Finance Cluster,520899
Information Technology Cluster,110103
"Arts, Audio/Video Technology and Communications Cluster",500409
"Arts, Audio/Video Technology and Communications Cluster",500407
Manufacturing Production Cluster,150403
Information Technology Cluster,151202
Business Management and Administration Cluster,520701
"Transportation, Distribution and Logistics Cluster",490399
Business Management and Administration Cluster,520701
Health Science Cluster,511006
Information Technology Cluster,151202
Health Science Cluster,511006
"Agriculture, Food and Natural Resources Cluster",10601
"Arts, Audio/Video Technology and Communications Cluster",100203
Architecture and Construction Cluster,460302
Information Technology Cluster,110899
Information Technology Cluster,110201
Hospitality and Tourism Cluster,520903
"Arts, Audio/Video Technology and Communications Cluster",500406
Manufacturing Production Cluster,151399
Scientific Research and Engineering Cluster,150000
Business Management and Administration Cluster,520101
Hospitality and Tourism Cluster,120503
Information Technology Cluster,111002
Information Technology Cluster,110201
"Transportation, Distribution and Logistics Cluster",470608
"Transportation, Distribution and Logistics Cluster",470603
Law and Public Safety Cluster,430199
