grade_levels_served,dbn
9101112.0,01M448
9101112.0,13K499
9101112.0,24Q485
9101112.0,02M630
9101112.0,16K455
9101112.0,07X522
9101112.0,02M393
9101112.0,21K620
9101112.0,02M542
9101112.0,10X264
9101112.0,02M519
9101112.0,20K445
9101112.0,10X368
9101112.0,11X275
9101112.0,25Q460
9101112.0,06M468
9101112.0,02M551
9101112.0,07X600
9101112.0,21K410
11.0,02M135
9101112.0,02M489
9101112.0,08X530
9101112.0,02M533
9101112.0,19K660
9101112.0,17K751
9101112.0,05M157
9101112.0,18K617
9101112.0,02M139
9101112.0,19K502
9101112.0,02M551
9101112.0,19K510
9101112.0,17K408
9101112.0,14K558
9101112.0,24Q600
9101112.0,02M615
910.0,10X237
911.0,11X270
9101112.0,11X270
9101112.0,24Q600
9101112.0,02M630
,06M211
9101112.0,24Q600
9101112.0,02M135
9101112.0,02M533
11.0,19K583
9101112.0,07X522
9101112.0,24Q550
9101112.0,22K425
9101112.0,22K425
9101112.0,11X418
9101112.0,19K660
101112.0,17K122
9101112.0,02M615
101112.0,02M392
9101112.0,02M551
9101112.0,03M299
101112.0,17K600
9101112.0,17K122
9101112.0,19K660
9101112.0,03M402
9101112.0,10X524
9101112.0,07X522
9101112.0,09X365
9101112.0,14K454
9101112.0,24Q485
9101112.0,02M630
9101112.0,10X213
91011.0,05M692
9101112.0,24Q455
9101112.0,02M288
9101112.0,14K478
,02M280
9101112.0,24Q610
9101112.0,07X600
9101112.0,25Q425
9101112.0,02M300
9101112.0,21K690
9101112.0,25Q460
9101112.0,13K605
101112.0,07X522
9101112.0,19K615
101112.0,20K490
9101112.0,24Q600
9101112.0,21K525
9101112.0,02M280
9101112.0,13K419
101112.0,02M507
9101112.0,24Q600
9101112.0,02M630
9101112.0,15K519
9101112.0,02M615
9101112.0,08X530
101112.0,09X403
9101112.0,19K618
9101112.0,21K540
9101112.0,06M211
9101112.0,02M630
9101112.0,19K618
9101112.0,22K405
9101112.0,14K610
9101112.0,03M485
91112.0,24Q600
9101112.0,02M600
9101112.0,21K410
101112.0,02M507
9101112.0,24Q550
9101112.0,02M507
9101112.0,02M489
9101112.0,20K445
9101112.0,21K525
9101112.0,07X259
9101112.0,22K405
9101112.0,20K445
101112.0,17K543
9101112.0,25Q425
9101112.0,02M542
9101112.0,21K559
9101112.0,21K620
9101112.0,09X324
9101112.0,02M630
9101112.0,22K425
9101112.0,13K674
9101112.0,20K485
9101112.0,19K660
9101112.0,24Q600
9101112.0,09X412
,02M282
9101112.0,17K408
9101112.0,10X284
91112.0,21K620
9101112.0,02M600
9101112.0,19K660
101112.0,22K405
9101112.0,07X522
9101112.0,07X600
9101112.0,02M630
9101112.0,11X545
9101112.0,14K478
9101112.0,21K620
9101112.0,02M630
9101112.0,21K525
9101112.0,17K600
9101112.0,03M485
9101112.0,13K605
9101112.0,16K688
9101112.0,02M551
9101112.0,13K605
9101112.0,10X284
101112.0,21K620
9101112.0,10X439
101112.0,02M420
9101112.0,14K477
9101112.0,02M529
9101112.0,13K430
9101112.0,24Q264
9101112.0,02M519
9101112.0,02M551
9101112.0,19K615
9101112.0,20K445
9101112.0,02M546
9101112.0,14K478
9101112.0,24Q455
91011.0,24Q600
9101112.0,19K615
9101112.0,17K600
9101112.0,19K618
9101112.0,19K764
9101112.0,10X437
9101112.0,02M600
9101112.0,15K497
9101112.0,24Q600
9101112.0,11X508
9101112.0,10X437
9101112.0,06M467
9101112.0,13K605
9101112.0,03M485
9101112.0,17K548
9101112.0,02M282
9101112.0,19K615
9101112.0,13K430
9101112.0,10X565
9101112.0,05M362
9101112.0,08X559
9101112.0,02M529
9101112.0,18K567
9101112.0,09X403
9101112.0,03M402
9101112.0,10X368
9101112.0,13K430
9101112.0,20K490
9101112.0,24Q264
9101112.0,09X365
9101112.0,02M600
91012.0,02M393
9101112.0,02M551
9101112.0,17K600
,14K610
9101112.0,04M435
9101112.0,17K600
1112.0,13K430
