number_of_industry_partners,school_name,program_name
3,Academy of Innovative Technology,Game and Interactive Media Design
5,Midwood High School,"Communications and Media Studies, Other"
5,Automotive High School,Automobile/Automotive Mechanics Technology/Technician
3,Fiorello H. LaGuardia High School of Music & Art a,"Dance, General"
2,Queens Technical High School,"Electrical, Electronic and Communications Engineering Technology/Technician"
5,The High School of Fashion Industries,Fashion Merchandising
3,Abraham Lincoln High School,Entrepreneurship/Entrepreneurial Studies
4,Urban Assembly Gateway School for Technology,Graphic Design
2,High School for Arts and Business,Entrepreneurship/Entrepreneurial Studies
4,Urban Assembly Gateway School for Technology,"Computer Programming/Programmer, General"
3,High School of Economics and Finance,Entrepreneurship/Entrepreneurial Studies
4,New Utrecht High School,Tourism and Travel Services Management
3,Edward R. Murrow High School,Recording Arts Technology/Technician
2,"H.E.R.O. High (Health, Education, and Research Occ",Licensed Practical/Vocational Nurse Training
9,Midwood High School,"Corrections and Criminal Justice, Other"
12,New Utrecht High School,"Corrections and Criminal Justice, Other"
3,"Science, Technology and Research Early College Hig",Electrician
0,John Bowne High School,"Agriculture, General"
2,Manhattan Bridges High School,Graphic Design
3,Life Academy High School for Film and Music,Cinematography and Film/Video Production
4,William E. Grady Career and Technical Education Hi,Culinary Arts/Chef Training
3,Bronx Early College Academy for Teaching & Learnin,Computer Installation and Repair Technology/Technician
3,Art and Design High School,Prepress/Desktop Publishing and Digital Imaging Design
9,James Madison High School,"Corrections and Criminal Justice, Other"
3,"City Polytechnic High School of Engineering, Archi",Architectural Engineering Technology/Technician
2,High School of Telecommunication Arts and Technolo,"Computer Programming/Programmer, General"
2,W. H. Maxwell Career and Technical Education High,Medical Insurance Specialist/Medical Biller
4,Queens Technical High School,Computer Graphics
5,Bronx High School of Business,Entrepreneurship/Entrepreneurial Studies
0,Urban Assembly Maker Academy,Digital Arts
5,Academy of Hospitality and Tourism,Tourism and Travel Services Management
2,Bronx School of Law and Finance,Accounting and Finance
5,William E. Grady Career and Technical Education Hi,Automobile/Automotive Mechanics Technology/Technician
3,The High School of Fashion Industries,Graphic Design
3,W. H. Maxwell Career and Technical Education High,Communications Technology/Technician
2,Midwood High School,CAD/CADD Drafting and/or Design Technology/Technician
3,Bronx Design and Construction Academy,Carpentry/Carpenter
4,Alfred E. Smith Career and Technical Education Hig,Automobile/Automotive Mechanics Technology/Technician
9,Art and Design High School,Fashion/Apparel Design
3,Bronx Aerospace High School,"Engineering Technology, General"
6,"The High School for Enterprise, Business and Techn",Tourism and Travel Services Management
4,William E. Grady Career and Technical Education Hi,Construction Engineering Technology/Technician
3,Art and Design High School,"Animation, Interactive Technology, Video Graphics and Special Effects"
3,Edward R. Murrow High School,Entrepreneurship/Entrepreneurial Studies
3,Clara Barton High School,Nurse/Nursing Assistant/Aide and Patient Care Assistant
4,Fiorello H. LaGuardia High School of Music & Art a,"Drama and Dramatics/Theatre Arts, General"
2,George Westinghouse Career and Technical Education,Culinary Arts/Chef Training
3,The Brooklyn Academy of Global Finance,Accounting and Finance
3,Urban Assembly New York Harbor School,Marine Maintenance/Fitter and Ship Repair Technology/Technician
5,George Westinghouse Career and Technical Education,Electrician
9,Bronx School of Law and Finance,"Corrections and Criminal Justice, Other"
4,William E. Grady Career and Technical Education Hi,Nurse/Nursing Assistant/Aide and Patient Care Assistant
8,Bronx High School for Law and Community Service,Criminal Justice/Police Science
6,High School for Health Professions and Human Servi,Clinical/Medical Laboratory Assistant
9,East Williamsburg Scholars Academy,Criminal Justice/Police Science
3,Jacqueline Kennedy Onassis High School,Tourism and Travel Services Management
7,Brooklyn Technical High School,Mass Communications/Media Studies
3,Academy of Finance and Enterprise,Accounting and Finance
2,Talent Unlimited High School,"Dance, General"
