permitnumber,feetype,permitfeeamountcharged,createdon,modifiedon
M042019233A00,ADMINISTRATION FEE,70,2019-08-21T09:12:46.000,2021-03-19T00:05:21.000
B042024261A20,ADMINISTRATION FEE,70,2024-09-17T15:57:08.000,2024-10-20T00:05:02.000
M012018136B81,INSPECTION FEE,245,2018-05-16T18:52:48.000,2021-06-15T00:05:14.000
B022022271C01,ADMINISTRATION FEE,50,2022-09-28T16:33:11.000,2022-12-28T00:05:08.000
B162021209A16,ADMINISTRATION FEE,30,2021-07-28T08:38:20.000,2021-08-02T00:05:09.000
B012018123B45,ADMINISTRATION FEE,135,2018-05-03T12:33:00.000,2021-06-03T00:05:14.000
B022021152B80,ADMINISTRATION FEE,50,2021-06-01T16:10:12.000,2021-08-01T00:05:08.000
Q012018131D27,ADMINISTRATION FEE,135,2018-05-11T15:31:22.000,2021-06-10T00:05:14.000
B012018057A18,ADMINISTRATION FEE,135,2018-02-26T07:52:40.000,2021-03-27T00:05:24.000
B012018043A60,ADMINISTRATION FEE,135,2018-02-12T08:13:04.000,2021-03-06T00:05:22.000
M022020357C10,ADMINISTRATION FEE,50,2020-12-22T11:47:15.000,2021-03-27T00:05:12.000
M012018061B30,ADMINISTRATION FEE,135,2018-03-02T10:05:01.000,2021-03-19T00:05:21.000
B012021145B22,ADMINISTRATION FEE,135,2021-05-25T12:48:55.000,2024-07-04T00:05:33.000
Q022022242A07,INSPECTION FEE,30,2022-08-30T09:31:56.000,2022-09-26T00:05:09.000
M022021042A04,ADMINISTRATION FEE,50,2021-02-11T07:13:10.000,2021-03-17T00:05:10.000
Q012017346C48,ADMINISTRATION FEE,405,2017-12-12T17:50:05.000,2021-03-12T00:05:19.000
B012021350A09,ADMINISTRATION FEE,135,2021-12-16T07:11:03.000,2022-01-16T00:05:16.000
X162021214A30,ADMINISTRATION FEE,30,2021-08-02T19:03:12.000,2021-08-07T00:05:09.000
X012017257A77,EXTENSION FEE,40,2017-09-14T15:45:46.000,2021-03-30T00:05:22.000
M012018047B15,ADMINISTRATION FEE,135,2018-02-16T14:32:40.000,2021-03-12T00:05:19.000
X012024156B11,ADMINISTRATION FEE,135,2024-06-04T14:42:55.000,2024-07-04T00:05:26.000
B022021081C31,ADMINISTRATION FEE,50,2021-03-22T12:54:16.000,2021-06-20T12:35:13.000
B022024194A85,ADMINISTRATION FEE,50,2024-07-12T12:31:17.000,2024-09-06T10:42:02.000
S012016173A43,ADMINISTRATION FEE,540,2016-06-21T07:40:48.000,2021-06-08T00:05:12.000
Q042024250A22,ADMINISTRATION FEE,70,2024-09-06T10:49:44.000,2024-09-06T14:15:40.000
B162021062A18,ADMINISTRATION FEE,30,2021-03-03T11:55:13.000,2021-03-08T00:05:09.000
M012018138B30,ADMINISTRATION FEE,135,2018-05-18T12:39:53.000,2021-06-09T00:05:14.000
Q012018124A64,ADMINISTRATION FEE,540,2018-05-04T08:03:48.000,2021-06-30T00:05:17.000
M022024094B46,ADMINISTRATION FEE,50,2024-04-03T12:19:12.000,2024-07-03T21:35:16.000
Q022021343A79,INSPECTION FEE,100,2021-12-09T10:33:03.000,2022-03-12T00:05:10.000
B162021169A04,ADMINISTRATION FEE,30,2021-06-18T03:43:11.000,2021-06-26T00:05:08.000
Q022021054A87,ADMINISTRATION FEE,100,2021-02-23T11:52:34.000,2021-06-06T00:05:08.000
M012018152A80,ADMINISTRATION FEE,135,2018-06-01T11:02:56.000,2021-06-30T00:05:17.000
B012018163B76,ADMINISTRATION FEE,135,2018-06-12T08:37:08.000,2021-08-08T00:05:14.000
M022022166C39,ADMINISTRATION FEE,100,2022-06-15T13:28:12.000,2022-09-26T00:05:09.000
M012023136A43,EMERGENCY FEE,45,2023-05-16T08:33:52.000,2023-06-14T00:05:14.000
B012018065B62,ADMINISTRATION FEE,405,2018-03-06T08:40:54.000,2021-06-04T00:05:15.000
S012021155B04,ADMINISTRATION FEE,135,2021-06-04T11:41:57.000,2024-07-04T00:05:33.000
B162021080A01,ADMINISTRATION FEE,30,2021-03-21T08:02:04.000,2021-03-26T00:05:12.000
B022020317B07,ADMINISTRATION FEE,50,2020-11-12T12:30:11.000,2021-03-02T00:05:12.000
M012019241B51,ADMINISTRATION FEE,135,2019-08-29T15:33:28.000,2024-04-11T00:05:14.000
M012018155A41,EXTENSION FEE,40,2018-06-04T08:22:46.000,2021-06-25T00:05:15.000
X022022179B92,ADMINISTRATION FEE,50,2022-06-28T14:11:27.000,2022-09-26T00:05:09.000
B012017342B48,ADMINISTRATION FEE,135,2017-12-08T19:57:14.000,2018-01-12T00:07:19.000
S012018040B32,ADMINISTRATION FEE,540,2018-02-09T14:21:04.000,2021-03-03T00:05:21.000
B012018141A83,ADMINISTRATION FEE,135,2018-05-21T07:19:41.000,2021-08-01T00:05:27.000
M022022090B32,ADMINISTRATION FEE,50,2022-03-31T10:54:16.000,2022-06-28T00:05:10.000
B022021363F64,ADMINISTRATION FEE,50,2021-12-29T14:13:09.000,2022-03-12T00:05:10.000
M022021060C14,ADMINISTRATION FEE,50,2021-03-01T10:45:16.000,2021-06-11T00:05:08.000
B012023138A89,INSPECTION FEE,245,2023-05-18T13:24:11.000,2023-06-14T00:05:14.000
Q012019284C08,ADMINISTRATION FEE,135,2019-10-11T15:08:42.000,2022-11-13T00:05:32.000
Q012018122A82,ADMINISTRATION FEE,135,2018-05-02T10:46:02.000,2021-06-03T00:05:14.000
Q022023104A03,ADMINISTRATION FEE,50,2023-04-14T08:29:21.000,2023-05-13T00:05:08.000
B162024286A15,ADMINISTRATION FEE,30,2024-10-12T09:41:13.000,2024-10-20T00:05:15.000
M012024149B85,ADMINISTRATION FEE,135,2024-05-28T16:47:35.000,2024-06-06T00:05:20.000
M022020366A13,ADMINISTRATION FEE,250,2020-12-31T07:10:10.000,2021-03-28T00:05:10.000
Q012017349F26,ADMINISTRATION FEE,405,2017-12-15T13:16:27.000,2021-03-19T00:05:21.000
B012018351B61,ADMINISTRATION FEE,135,2018-12-17T13:03:39.000,2022-01-16T00:05:35.000
X032021325A12,ADMINISTRATION FEE,30,2021-11-21T11:34:55.000,2021-11-23T00:05:10.000
X012021095A44,ADMINISTRATION FEE,405,2021-04-05T09:20:29.000,2024-07-04T00:05:33.000
B012018282A34,ADMINISTRATION FEE,405,2018-10-09T08:24:26.000,2022-01-16T00:05:35.000
B022024157A69,ADMINISTRATION FEE,50,2024-06-05T10:16:32.000,2024-07-04T00:05:10.000
M032021274A02,ADMINISTRATION FEE,30,2021-10-01T01:35:11.000,2021-10-03T00:05:09.000
X022024165C03,ADMINISTRATION FEE,50,2024-06-13T10:17:44.000,2024-09-22T00:05:11.000
S012017303A79,ADMINISTRATION FEE,135,2017-10-30T10:34:15.000,2021-11-23T00:05:26.000
B012018047E34,ADMINISTRATION FEE,135,2018-02-16T14:50:15.000,2021-03-23T00:05:21.000
M022021077B83,ADMINISTRATION FEE,50,2021-03-18T11:01:36.000,2021-06-26T00:05:08.000
X012018106B28,ADMINISTRATION FEE,270,2018-04-16T13:27:13.000,2021-06-16T00:05:13.000
B012018110A61,ADMINISTRATION FEE,405,2018-04-20T08:46:23.000,2021-07-01T00:05:17.000
Q162021176A25,ADMINISTRATION FEE,30,2021-06-25T11:06:21.000,2021-06-30T00:05:09.000
Q162021070A28,ADMINISTRATION FEE,30,2021-03-11T12:26:12.000,2021-03-11T12:26:12.000
B012018101B75,ADMINISTRATION FEE,270,2018-04-11T09:25:01.000,2021-06-09T00:05:14.000
Q012017202B38,ADMINISTRATION FEE,135,2017-07-21T14:07:17.000,2021-08-08T00:05:14.000
B012018106B28,ADMINISTRATION FEE,540,2018-04-16T08:41:26.000,2021-06-30T00:05:17.000
