in_playground,patroncount
False,12
False,300
False,45
True,10
True,25
False,25
False,14
False,17
True,15
False,30
False,100
True,33
False,17
False,75
False,2
False,5
False,16
False,8
True,60
True,60
False,75
False,5
False,30
True,150
False,10
True,30
False,250
False,15
False,20
True,25
True,50
False,10
True,12
False,12
False,2
True,45
False,150
True,40
False,80
True,50
False,30
True,50
True,4
True,40
False,150
True,2
True,50
False,50
False,25
False,25
True,15
True,50
False,20
False,90
True,60
True,60
False,500
False,5
False,200
False,75
True,14
True,25
False,25
False,50
True,20
False,20
True,200
False,50
False,50
True,30
False,60
False,20
True,2
True,40
False,200
False,12
False,20
True,35
False,30
False,10
True,39
True,40
True,30
False,150
False,100
False,30
False,16
False,50
True,4
True,30
False,4
True,10
True,50
False,25
True,50
False,200
True,2
True,20
False,12
True,15
False,30
False,50
True,50
False,30
False,200
False,30
False,12
False,15
False,25
True,100
True,75
False,6
False,19
True,25
True,25
False,35
False,25
True,30
False,15
True,80
True,50
False,25
True,70
True,20
True,12
True,15
True,3
False,1
False,39
False,25
True,50
True,40
False,6
True,15
True,15
True,100
False,10
True,30
True,3
True,12
False,6
True,40
False,20
True,15
True,30
False,100
False,200
True,400
True,12
False,3
False,17
True,40
True,100
False,10
False,30
False,20
False,10
False,25
True,50
False,35
False,20
False,20
False,60
False,30
True,12
True,4
False,40
False,40
False,50
False,13
False,20
True,25
False,35
False,80
True,30
False,50
False,100
True,50
False,50
False,8
False,100
False,8
True,100
False,40
False,16
True,20
True,15
False,10
True,15
False,500
True,200
False,30
True,3
True,100
False,60
False,80
True,15
False,30
True,13
False,15
