acres
186.81
298.8
296.77
507.4
615.5
90.28
115.34
429.72
80.09
29.75
86.4
103.7
82.15
7.14
168.87
246.18
70.15
45.57
22.69
104.12
101.79
346.32
402.58
118.55
236.11
851.35
70.48
226.41
25.03
56.84
481.13
833.09
32.0
2.83
231.41
215.15
624.4
15.16
169.54
361.96
291.13
421.9
323.56
98.29
87.57
73.56
447.76
308.58
125.64
285.43
270.42
642.11
314.03
398.1
1.04
803.11
853.26
661.72
46.24
39.71
496.64
29.74
354.64
220.23
441.8
21.82
311.04
172.46
459.32
2.09
135.45
88.73
0.96
173.45
660.98
345.56
141.9
95.45
236.55
58.39
41.73
81.06
431.34
48.52
420.81
103.59
202.33
135.48
430.49
187.54
94.82
75.98
731.94
561.83
4.76
200.02
129.71
330.0
389.22
208.87
183.04
19.72
1240.68
1456.25
56.59
183.42
95.03
119.58
488.81
249.8
499.38
69.67
1029.35
53.42
825.09
37.79
332.3
104.83
57.42
63.01
163.55
19.65
29.71
285.96
95.36
173.55
673.06
251.78
111.17
494.57
0.69
26.26
191.28
99.45
240.4
299.58
95.65
188.89
2145.73
58.85
30.85
94.42
1305.44
69.23
8.52
223.64
197.68
10.92
932.65
73.1
60.43
36.16
143.7
42.86
54.73
103.78
540.18
465.9
368.31
647.72
1936.88
146.34
180.57
76.82
213.49
384.3
18.53
57.5
30.16
244.62
23.87
81.87
256.41
30.7
187.68
57.89
138.16
156.34
174.4
220.21
87.0
31.98
2.85
138.37
66.79
17.67
2682.2
109.28
717.86
52.72
167.97
269.06
395.01
278.5
252.6
79.15
428.77
198.31
137.22
144.08
