map,wmu,label
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Glen_Road.pdf'},3A,No Permit Required
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Center_Jewett.pdf'},4R,No Permit Required
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Dinch_Road.pdf'},3A,Access by Permit Only
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Chambers_Hollow.pdf'},4O,No Permit Required
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Beech_Hill.pdf'},4W,No Permit Required
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Forest_Road.pdf'},3H,No Permit Required
{'url': 'https://www1.nyc.gov/assets/dep/downloads/pdf/recreation/angler-maps/Boyd_Corners.pdf'},3N,Fishing Access by Permit Only
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Blodgett_Road.pdf'},4R,No Permit Required
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Denver.pdf'},4R,No Permit Required
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Carey_Road.pdf'},4P,No Permit Required
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Boulder_Hill.pdf'},4R,No Permit Required
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Buffalo_Hollow.pdf'},4R,No Permit Required
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Birch_Creek.pdf'},4R,No Permit Required
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Cleaver.pdf'},4O,No Permit Required
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Flat_Brook.pdf'},3A,No Permit Required
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Acorn_Hill.pdf'},3C,No Permit Required
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Bull_Hill.pdf'},4G,No Permit Required
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Honest_Brook.pdf'},4O,No Permit Required
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Flynn_Brook.pdf'},4P,Access by Permit Only
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Hinkley.pdf'},4P,No Permit Required
{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Cat_Hollow.pdf'},4W,No Permit Required
