recreation_unit,map,acres,status
Herrick Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Herrick_Hollow.pdf'},39.71,Open
Floyd Finch Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Floyd_Finch_Road.pdf'},66.79,Open
Bushkill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Bushkill.pdf'},447.76,Open
Carver Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Carver_Hill.pdf'},19.72,Open
Bobs Brook,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Bobs_Brook.pdf'},56.84,Open
Airport Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Airport_Road.pdf'},22.69,Open
Holmes Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Holmes_Hollow.pdf'},270.42,Open
Dryden Brook,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Dryden_Brook.pdf'},87.0,Open
Beaverkill West,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Beaverkill_West.pdf'},10.92,Open
Barnum Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Barnum_Road.pdf'},53.42,Open
Black Dome Valley,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Black_Dome_Valley.pdf'},441.8,Open
Glenford,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Glenford.pdf'},540.18,Open
Hubbell Hill Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Hubbell_Hill_Hollow.pdf'},37.79,Open
Cleaver,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Cleaver.pdf'},56.59,Open
Fletcher Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Fletcher_Hollow.pdf'},402.58,Open
Center Jewett,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Center_Jewett.pdf'},226.41,Open
Bussey Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Bussey_Hollow.pdf'},345.56,Open
Flynn Brook,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Flynn_Brook.pdf'},2145.73,Open
Hobart Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Hobart_Hill.pdf'},69.23,Open
Bump Mountain,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Bump_Mountain.pdf'},220.21,Open
Chambers Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Chambers_Hollow.pdf'},173.55,Open
Beerston,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Beerston.pdf'},851.35,Open
Gun House Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Gun_House_Hill.pdf'},183.42,Open
Conklin Brook,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Conklin_Brook.pdf'},249.8,Open
Bull Hill South,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Bull_Hill_South.pdf'},73.56,Open
Herrick Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Herrick_Hill.pdf'},291.13,Open
Bluebird Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Bluebird_Road.pdf'},186.81,Open
Caulkins Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Caulkins_Road.pdf'},26.26,Open
Cannonsville Fishing Access Area,{'url': 'https://www1.nyc.gov/assets/dep/downloads/pdf/recreation/angler-maps/Cannonsville.pdf'},2682.2,Open
East Windham,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/East_Windham.pdf'},103.78,Open
Herdman Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Herdman_Road.pdf'},17.67,Open
Devasego Park Day Use Area,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Devasego_Park_Day_Use_Area.pdf'},52.72,Open
Amawalk Fishing Access Area,{'url': 'https://www1.nyc.gov/assets/dep/downloads/pdf/recreation/angler-maps/Amawalk.pdf'},82.15,Open
Barbour Brook,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Barbour_Brook.pdf'},420.81,Open
Big Indian,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Big_Indian.pdf'},256.41,Open
Carey Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Carey_Road.pdf'},252.6,Open
Green Eyes,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Green_Eyes.pdf'},172.46,Open
Beaver Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Beaver_Hill.pdf'},173.45,Open
Alamar,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Alamar.pdf'},95.03,Open
Chestnut Creek,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Chestnut_Creek.pdf'},129.71,Open
East River Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/East_River_Road.pdf'},19.65,Open
Hubbell Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Hubbell_Hill.pdf'},135.48,Open
East Branch Delaware,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/East_Branch_Delaware.pdf'},58.85,Open
Conesville,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Conesville.pdf'},0.96,Open
Black Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Black_Road.pdf'},86.4,Open
East Neversink,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/East_Neversink.pdf'},1936.88,Open
Betts Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Betts_Hill.pdf'},138.37,Open
Freer Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Freer_Hollow.pdf'},81.87,Open
High Peak,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/High_Peak.pdf'},104.83,Open
Bluebird Road North,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Bluebird_Road_North.pdf'},32.0,Open
Hughes Brook,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Hughes_Brook.pdf'},29.74,Open
Denman Mountain,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Denman_Mountain.pdf'},278.5,Open
Baxter Brook,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Baxter_Brook.pdf'},8.52,Open
Cross River Fishing Access Area,{'url': 'https://www1.nyc.gov/assets/dep/downloads/pdf/recreation/angler-maps/Cross_River.pdf'},395.01,Open
Honest Brook,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Honest_Brook.pdf'},79.15,Open
Cole Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Cole_Hill.pdf'},494.57,Open
Bear Spring,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Bear_Spring.pdf'},1305.44,Open
Boyd Corners South,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Boyd_Corners_South.pdf'},323.56,Open
Balsam Mountain,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Balsam_Mountain.pdf'},853.26,Open
Bull Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Bull_Hill.pdf'},183.04,Open
Blodgett Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Blodgett_Road.pdf'},4.76,Open
Dunraven Day Use Area,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Dunraven_Day_Use_Area.pdf'},0.69,Open
Ashokan Brook,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Ashokan_Brook.pdf'},31.98,Open
Horse Pound Brook,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Horse_Pound_Brook.pdf'},1029.35,Open
Hardscrabble Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Hardscrabble_Road.pdf'},46.24,Open
Angle Fly,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Angle_Fly.pdf'},269.06,Open
Dancing Rock,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Dancing_Rock.pdf'},156.34,Open
Arena,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Arena.pdf'},389.22,Open
Hollister Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Hollister_Hill.pdf'},57.42,Open
Gladstone Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Gladstone_Hollow.pdf'},661.72,Open
