recreation_unit,lastmodifi
Covert Hollow,2023-10-19T11:52:00.000
East Platner Brook,2017-09-28T12:32:00.000
Bloomville,2020-07-08T09:26:00.000
Dancing Rock,2015-07-16T13:26:00.000
East Masonville,2024-09-10T12:52:00.000
Amawalk Outlet,2019-12-06T11:55:00.000
East Windham,
Holmes Hollow,2024-02-16T08:24:00.000
Hubbell Hill,2021-09-08T12:02:00.000
Delaware Headwaters,2020-09-18T09:48:00.000
Carman Road,2023-05-16T13:50:00.000
Halcott,
Churchill Mountain,2020-09-18T09:44:00.000
Bungalow Brook,
Fish Hollow,2016-11-16T14:02:00.000
Cole Hill,2024-01-26T11:35:00.000
Broadstreet Hollow,
Carey Road,2020-07-29T14:03:00.000
Fall Clove Road,2024-03-01T11:22:00.000
Beech Ridge,2023-12-12T13:25:00.000
Diamond Road,
Croton Falls Outlet,2024-09-09T13:04:00.000
Dryden Brook,
Cozy Hollow,2023-07-12T13:48:00.000
Cross River Dam Day Use Area,2017-09-06T09:40:00.000
Brodhead,
Betts Hill,2023-05-15T12:27:00.000
Fletcher Hollow,2017-05-17T15:24:00.000
Covesville,2017-05-17T15:09:00.000
Barnum Road,
Dog Hill,2023-11-24T11:01:00.000
Cross Road,2024-01-26T11:37:00.000
Horton Brook,
Herrick Hill,2023-11-20T09:44:00.000
Devasego,2020-09-10T15:14:00.000
Carriage House,2018-11-19T10:29:00.000
Flynn Brook,2017-09-28T12:32:00.000
Blue Hill,2020-11-02T10:43:00.000
Freer Hollow,
Chandler Cove,2016-09-15T16:23:00.000
Gregory Hill,
Denman Mountain,
Amawalk Fishing Access Area,2017-05-10T11:17:00.000
East Fishkill,2024-02-06T10:30:00.000
Beaches Corner,2023-10-13T07:34:00.000
Bryants Brook,2024-09-11T08:55:00.000
Dunraven North,2023-12-12T13:26:00.000
