pickup_datetime,dispatching_base_num
2018-01-03T16:33:00.000,B02488
2018-01-03T16:00:49.000,B01626
2018-01-03T16:21:21.000,B02510
2018-01-03T16:44:15.000,B01606
2018-01-03T16:39:30.000,B02509
2018-01-03T16:23:45.000,B01606
2018-01-03T16:43:00.000,B01601
2018-01-03T16:04:00.000,B01601
2018-01-03T16:34:07.000,B02510
2018-01-03T16:26:43.000,B01606
2018-01-03T16:56:09.000,B02472
2018-01-03T16:34:42.000,B02871
2018-01-03T16:01:27.000,B01606
2018-01-03T16:19:25.000,B02510
2018-01-03T16:59:26.000,B02509
2018-01-03T16:37:07.000,B02472
2018-01-03T16:30:56.000,B02509
2018-01-03T16:34:23.000,B01606
2018-01-03T16:08:42.000,B02509
2018-01-03T16:18:05.000,B01606
2018-01-03T16:29:42.000,B01626
2018-01-03T16:59:43.000,B02472
2018-01-03T16:59:28.000,B01606
2018-01-03T16:09:25.000,B01606
2018-01-03T16:14:42.000,B02510
2018-01-03T16:33:09.000,B01626
2018-01-03T16:52:35.000,B02510
2018-01-03T16:40:20.000,B02510
2018-01-03T16:10:58.000,B02510
2018-01-03T16:11:00.000,B02488
2018-01-03T16:36:45.000,B02510
2018-01-03T16:26:48.000,B02510
2018-01-03T16:13:02.000,B02509
2018-01-03T16:38:57.000,B01626
2018-01-03T16:38:18.000,B01626
2018-01-03T16:53:21.000,B01606
2018-01-03T16:48:25.000,B01606
2018-01-03T16:31:44.000,B02510
2018-01-03T16:59:09.000,B02509
2018-01-03T16:46:37.000,B01626
2018-01-03T16:23:18.000,B01606
2018-01-03T16:39:32.000,B01606
2018-01-03T16:25:58.000,B02510
2018-01-03T16:40:00.000,B02488
2018-01-03T16:06:00.000,B02488
2018-01-03T16:46:00.000,B01623
2018-01-03T16:05:42.000,B01606
2018-01-03T16:39:06.000,B02510
2018-01-03T16:28:00.000,B01601
2018-01-03T16:45:11.000,B01606
2018-01-03T16:34:29.000,B02510
2018-01-03T16:53:01.000,B02509
2018-01-03T16:36:01.000,B02510
2018-01-03T16:14:49.000,B02510
2018-01-03T16:25:24.000,B02510
2018-01-03T16:11:02.000,B01626
2018-01-03T16:44:53.000,B02510
2018-01-03T16:41:38.000,B02509
2018-01-03T16:27:16.000,B02510
2018-01-03T16:28:44.000,B01606
2018-01-03T16:07:06.000,B01606
2018-01-03T16:42:00.000,B01625
2018-01-03T16:49:46.000,B02505
2018-01-03T16:07:14.000,B02510
2018-01-03T16:25:12.000,B01626
2018-01-03T16:15:00.000,B02488
