dropoff_datetime,dolocationid
2018-01-03T16:50:55.000,186.0
2018-01-03T16:42:59.000,265.0
2018-01-03T17:33:56.000,
2018-01-03T16:26:52.000,265.0
2018-01-03T17:05:59.000,1.0
2018-01-03T16:29:00.000,
2018-01-03T16:16:22.000,265.0
2018-01-03T16:19:15.000,265.0
2018-01-03T16:22:36.000,265.0
2018-01-03T17:09:37.000,80.0
2018-01-03T18:57:00.000,
2018-01-03T16:59:51.000,80.0
2018-01-03T16:35:20.000,265.0
2018-01-03T16:58:42.000,265.0
2018-01-03T17:18:45.000,265.0
2018-01-03T16:41:31.000,37.0
2018-01-03T17:03:15.000,265.0
2018-01-03T16:37:55.000,265.0
2018-01-03T17:00:48.000,265.0
2018-01-03T16:26:57.000,265.0
2018-01-03T16:52:17.000,265.0
2018-01-03T16:13:19.000,260.0
2018-01-03T16:11:10.000,265.0
2018-01-03T16:57:00.000,
2018-01-03T18:32:00.000,
2018-01-03T17:05:00.000,173.0
2018-01-03T16:28:28.000,265.0
2018-01-03T16:27:19.000,265.0
2018-01-03T16:43:28.000,265.0
2018-01-03T16:57:19.000,265.0
2018-01-03T16:26:41.000,233.0
2018-01-03T16:20:40.000,265.0
2018-01-03T16:56:27.000,265.0
2018-01-03T18:17:00.000,
2018-01-03T16:20:36.000,265.0
2018-01-03T16:18:14.000,265.0
2018-01-03T17:07:49.000,265.0
2018-01-03T17:06:21.000,225.0
2018-01-03T16:09:49.000,144.0
2018-01-03T17:19:35.000,265.0
2018-01-03T18:13:00.000,
2018-01-03T17:21:08.000,61.0
2018-01-03T17:01:00.000,
2018-01-03T16:49:05.000,265.0
2018-01-03T17:38:00.000,
2018-01-03T17:07:00.000,
2018-01-03T17:11:15.000,265.0
2018-01-03T16:33:34.000,265.0
2018-01-03T17:35:42.000,265.0
2018-01-03T16:06:49.000,
2018-01-03T16:47:22.000,265.0
2018-01-03T16:52:39.000,41.0
2018-01-03T17:06:00.000,107.0
2018-01-03T16:32:09.000,48.0
2018-01-03T16:49:48.000,151.0
2018-01-03T16:29:57.000,39.0
2018-01-03T17:01:42.000,265.0
2018-01-03T16:49:08.000,265.0
2018-01-03T17:02:50.000,265.0
2018-01-03T17:22:29.000,265.0
2018-01-03T17:01:17.000,265.0
2018-01-03T17:19:12.000,265.0
2018-01-03T16:48:58.000,265.0
2018-01-03T16:13:56.000,265.0
2018-01-03T18:18:00.000,
2018-01-03T16:49:35.000,164.0
2018-01-03T17:02:20.000,
