dropoff_datetime,pickup_datetime,pulocationid,sr_flag
2018-01-03T16:35:37.000,2018-01-03T16:20:59.000,129.0,1.0
2018-01-03T17:13:17.000,2018-01-03T16:41:38.000,,
2018-01-03T16:36:17.000,2018-01-03T16:11:06.000,231.0,
2018-01-03T16:23:18.000,2018-01-03T16:12:56.000,,
2018-01-03T17:04:32.000,2018-01-03T16:22:26.000,138.0,1.0
2018-01-03T16:20:34.000,2018-01-03T16:20:32.000,,
2018-01-03T17:02:58.000,2018-01-03T16:42:56.000,,
2018-01-03T17:00:28.000,2018-01-03T16:50:55.000,133.0,
2018-01-03T16:06:15.000,2018-01-03T16:04:48.000,,
2018-01-03T17:22:54.000,2018-01-03T16:50:02.000,,
2018-01-03T16:26:29.000,2018-01-03T16:14:32.000,,
2018-01-03T16:57:03.000,2018-01-03T16:57:01.000,,
2018-01-03T16:06:54.000,2018-01-03T16:02:21.000,,
2018-01-03T17:00:21.000,2018-01-03T16:41:05.000,49.0,
2018-01-03T16:47:22.000,2018-01-03T16:27:14.000,,
2018-01-03T16:50:31.000,2018-01-03T16:39:18.000,,
2018-01-03T16:41:00.000,2018-01-03T16:22:00.000,,
2018-01-03T16:34:30.000,2018-01-03T16:23:59.000,,
2018-01-03T16:39:46.000,2018-01-03T16:29:02.000,198.0,
2018-01-03T16:52:07.000,2018-01-03T16:45:30.000,,
2018-01-03T17:27:28.000,2018-01-03T16:59:10.000,151.0,
2018-01-03T16:51:42.000,2018-01-03T16:22:02.000,,
2018-01-03T16:35:21.000,2018-01-03T16:29:26.000,74.0,
2018-01-03T17:06:19.000,2018-01-03T16:55:06.000,42.0,
2018-01-03T16:27:00.000,2018-01-03T16:19:00.000,,
2018-01-03T16:59:13.000,2018-01-03T16:44:00.000,,
2018-01-03T16:36:11.000,2018-01-03T16:21:52.000,,
2018-01-03T17:13:42.000,2018-01-03T16:45:39.000,,
2018-01-03T17:44:00.000,2018-01-03T16:01:00.000,,
2018-01-03T16:31:25.000,2018-01-03T16:06:47.000,,
2018-01-03T16:54:45.000,2018-01-03T16:35:20.000,74.0,1.0
2018-01-03T17:19:16.000,2018-01-03T16:31:27.000,138.0,
2018-01-03T16:27:00.000,2018-01-03T16:16:00.000,,
2018-01-03T16:59:33.000,2018-01-03T16:49:55.000,155.0,
2018-01-03T16:44:54.000,2018-01-03T16:37:49.000,,
2018-01-03T16:45:11.000,2018-01-03T16:38:41.000,,
2018-01-03T17:08:12.000,2018-01-03T16:53:36.000,228.0,
2018-01-03T16:39:01.000,2018-01-03T16:09:11.000,,
2018-01-03T16:57:00.000,2018-01-03T16:07:00.000,,
2018-01-03T16:23:36.000,2018-01-03T16:10:52.000,198.0,1.0
2018-01-03T16:57:57.000,2018-01-03T16:47:46.000,,
2018-01-03T16:39:03.000,2018-01-03T16:33:38.000,,
2018-01-03T16:13:00.000,2018-01-03T16:00:00.000,,
2018-01-03T16:26:29.000,2018-01-03T16:14:32.000,,
2018-01-03T16:53:35.000,2018-01-03T16:44:01.000,,
2018-01-03T16:45:13.000,2018-01-03T16:26:22.000,75.0,1.0
2018-01-03T17:22:54.000,2018-01-03T16:50:02.000,,
2018-01-03T16:15:11.000,2018-01-03T16:09:07.000,48.0,1.0
2018-01-03T16:31:23.000,2018-01-03T16:26:53.000,,
2018-01-03T17:19:00.000,2018-01-03T16:57:00.000,,
2018-01-03T16:24:49.000,2018-01-03T16:02:55.000,142.0,
2018-01-03T18:04:44.000,2018-01-03T16:50:10.000,132.0,
2018-01-03T16:46:03.000,2018-01-03T16:28:14.000,22.0,
2018-01-03T17:09:00.000,2018-01-03T16:33:00.000,,
2018-01-03T16:19:39.000,2018-01-03T16:00:01.000,45.0,
2018-01-03T17:43:59.000,2018-01-03T16:46:18.000,,
2018-01-03T16:35:55.000,2018-01-03T16:22:12.000,,
2018-01-03T18:38:10.000,2018-01-03T16:26:34.000,226.0,
2018-01-03T17:36:47.000,2018-01-03T16:51:43.000,,
2018-01-03T17:05:56.000,2018-01-03T16:31:07.000,,
2018-01-03T16:50:57.000,2018-01-03T16:44:47.000,,
2018-01-03T17:05:03.000,2018-01-03T16:58:33.000,,
2018-01-03T16:50:29.000,2018-01-03T16:15:26.000,127.0,
2018-01-03T16:24:01.000,2018-01-03T16:10:58.000,,
2018-01-03T17:01:47.000,2018-01-03T16:15:39.000,137.0,1.0
2018-01-03T16:18:16.000,2018-01-03T16:10:07.000,181.0,
2018-01-03T17:07:46.000,2018-01-03T16:22:30.000,138.0,1.0
