qr_instruction,college_career_rate_boro
,41
 P,53
 P,53
,53
 P,53
,53
 P,41
,53
 P,41
,41
 P,53
 P,53
 P,53
 D,53
 P,53
 D,41
 D,41
,41
,53
,53
 D,53
 D,41
 D,41
,41
,41
 P,53
 D,41
 P,41
,53
,41
,53
,41
 D,41
 D,53
 P,53
 P,41
,53
,53
 D,53
,53
 P,41
 D,53
 P,53
,41
 P,41
,53
 D,53
 D,53
 D,53
 P,53
 P,41
,41
 P,53
,41
 D,53
,41
,53
 D,53
WD,53
 P,41
 D,41
 P,53
,53
 P,41
 D,41
 P,53
,41
 D,41
 D,41
 D,53
,53
,41
,41
 P,53
 D,41
 D,41
,53
,41
 P,41
 D,41
 D,41
,53
 D,41
 D,53
 P,53
 D,41
WD,53
 D,53
 P,53
 D,41
 P,53
 D,53
,41
 P,53
,41
 D,41
,53
 P,53
 P,41
,53
,41
,53
,41
,41
,41
WD,53
,53
 P,53
 P,53
 D,41
 P,53
 P,53
 D,53
 D,53
 D,41
 D,41
 P,53
 P,53
 D,53
 D,41
 D,53
,53
 D,53
 P,53
 P,53
,53
 D,41
 P,41
 D,41
WD,53
 P,53
 D,53
,41
,53
,53
 P,53
 D,41
 D,41
,53
 D,53
 D,41
,41
 D,41
,53
,53
WD,53
 D,41
 D,41
UD,41
 D,41
,53
 P,41
 D,53
 P,53
 P,41
 D,41
,53
,53
 P,41
 P,53
 D,41
 P,41
 D,41
 D,41
 D,41
,41
 D,41
,41
 P,53
 D,41
,53
 D,41
WD,53
 D,53
 D,41
 P,53
 D,41
 D,41
 P,41
 D,41
,53
 P,41
WD,53
 D,41
 D,53
 D,41
,53
 P,53
 P,53
,53
 D,53
,41
,41
 D,53
 D,41
,53
,41
WD,53
 P,53
,53
