college_career_rate_2014,graduation_rate_boro
48.0,59
,70
64.0,70
68.0,70
76.0,70
83.0,70
51.0,59
55.0,70
60.0,59
,59
29.0,70
78.0,70
62.0,70
41.0,70
,70
34.0,59
58.0,59
83.0,59
,70
,70
36.0,70
43.0,59
37.0,59
99.0,59
,59
,70
,59
18.0,59
40.0,70
,59
85.0,70
65.0,59
41.0,59
47.0,70
,70
37.0,59
89.0,70
,70
48.0,70
,70
19.0,59
39.0,70
70.0,70
,59
44.0,59
79.0,70
78.0,70
26.0,70
,70
40.0,70
29.0,59
,59
,70
96.0,59
,70
,59
61.0,70
30.0,70
58.0,70
28.0,59
49.0,59
52.0,70
80.0,70
61.0,59
69.0,59
44.0,70
67.0,59
40.0,59
22.0,59
54.0,70
,70
33.0,59
,59
,70
24.0,59
40.0,59
97.0,70
30.0,59
62.0,59
23.0,59
22.0,59
47.0,70
50.0,59
46.0,70
62.0,70
,59
77.0,70
35.0,70
89.0,70
47.0,59
76.0,70
,70
76.0,59
97.0,70
,59
32.0,59
,70
,70
68.0,59
71.0,70
,59
68.0,70
45.0,59
53.0,59
45.0,59
,70
69.0,70
48.0,70
,70
47.0,59
59.0,70
56.0,70
45.0,70
33.0,70
28.0,59
54.0,59
62.0,70
43.0,70
28.0,70
51.0,59
41.0,70
49.0,70
40.0,70
43.0,70
51.0,70
,70
39.0,59
58.0,59
39.0,59
,70
70.0,70
49.0,70
,59
86.0,70
84.0,70
69.0,70
70.0,59
41.0,59
45.0,70
23.0,70
68.0,59
,59
37.0,59
97.0,70
,70
84.0,70
64.0,59
24.0,59
19.0,59
54.0,59
81.0,70
63.0,59
78.0,70
49.0,70
51.0,59
,59
77.0,70
50.0,70
69.0,59
47.0,70
39.0,59
46.0,59
41.0,59
72.0,59
69.0,59
,59
47.0,59
,59
66.0,70
30.0,59
58.0,70
40.0,59
48.0,70
33.0,70
53.0,59
89.0,70
55.0,59
72.0,59
25.0,59
,59
88.0,70
,59
93.0,70
32.0,59
51.0,70
27.0,59
,70
42.0,70
41.0,70
47.0,70
49.0,70
,59
,59
35.0,70
,59
95.0,70
62.0,59
78.0,70
52.0,70
,70
