pct_stu_enough_variety_2014,pct_stu_safe_2014,qr_assessing_student_learning
64.0,82.0,
84.0,85.0,WD
68.0,84.0, P
84.0,85.0,
78.0,87.0, P
52.0,92.0,
83.0,72.0, P
86.0,91.0,
85.0,96.0,WD
80.0,72.0,
65.0,82.0, P
89.0,96.0,WD
64.0,91.0, D
77.0,76.0, P
85.0,88.0, P
93.0,90.0, P
78.0,79.0, P
81.0,94.0,
73.0,91.0,
,,
62.0,63.0, D
44.0,57.0, D
73.0,60.0, P
72.0,96.0,
74.0,77.0,
70.0,78.0, D
82.0,86.0, P
82.0,81.0, P
89.0,86.0,
78.0,67.0,
34.0,88.0,
88.0,91.0,
63.0,72.0, P
66.0,81.0, D
82.0,91.0, P
66.0,67.0, P
94.0,98.0,
75.0,79.0,
89.0,92.0, P
81.0,84.0,
84.0,85.0, P
50.0,72.0, D
83.0,83.0, P
85.0,96.0,
80.0,84.0, P
81.0,94.0,
68.0,84.0, P
28.0,71.0, D
81.0,80.0, D
88.0,96.0,WD
50.0,74.0,WD
60.0,86.0,
78.0,83.0,WD
92.0,90.0,
74.0,86.0, D
88.0,77.0,
82.0,84.0,
80.0,86.0, D
83.0,93.0,WD
72.0,89.0, P
86.0,92.0, D
75.0,90.0, P
82.0,92.0,
74.0,70.0, P
75.0,81.0, P
72.0,81.0, P
35.0,83.0,
90.0,87.0, D
73.0,85.0, P
52.0,73.0, D
78.0,81.0,
86.0,79.0,
64.0,67.0,
78.0,83.0,WD
81.0,80.0, P
74.0,69.0, D
76.0,92.0,
,,
68.0,74.0, D
76.0,83.0, D
77.0,74.0, P
77.0,88.0,
65.0,67.0, D
49.0,72.0, P
77.0,78.0, P
84.0,81.0,WD
88.0,90.0,WD
73.0,76.0, D
70.0,92.0, P
64.0,66.0, P
62.0,91.0,WD
77.0,90.0, D
84.0,73.0,
62.0,92.0, P
80.0,82.0,
70.0,87.0, P
76.0,76.0,
64.0,80.0, D
78.0,86.0, D
53.0,84.0,
85.0,74.0,
83.0,93.0,
81.0,88.0,
79.0,81.0,
67.0,78.0,
67.0,92.0,WD
89.0,92.0,
77.0,86.0, D
85.0,85.0, P
76.0,80.0, P
55.0,76.0, D
70.0,86.0, P
62.0,90.0, D
78.0,80.0, P
,, D
79.0,63.0, D
50.0,90.0, P
79.0,69.0, D
90.0,95.0, P
44.0,58.0, D
67.0,87.0, P
65.0,83.0,
,, D
66.0,82.0, P
55.0,81.0, P
87.0,77.0,
68.0,69.0, D
73.0,77.0, D
82.0,58.0, D
94.0,95.0,WD
77.0,88.0, P
40.0,68.0, D
65.0,58.0,
76.0,93.0,
89.0,96.0,
66.0,80.0, P
71.0,71.0, P
60.0,72.0, D
94.0,92.0,
63.0,76.0, D
62.0,77.0, P
78.0,87.0,
91.0,89.0, D
92.0,95.0,
,,
84.0,95.0,WD
54.0,78.0, D
41.0,69.0, D
80.0,71.0, D
80.0,71.0, P
32.0,93.0,
88.0,91.0,WD
82.0,59.0, P
78.0,87.0, P
78.0,85.0, P
66.0,67.0, D
87.0,95.0,
77.0,76.0,
70.0,77.0,WD
82.0,90.0, P
74.0,73.0, P
77.0,77.0, P
42.0,62.0, D
81.0,76.0, D
46.0,75.0, P
68.0,79.0,
70.0,74.0, P
93.0,80.0,
58.0,89.0, P
75.0,79.0, P
92.0,96.0,
54.0,79.0, P
73.0,79.0,WD
72.0,73.0, P
59.0,77.0, P
75.0,87.0, P
92.0,92.0, P
74.0,78.0, P
69.0,82.0, P
84.0,80.0, D
69.0,97.0,
88.0,89.0,WD
90.0,98.0, P
57.0,80.0,UD
60.0,84.0, P
79.0,92.0, D
,,
72.0,68.0, D
71.0,81.0, P
69.0,90.0,
93.0,84.0, D
68.0,60.0,
72.0,84.0,
74.0,84.0, P
69.0,66.0, D
66.0,94.0,
61.0,68.0,
75.0,88.0,WD
90.0,96.0, P
54.0,64.0,
