qr_high_expectations,qr_curriculum,qr_teacher_collaboration,ontrack_year1_boro
,,,79
WD,WD,WD,85
WD,WD,WD,85
,,,85
 P, P,WD,85
,,,85
WD, P, P,79
,,,85
WD,WD, P,79
,,,79
 P, P, P,85
WD,WD,WD,85
 P, P, P,85
 P, P, P,85
 P, P, P,85
WD, D, P,79
WD, P, P,79
,,,79
,,,85
,,,85
 P, D, D,85
 D, D, D,79
 D, D, D,79
,,,79
,,,79
 P, P, P,85
WD, P, P,79
 P, P, P,79
,,,85
,,,79
,,,85
,,,79
 P, P, P,79
 P, D, P,85
 P,WD, P,85
 P, P, P,79
,,,85
,,,85
 P, P,WD,85
,,,85
 P, D, P,79
 D, D, D,85
 P, P, P,85
,,,79
WD,WD,WD,79
,,,85
 P, P, P,85
 D, D, P,85
 D, D, P,85
WD,WD, P,85
WD, P,WD,79
,,,79
WD,WD, P,85
,,,79
 P, D, P,85
,,,79
,,,85
 P, P, P,85
WD, P,WD,85
 P, P, P,79
 D, D, P,79
 P, P, P,85
,,,85
 P, P, P,79
 P, P, P,79
 P, P, D,85
,,,79
 P, D, P,79
 D, D, D,79
 D, D, D,85
,,,85
,,,79
,,,79
WD, P,WD,85
 P, P, P,79
 D, D, D,79
,,,85
,,,79
 P, D, D,79
 D, D, D,79
 P, P, D,79
,,,85
 P, D, P,79
 P, P, P,85
 P, P, P,85
 P, P, P,79
WD, P, P,85
 P, D, D,85
WD, P, P,85
 P, P, P,79
WD,WD, P,85
 P, P, P,85
,,,79
WD,WD,WD,85
,,,79
WD, D, P,79
,,,85
 P, P,WD,85
WD, P, P,79
,,,85
,,,79
,,,85
,,,79
,,,79
,,,79
WD,WD,WD,85
,,,85
 P, P, P,85
 P, P, P,85
 P, D, P,79
 P, P, P,85
 P, P, P,85
 P, D, P,85
 P, P, P,85
 P, P, P,79
 P, P, P,79
 P, P, P,85
 P, P, D,85
 P, D, P,85
 D, P, P,79
 P, P, P,85
,,,85
 P, D, P,85
 P, P, P,85
 P, P, P,85
,,,85
 P, D, D,79
 P, P, P,79
 D, D, D,79
 P, P,WD,85
 P,WD, P,85
 D, D, P,85
,,,79
,,,85
,,,85
 P, P, P,85
 P, P, P,79
 P, P, P,79
,,,85
 P, D, P,85
 P, P, P,79
,,,79
 D, D,WD,79
,,,85
,,,85
WD,WD,WD,85
 P, D, D,79
 P, D, D,79
 D, D, D,79
WD, P, P,79
,,,85
WD, P,WD,79
WD, P, P,85
WD, P, P,85
WD, P, P,79
 D, D, D,79
,,,85
,,,85
WD,WD,WD,79
 P, P, P,85
 D, P, P,79
 P,WD, P,79
 P, D, D,79
WD, P, P,79
WD,WD, P,79
,,,79
 P, P, P,79
,,,79
 P, P, P,85
 P, D, D,79
,,,85
 P, D, P,79
WD,WD,WD,85
 P, P, P,85
 P, P, P,79
WD,WD, D,85
 P, D, P,79
 P, P, P,79
 P, P, P,79
 P, P, P,79
,,,85
WD,WD,WD,79
WD,WD,WD,85
 D, D, D,79
 P, P, D,85
 P, D, D,79
,,,85
 P,WD, P,85
WD, P, P,85
,,,85
 P, D, P,85
,,,79
,,,79
 P, P, P,85
 P, D, D,79
,,,85
,,,79
WD,WD, P,85
 P, P, P,85
,,,85
