graduation_rate_2014,ontrack_year1_2014,graduation_rate_2013,quality_review_year,college_career_rate_2013,ontrack_year1_2013
70.0,93.0,65.0,,34.0,86.0
,85.0,,2013-2014,,83.0
84.0,87.0,86.0,2011-2012,,83.0
92.0,90.0,91.0,,66.0,91.0
90.0,92.0,86.0,2013-2014,77.0,89.0
96.0,100.0,98.0,,88.0,98.0
71.0,61.0,68.0,2011-2012,58.0,69.0
93.0,92.0,76.0,,51.0,76.0
91.0,99.0,86.0,2012-2013,42.0,98.0
,79.0,,,,82.0
49.0,88.0,40.0,2013-2014,,70.0
96.0,97.0,94.0,2013-2014,86.0,98.0
77.0,71.0,75.0,2011-2012,48.0,77.0
43.0,63.0,58.0,2013-2014,32.0,62.0
,,,2011-2012,,
55.0,67.0,57.0,2013-2014,34.0,69.0
65.0,85.0,87.0,2013-2014,65.0,68.0
88.0,90.0,92.0,,78.0,92.0
,90.0,,,,97.0
,,,,,
51.0,52.0,51.0,2013-2014,43.0,56.0
68.0,71.0,74.0,2011-2012,34.0,80.0
52.0,71.0,54.0,2013-2014,33.0,55.0
100.0,99.0,100.0,,99.0,98.0
,80.0,,,,76.0
,88.0,,2011-2012,,84.0
,75.0,,2013-2014,,61.0
62.0,81.0,54.0,2012-2013,27.0,81.0
55.0,75.0,64.0,,42.0,76.0
,79.0,,,,
99.0,100.0,97.0,,83.0,100.0
94.0,93.0,85.0,,69.0,99.0
69.0,74.0,66.0,2012-2013,39.0,81.0
66.0,82.0,69.0,2012-2013,45.0,76.0
,,,2011-2012,,
61.0,57.0,57.0,2013-2014,48.0,74.0
100.0,99.0,100.0,,97.0,100.0
,79.0,,,,
62.0,75.0,58.0,2013-2014,45.0,64.0
,89.0,,,,
40.0,74.0,31.0,2013-2014,28.0,55.0
61.0,81.0,64.0,2013-2014,51.0,77.0
84.0,80.0,83.0,2013-2014,64.0,85.0
,90.0,,,,
77.0,94.0,85.0,2013-2014,33.0,88.0
96.0,98.0,95.0,,73.0,95.0
84.0,74.0,94.0,2013-2014,63.0,63.0
48.0,59.0,36.0,2013-2014,38.0,59.0
49.0,60.0,,2012-2013,,61.0
71.0,88.0,65.0,2013-2014,49.0,90.0
63.0,77.0,57.0,2011-2012,37.0,76.0
,85.0,,,,90.0
,91.0,,2012-2013,,94.0
100.0,100.0,100.0,,100.0,100.0
91.0,78.0,,2012-2013,,74.0
,,,,,
72.0,74.0,75.0,,52.0,67.0
27.0,66.0,41.0,2013-2014,22.0,65.0
78.0,85.0,66.0,2011-2012,58.0,77.0
46.0,61.0,51.0,2013-2014,27.0,74.0
58.0,74.0,65.0,2013-2014,41.0,89.0
80.0,90.0,78.0,2012-2013,55.0,83.0
99.0,98.0,98.0,,86.0,99.0
83.0,81.0,78.0,2010-2011,67.0,78.0
69.0,72.0,85.0,2012-2013,65.0,83.0
72.0,77.0,75.0,2013-2014,40.0,74.0
97.0,85.0,98.0,,67.0,78.0
57.0,83.0,48.0,2012-2013,47.0,78.0
40.0,71.0,38.0,2012-2013,31.0,78.0
74.0,79.0,77.0,2012-2013,50.0,82.0
,84.0,,,,
68.0,84.0,50.0,,45.0,88.0
,68.0,,,,
99.0,97.0,,2011-2012,,89.0
44.0,80.0,33.0,2011-2012,37.0,77.0
65.0,79.0,74.0,2012-2013,38.0,75.0
100.0,98.0,99.0,,96.0,100.0
62.0,81.0,49.0,,41.0,87.0
89.0,88.0,87.0,2013-2014,54.0,78.0
45.0,73.0,43.0,2012-2013,34.0,70.0
40.0,76.0,42.0,2013-2014,33.0,80.0
73.0,74.0,66.0,,52.0,82.0
60.0,78.0,74.0,2013-2014,44.0,80.0
45.0,57.0,59.0,2013-2014,23.0,63.0
81.0,82.0,84.0,2010-2011,82.0,81.0
66.0,81.0,,2012-2013,,84.0
94.0,96.0,90.0,2013-2014,77.0,95.0
59.0,70.0,49.0,2013-2014,36.0,65.0
98.0,97.0,91.0,2011-2012,89.0,94.0
56.0,50.0,69.0,2013-2014,54.0,68.0
95.0,94.0,96.0,2012-2013,81.0,97.0
,,,2012-2013,,
91.0,85.0,90.0,,74.0,92.0
100.0,93.0,100.0,2010-2011,91.0,95.0
,81.0,,,,
72.0,77.0,69.0,2012-2013,49.0,66.0
,92.0,,,,100.0
95.0,91.0,,2012-2013,,85.0
85.0,88.0,82.0,2012-2013,46.0,77.0
98.0,100.0,96.0,,61.0,100.0
,,,,,
94.0,89.0,89.0,,69.0,94.0
74.0,88.0,68.0,,48.0,85.0
85.0,59.0,85.0,,67.0,86.0
68.0,85.0,66.0,,34.0,89.0
,96.0,,2011-2012,,
82.0,88.0,76.0,,58.0,92.0
66.0,71.0,72.0,2011-2012,,72.0
36.0,81.0,,2012-2013,,81.0
66.0,71.0,70.0,2013-2014,,75.0
71.0,64.0,72.0,2010-2011,55.0,71.0
85.0,75.0,80.0,2011-2012,41.0,83.0
61.0,81.0,66.0,2013-2014,43.0,67.0
61.0,62.0,62.0,2013-2014,45.0,68.0
54.0,68.0,54.0,2013-2014,25.0,66.0
71.0,60.0,74.0,2013-2014,50.0,74.0
69.0,90.0,71.0,2013-2014,42.0,98.0
76.0,74.0,64.0,2013-2014,40.0,82.0
68.0,78.0,68.0,2011-2012,40.0,80.0
72.0,68.0,66.0,2013-2014,43.0,63.0
67.0,75.0,61.0,2013-2014,40.0,77.0
77.0,92.0,84.0,,53.0,89.0
75.0,65.0,53.0,2013-2014,,82.0
65.0,79.0,55.0,2013-2014,55.0,73.0
56.0,82.0,67.0,2013-2014,,77.0
,,,,,
72.0,90.0,68.0,2013-2014,30.0,73.0
90.0,74.0,69.0,2013-2014,68.0,69.0
45.0,69.0,55.0,2013-2014,34.0,53.0
,,,2010-2011,,
82.0,88.0,75.0,2013-2014,77.0,83.0
77.0,79.0,68.0,2013-2014,60.0,85.0
,76.0,,,,
97.0,74.0,88.0,,95.0,84.0
99.0,95.0,99.0,,84.0,97.0
87.0,90.0,83.0,2012-2013,60.0,83.0
77.0,82.0,84.0,2012-2013,66.0,71.0
75.0,84.0,68.0,2011-2012,45.0,78.0
56.0,79.0,64.0,,56.0,70.0
50.0,52.0,44.0,2013-2014,31.0,57.0
88.0,96.0,94.0,2013-2014,,94.0
,83.0,,,,89.0
61.0,86.0,65.0,2012-2013,38.0,86.0
99.0,99.0,98.0,,99.0,99.0
,,,,,
90.0,100.0,94.0,2012-2013,58.0,100.0
88.0,87.0,75.0,2013-2014,76.0,82.0
42.0,67.0,43.0,2013-2014,32.0,75.0
64.0,77.0,51.0,2012-2013,23.0,75.0
73.0,80.0,80.0,2012-2013,41.0,80.0
97.0,98.0,98.0,,91.0,99.0
83.0,77.0,85.0,2011-2012,61.0,86.0
68.0,78.0,80.0,2013-2014,76.0,64.0
72.0,83.0,62.0,2011-2012,52.0,78.0
87.0,84.0,86.0,2012-2013,63.0,91.0
59.0,55.0,,2012-2013,,62.0
98.0,92.0,93.0,,73.0,87.0
69.0,74.0,60.0,,39.0,68.0
76.0,82.0,89.0,2012-2013,92.0,84.0
75.0,80.0,75.0,2011-2012,59.0,68.0
59.0,78.0,63.0,2010-2011,34.0,71.0
63.0,70.0,69.0,2013-2014,53.0,78.0
42.0,53.0,48.0,2012-2013,34.0,62.0
82.0,90.0,89.0,2010-2011,81.0,77.0
83.0,89.0,88.0,2010-2011,84.0,94.0
,79.0,,,,77.0
65.0,53.0,66.0,2013-2014,47.0,62.0
,79.0,,,,94.0
94.0,89.0,96.0,2013-2014,66.0,93.0
70.0,85.0,61.0,2010-2011,27.0,82.0
85.0,92.0,82.0,,70.0,98.0
50.0,75.0,62.0,2011-2012,27.0,73.0
72.0,70.0,74.0,2011-2012,41.0,76.0
70.0,76.0,61.0,2012-2013,36.0,78.0
68.0,79.0,67.0,2012-2013,66.0,84.0
95.0,97.0,98.0,2010-2011,84.0,99.0
65.0,94.0,62.0,2013-2014,55.0,91.0
76.0,77.0,83.0,2012-2013,67.0,84.0
41.0,60.0,56.0,2012-2013,28.0,51.0
,46.0,,2013-2014,,43.0
99.0,99.0,99.0,,86.0,100.0
,98.0,,2013-2014,,
100.0,98.0,98.0,2013-2014,94.0,96.0
57.0,71.0,52.0,2012-2013,45.0,79.0
76.0,82.0,71.0,2013-2014,71.0,90.0
57.0,74.0,51.0,2013-2014,42.0,79.0
,,,,,
73.0,89.0,65.0,2011-2012,59.0,89.0
64.0,82.0,68.0,2013-2014,43.0,75.0
82.0,74.0,85.0,,58.0,73.0
76.0,71.0,73.0,2012-2013,65.0,73.0
,81.0,,,,
,89.0,,,,
66.0,80.0,50.0,2012-2013,41.0,80.0
53.0,82.0,,2013-2014,,76.0
99.0,98.0,99.0,,98.0,100.0
70.0,75.0,66.0,,67.0,76.0
91.0,99.0,85.0,2010-2011,77.0,95.0
71.0,95.0,56.0,2011-2012,55.0,81.0
,91.0,,,,89.0
