unique_dispatched_vehicle
11
7
7
5
8
4
12
14
1
17
4
7
10
7
46
19
5
8
7
3
7
7
5
6
5
7
6
29
80
46
1
10
6
44
16
3
49
7
8
4
47
7
10
6
8
6
79
7
71
80
7
21
33
50
7
49
75
7
3
4
22
5
8
8
20
3
