total_dispatched_trips,unique_dispatched_vehicle,week_number,years,base_name
1249,42,21,2017,"LAPUMA TRANSPORTATION GROUP,LLC"
280,7,5,2018,ALLY CAR SERVICE LLC
1648,79,49,2016,"LAPUMA TRANSPORTATION GROUP,LLC"
252,7,52,2017,ALLY CAR SERVICE LLC
450,36,32,2017,"LAPUMA TRANSPORTATION GROUP,LLC"
333,5,4,2017,ALLY CAR SERVICE LLC
1324,40,13,2017,"LAPUMA TRANSPORTATION GROUP,LLC"
19,6,40,2015,ALLY CAR SERVICE LLC
2240,86,4,2017,"LAPUMA TRANSPORTATION GROUP,LLC"
406,5,50,2016,ALLY CAR SERVICE LLC
157,8,30,2017,ALLY CAR SERVICE LLC
264,7,17,2018,ALLY CAR SERVICE LLC
287,4,48,2016,ALLY CAR SERVICE LLC
333,4,45,2016,ALLY CAR SERVICE LLC
36,13,27,2016,"LAPUMA TRANSPORTATION GROUP,LLC"
36,11,48,2015,"LAPUMA TRANSPORTATION GROUP,LLC"
170,8,38,2017,ALLY CAR SERVICE LLC
110,11,5,2016,"LAPUMA TRANSPORTATION GROUP,LLC"
1214,48,26,2017,"LAPUMA TRANSPORTATION GROUP,LLC"
282,6,13,2017,ALLY CAR SERVICE LLC
280,4,31,2016,ALLY CAR SERVICE LLC
18,5,22,2016,"LAPUMA TRANSPORTATION GROUP,LLC"
971,46,48,2016,"LAPUMA TRANSPORTATION GROUP,LLC"
523,48,31,2017,"LAPUMA TRANSPORTATION GROUP,LLC"
275,7,50,2017,ALLY CAR SERVICE LLC
273,7,46,2017,ALLY CAR SERVICE LLC
298,8,45,2017,ALLY CAR SERVICE LLC
72,17,19,2016,"LAPUMA TRANSPORTATION GROUP,LLC"
226,7,31,2017,ALLY CAR SERVICE LLC
288,7,2,2018,ALLY CAR SERVICE LLC
139,18,10,2016,"LAPUMA TRANSPORTATION GROUP,LLC"
1237,47,47,2016,"LAPUMA TRANSPORTATION GROUP,LLC"
5,5,34,2016,"LAPUMA TRANSPORTATION GROUP,LLC"
139,8,27,2017,ALLY CAR SERVICE LLC
226,8,41,2017,ALLY CAR SERVICE LLC
1186,45,46,2016,"LAPUMA TRANSPORTATION GROUP,LLC"
359,5,2,2017,ALLY CAR SERVICE LLC
386,5,3,2017,ALLY CAR SERVICE LLC
27,10,53,2015,"LAPUMA TRANSPORTATION GROUP,LLC"
262,6,19,2018,ALLY CAR SERVICE LLC
240,7,12,2018,ALLY CAR SERVICE LLC
207,8,26,2017,ALLY CAR SERVICE LLC
193,7,20,2018,ALLY CAR SERVICE LLC
15,10,37,2016,"LAPUMA TRANSPORTATION GROUP,LLC"
26,13,21,2016,"LAPUMA TRANSPORTATION GROUP,LLC"
265,5,15,2017,ALLY CAR SERVICE LLC
264,4,34,2016,ALLY CAR SERVICE LLC
771,44,27,2017,"LAPUMA TRANSPORTATION GROUP,LLC"
431,6,10,2017,ALLY CAR SERVICE LLC
1074,38,16,2017,"LAPUMA TRANSPORTATION GROUP,LLC"
192,6,1,2018,ALLY CAR SERVICE LLC
123,3,27,2016,ALLY CAR SERVICE LLC
247,4,33,2016,ALLY CAR SERVICE LLC
2146,83,3,2017,"LAPUMA TRANSPORTATION GROUP,LLC"
50,13,20,2016,"LAPUMA TRANSPORTATION GROUP,LLC"
273,6,11,2018,ALLY CAR SERVICE LLC
913,30,10,2017,"LAPUMA TRANSPORTATION GROUP,LLC"
187,7,39,2017,ALLY CAR SERVICE LLC
6,1,26,2015,"LAPUMA TRANSPORTATION GROUP,LLC"
58,8,41,2015,ALLY CAR SERVICE LLC
356,5,53,2016,ALLY CAR SERVICE LLC
54,3,25,2016,ALLY CAR SERVICE LLC
129,18,7,2016,"LAPUMA TRANSPORTATION GROUP,LLC"
259,4,29,2016,ALLY CAR SERVICE LLC
283,4,41,2016,ALLY CAR SERVICE LLC
266,4,38,2016,ALLY CAR SERVICE LLC
266,4,40,2016,ALLY CAR SERVICE LLC
