total_dispatched_trips,pickup_start_date,wave_number,pickup_end_date,base_number,dba
303,2016-10-23T00:00:00.000,3,2016-10-29T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
58,2016-05-22T00:00:00.000,3,2016-05-28T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
413,2017-02-26T00:00:00.000,3,2017-03-04T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
315,2016-11-06T00:00:00.000,3,2016-11-12T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
11,2016-01-01T00:00:00.000,4,2016-01-02T00:00:00.000,B02759,LAPUMA
38,2017-12-31T00:00:00.000,3,2017-12-31T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
256,2017-08-27T00:00:00.000,3,2017-09-02T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
217,2017-04-23T00:00:00.000,3,2017-04-29T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
42,2016-06-05T00:00:00.000,4,2016-06-11T00:00:00.000,B02759,LAPUMA
68,2016-06-19T00:00:00.000,3,2016-06-25T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
889,2017-01-29T00:00:00.000,4,2017-02-04T00:00:00.000,B02759,LAPUMA
4,2016-07-31T00:00:00.000,4,2016-08-06T00:00:00.000,B02759,LAPUMA
271,2018-03-04T00:00:00.000,3,2018-03-10T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
36,2015-11-08T00:00:00.000,4,2015-11-14T00:00:00.000,B02759,LAPUMA
281,2016-09-18T00:00:00.000,3,2016-09-24T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
69,2015-10-25T00:00:00.000,4,2015-10-31T00:00:00.000,B02759,LAPUMA
1358,2017-05-14T00:00:00.000,4,2017-05-20T00:00:00.000,B02759,LAPUMA
215,2016-07-17T00:00:00.000,3,2016-07-23T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
326,2017-02-05T00:00:00.000,3,2017-02-11T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
270,2017-06-04T00:00:00.000,3,2017-06-10T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
2,2016-08-21T00:00:00.000,4,2016-08-27T00:00:00.000,B02759,LAPUMA
53,2016-05-15T00:00:00.000,3,2016-05-21T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
258,2018-02-18T00:00:00.000,3,2018-02-24T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
62,2016-01-03T00:00:00.000,4,2016-01-09T00:00:00.000,B02759,LAPUMA
1,2016-09-25T00:00:00.000,4,2016-10-01T00:00:00.000,B02759,LAPUMA
293,2016-07-03T00:00:00.000,3,2016-07-09T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
30,2015-11-01T00:00:00.000,4,2015-11-07T00:00:00.000,B02759,LAPUMA
413,2017-01-29T00:00:00.000,3,2017-02-04T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
170,2015-10-25T00:00:00.000,3,2015-10-31T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
2157,2017-01-08T00:00:00.000,4,2017-01-14T00:00:00.000,B02759,LAPUMA
36,2015-11-15T00:00:00.000,4,2015-11-21T00:00:00.000,B02759,LAPUMA
258,2017-09-10T00:00:00.000,3,2017-09-16T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
307,2016-07-31T00:00:00.000,3,2016-08-06T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
64,2015-12-20T00:00:00.000,4,2015-12-26T00:00:00.000,B02759,LAPUMA
240,2017-04-16T00:00:00.000,3,2017-04-22T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
1182,2017-04-30T00:00:00.000,4,2017-05-06T00:00:00.000,B02759,LAPUMA
51,2015-11-29T00:00:00.000,4,2015-12-05T00:00:00.000,B02759,LAPUMA
124,2015-10-11T00:00:00.000,4,2015-10-17T00:00:00.000,B02759,LAPUMA
146,2016-02-21T00:00:00.000,4,2016-02-27T00:00:00.000,B02759,LAPUMA
285,2018-04-15T00:00:00.000,3,2018-04-21T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
273,2016-10-09T00:00:00.000,3,2016-10-15T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
1,2016-09-18T00:00:00.000,4,2016-09-24T00:00:00.000,B02759,LAPUMA
83,2016-01-10T00:00:00.000,4,2016-01-16T00:00:00.000,B02759,LAPUMA
239,2017-04-30T00:00:00.000,3,2017-05-06T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
222,2017-05-14T00:00:00.000,3,2017-05-20T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
260,2018-02-04T00:00:00.000,3,2018-02-10T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
769,2017-03-12T00:00:00.000,4,2017-03-18T00:00:00.000,B02759,LAPUMA
1017,2017-04-02T00:00:00.000,4,2017-04-08T00:00:00.000,B02759,LAPUMA
944,2017-07-16T00:00:00.000,4,2017-07-22T00:00:00.000,B02759,LAPUMA
127,2015-10-04T00:00:00.000,4,2015-10-10T00:00:00.000,B02759,LAPUMA
282,2017-08-06T00:00:00.000,3,2017-08-12T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
308,2018-04-29T00:00:00.000,3,2018-05-05T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
399,2016-12-11T00:00:00.000,3,2016-12-17T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
298,2016-10-16T00:00:00.000,3,2016-10-22T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
1006,2017-04-09T00:00:00.000,4,2017-04-15T00:00:00.000,B02759,LAPUMA
1054,2017-04-23T00:00:00.000,4,2017-04-29T00:00:00.000,B02759,LAPUMA
250,2017-10-29T00:00:00.000,3,2017-11-04T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
166,2017-07-09T00:00:00.000,3,2017-07-15T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
226,2017-11-19T00:00:00.000,3,2017-11-25T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
13,2016-08-07T00:00:00.000,4,2016-08-13T00:00:00.000,B02759,LAPUMA
112,2016-03-20T00:00:00.000,4,2016-03-26T00:00:00.000,B02759,LAPUMA
182,2017-07-16T00:00:00.000,3,2017-07-22T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
317,2017-03-19T00:00:00.000,3,2017-03-25T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
1194,2017-03-19T00:00:00.000,4,2017-03-25T00:00:00.000,B02759,LAPUMA
132,2016-02-14T00:00:00.000,4,2016-02-20T00:00:00.000,B02759,LAPUMA
144,2016-03-06T00:00:00.000,4,2016-03-12T00:00:00.000,B02759,LAPUMA
394,2017-04-02T00:00:00.000,3,2017-04-08T00:00:00.000,B02756,ACTIVE EXPRESS CAR & LIMO 2
