cert_seq_no,cert_issue_no,provisional_replacement,list_title_desc
123,89882,N,STRUCTURE MAINTAINER - GROUP G
72,89882,N,STRUCTURE MAINTAINER - GROUP G
52,89882,N,STRUCTURE MAINTAINER - GROUP G
50,89882,N,STRUCTURE MAINTAINER - GROUP G
159,89882,N,STRUCTURE MAINTAINER - GROUP G
27,89883,N,SURVEYOR
64,89882,N,STRUCTURE MAINTAINER - GROUP G
89,89882,N,STRUCTURE MAINTAINER - GROUP G
142,89882,N,STRUCTURE MAINTAINER - GROUP G
31,89882,N,STRUCTURE MAINTAINER - GROUP G
127,89882,N,STRUCTURE MAINTAINER - GROUP G
133,89882,N,STRUCTURE MAINTAINER - GROUP G
120,89882,N,STRUCTURE MAINTAINER - GROUP G
11,89883,N,SURVEYOR
69,89882,N,STRUCTURE MAINTAINER - GROUP G
86,89882,N,STRUCTURE MAINTAINER - GROUP G
150,89882,N,STRUCTURE MAINTAINER - GROUP G
91,89882,N,STRUCTURE MAINTAINER - GROUP G
118,89882,N,STRUCTURE MAINTAINER - GROUP G
6,89882,N,STRUCTURE MAINTAINER - GROUP G
90,89882,N,STRUCTURE MAINTAINER - GROUP G
153,89882,N,STRUCTURE MAINTAINER - GROUP G
149,89882,N,STRUCTURE MAINTAINER - GROUP G
24,89882,N,STRUCTURE MAINTAINER - GROUP G
99,89882,N,STRUCTURE MAINTAINER - GROUP G
35,89883,N,SURVEYOR
67,89882,N,STRUCTURE MAINTAINER - GROUP G
42,89882,N,STRUCTURE MAINTAINER - GROUP G
78,89882,N,STRUCTURE MAINTAINER - GROUP G
71,89882,N,STRUCTURE MAINTAINER - GROUP G
125,89882,N,STRUCTURE MAINTAINER - GROUP G
3,89882,N,STRUCTURE MAINTAINER - GROUP G
20,89882,N,STRUCTURE MAINTAINER - GROUP G
31,89883,N,SURVEYOR
143,89882,N,STRUCTURE MAINTAINER - GROUP G
6,89883,N,SURVEYOR
38,89883,N,SURVEYOR
33,89882,N,STRUCTURE MAINTAINER - GROUP G
48,89882,N,STRUCTURE MAINTAINER - GROUP G
87,89882,N,STRUCTURE MAINTAINER - GROUP G
26,89882,N,STRUCTURE MAINTAINER - GROUP G
23,89882,N,STRUCTURE MAINTAINER - GROUP G
75,89882,N,STRUCTURE MAINTAINER - GROUP G
39,89883,N,SURVEYOR
7,89882,N,STRUCTURE MAINTAINER - GROUP G
129,89882,N,STRUCTURE MAINTAINER - GROUP G
43,89882,N,STRUCTURE MAINTAINER - GROUP G
83,89882,N,STRUCTURE MAINTAINER - GROUP G
108,89882,N,STRUCTURE MAINTAINER - GROUP G
30,89882,N,STRUCTURE MAINTAINER - GROUP G
137,89882,N,STRUCTURE MAINTAINER - GROUP G
84,89882,N,STRUCTURE MAINTAINER - GROUP G
65,89882,N,STRUCTURE MAINTAINER - GROUP G
