administrative_support,rent_reimbursement_to_the,plan,custodian_fees
2777.0,586.0,457,969.0
,,401(a),
395.0,87.0,401(k),204.0
2769.0,586.0,457,1187.0
2556.0,540.0,457,907.0
562.0,99.0,401(k),203.0
,,401(a),
926.0,175.0,401(k),272.0
75.0,13.0,NYCE IRA,24.0
38.0,12.0,NYCE IRA,23.0
2666.0,599.0,457,945.0
,,401(a),
4102.0,623.0,457,1360.0
4377.0,697.0,457,1515.0
3240.0,595.0,457,1129.0
98.0,21.0,NYCE IRA,26.0
,,401(a),
80.0,13.0,NYCE IRA,28.0
23.0,9.0,NYCE IRA,12.0
34.0,10.0,NYCE IRA,15.0
4301.0,701.0,457,1071.0
4182.0,537.0,457,1174.0
393.0,85.0,401(k),129.0
3965.0,632.0,457,1332.0
967.0,130.0,401(k),272.0
345.0,77.0,401(k),104.0
332.0,76.0,401(k),112.0
,,401(a),
,,401(a),
773.0,125.0,401(k),227.0
,,401(a),
,,401(a),
709.0,96.0,401(k),157.0
55.0,12.0,NYCE IRA,23.0
,,401(a),
31.0,10.0,NYCE IRA,13.0
,,401(a),
71.0,12.0,NYCE IRA,18.0
84.0,20.0,NYCE IRA,27.0
963.0,181.0,401(k),254.0
