recordkeeping_loan_fees_2
5601
3
752
6104
5827
849
8
1106
121
53
5749
4
6398
6784
6473
38
7
15
48
84
6862
6731
1008
7199
691
659
691
10
2
1295
7
7
810
61
10
50
3
54
54
1020
