communication_expenses,advisory_and_auditing_fees,salaries
1902.0,631.0,924.0
,,
319.0,64.0,156.0
1874.0,406.0,970.0
1675.0,513.0,873.0
428.0,119.0,178.0
,,
631.0,84.0,206.0
59.0,13.0,22.0
36.0,6.0,18.0
1636.0,695.0,1029.0
,,
3287.0,535.0,1057.0
3252.0,459.0,1520.0
2263.0,675.0,990.0
49.0,15.0,28.0
,,
45.0,11.0,24.0
27.0,9.0,14.0
30.0,10.0,17.0
3078.0,487.0,1288.0
2221.0,599.0,1031.0
264.0,88.0,150.0
2614.0,491.0,1121.0
517.0,96.0,231.0
238.0,76.0,125.0
248.0,104.0,156.0
,,
,,
565.0,98.0,214.0
,,
,,
413.0,87.0,192.0
48.0,13.0,20.0
,,
28.0,12.0,18.0
,,
47.0,9.0,21.0
58.0,9.0,20.0
620.0,137.0,277.0
