revenues_1,communication_expenses-year
243,59.0-2020
1613,238.0-2014
2184,319.0-2017
150,30.0-2016
137,28.0-2015
4162,631.0-2023
2544,428.0-2018
7,nan-2020
4,nan-2017
1728,248.0-2015
261,45.0-2021
20538,3287.0-2020
4,nan-2015
22993,3252.0-2023
175,36.0-2017
13306,1675.0-2014
9,nan-2023
328,58.0-2023
1893,264.0-2016
190,47.0-2019
3236,565.0-2020
4,nan-2016
18771,3078.0-2022
3,nan-2014
18487,2614.0-2021
2688,413.0-2019
5,nan-2018
7,nan-2022
14071,1902.0-2016
17300,2221.0-2019
271,49.0-2022
123,27.0-2014
13713,1636.0-2015
210,48.0-2018
8,nan-2021
15364,1874.0-2017
5,nan-2019
3189,517.0-2021
16778,2263.0-2018
3338,620.0-2022
