revenues_1,total_expenses,recordkeeping_loan_fees_2
14071,13390,5601
3,3,3
2184,1977,752
15364,13896,6104
13306,12891,5827
2544,2438,849
7,8,8
4162,3400,1106
243,327,121
175,186,53
13713,13319,5749
5,4,4
20538,17362,6398
22993,18604,6784
16778,15365,6473
271,275,38
7,7,7
261,216,15
123,142,48
150,200,84
18771,17788,6862
17300,16475,6731
1893,2117,1008
18487,17354,7199
3189,2904,691
1613,1624,659
1728,1719,691
9,10,10
4,2,2
3236,3297,1295
4,7,7
5,7,7
2688,2464,810
210,232,61
8,10,10
137,162,50
4,3,3
190,232,54
328,272,54
3338,3452,1020
