total_expenses,administrative_support
13390,2777.0
3,
1977,395.0
13896,2769.0
12891,2556.0
2438,562.0
8,
3400,926.0
327,75.0
186,38.0
13319,2666.0
4,
17362,4102.0
18604,4377.0
15365,3240.0
275,98.0
7,
216,80.0
142,23.0
200,34.0
17788,4301.0
16475,4182.0
2117,393.0
17354,3965.0
2904,967.0
1624,345.0
1719,332.0
10,
2,
3297,773.0
7,
7,
2464,709.0
232,55.0
10,
162,31.0
3,
232,71.0
272,84.0
3452,963.0
