fiscal_year_amount,published_date,tracking_category
1.5,2024-04-24T00:00:00.000,Coastal Flooding
0.6,2024-04-24T00:00:00.000,Planning and Preparedness
38.0,2025-05-01T00:00:00.000,Transportation
29.7,2025-05-01T00:00:00.000,Waste
6.8,2024-04-24T00:00:00.000,Transportation - Infrastructure
