description,fiscal_year_amount,fiscal_year
Purchases of hybrid or electric vehicles for city use and funding for renewable diesel.,32.6,25
"Funding added since Hurricane Ida to enhance resiliency to stormwater flooding, such as green infrastructure and Bluebelt maintenance and increasing catch basin cleaning.",41.7,2026
"Coastal resilience initiatives in PlaNYC, including developing standards for construction of coastal infrastructure.",2.9,2026
"Energy efficiency, electrification, and building management improvement programs at city-owned facilities and assistance programs for private biulding owners.",50.5,25
"Funds added since Hurricane Ida to enhance the city's resilience to inland flooding by increasing green infrastructure and bluebelt maintenance, undertaking studies to monitor flooding, increasing catch basin cleaning, and more.",42.9,25
Tree planting and maintenance and roof coatings to reduce internal building temperatures.,20.1,2026
