description,climate_priority
Roof coatings to reduce internal building temperatures.,Resiliency
Projects and programs that reduce emissions from waste such as organic material collections.,Greenhouse Gas Mitigation
Funding to purchase 100% renewable energy for city operations.,Greenhouse Gas Mitigation
"The DOB Bureau of Sustainability, DCAS Division of Energy Management, and programs to provide technical assistance to building owners.",Greenhouse Gas Mitigation
"Climate-related planning efforts, a program to protect vulnerable New Yorkers during extreme weather events, and sensors providing real-time flood data.",Resiliency
