profile_id,training,date,export_date
65c9095a-3933-4cd2-adb6-8eb481aeb538,2025 BWC PROFICIENCY TRAINING,2025-06-17T00:00:00.000,2025-12-21T00:00:00.000
5bf5ce86-663b-46d0-9b86-f9904e872458,"HEALTH AND WELLNESS SECTION - MODULE 8 - WARNING SIGNS, SUPPORT AND OUTREACH",2020-05-28T00:00:00.000,2025-12-21T00:00:00.000
10274c7b-5a53-4e8a-9bf4-3ecb6b66959c,HEALTH AND WELLNESS SECTION - MODULE 3 - WARNING SIGNS,2020-06-12T00:00:00.000,2025-12-21T00:00:00.000
aa4ea118-e9dd-448c-8efa-5aecc03bc9dc,CHILD SENSITIVE ARREST POLICY GUIDELINES AND PROCEDURES,2021-05-19T00:00:00.000,2025-12-21T00:00:00.000
2eb86684-5c3d-446d-9f66-d282ea97977d,BEST PRACTICES IN STRUCTURED INTERVIEWING,2022-06-21T00:00:00.000,2025-12-21T00:00:00.000
c3947fd2-dc86-46ea-beda-8447d907d235,CLT-SPECIAL POPULATIONS,2023-10-18T00:00:00.000,2025-12-21T00:00:00.000
96d0399a-51c0-492b-b5eb-2769492b6f76,COVID-19: PREPAREDENESS,2020-06-18T00:00:00.000,2025-12-21T00:00:00.000
6075dc83-81cf-47cb-912e-7d39a6fa6be7,CLT-TACTICAL AWARENESS AND OFFICER SAFETY,2021-07-25T00:00:00.000,2025-12-21T00:00:00.000
130bfc49-0ea8-4974-8fdd-d44b82037d87,"HEALTH AND WELLNESS SECTION - MODULE 8 - WARNING SIGNS, SUPPORT AND OUTREACH",2020-05-26T00:00:00.000,2025-12-21T00:00:00.000
9d83a049-4ea0-45af-bc41-a8bf125e2833,COLLABORATIVE POLICING - MEDIATION REFERRAL PROGRAM FOR NON-CRIMINAL COMPLAINTS,2019-06-20T00:00:00.000,2025-12-21T00:00:00.000
862537f5-42e2-426a-b890-6a14fbbee64c,"CUSTOMER SERVICE PROGRAM:  ROLL CALL MODULE 2, COMMUNICATION SKILLS",2021-02-28T00:00:00.000,2025-12-21T00:00:00.000
f09eff01-c53f-44dc-8bdd-1421654ee692,FTS - ANNUAL CEW RECERTIFICATION,2019-09-19T00:00:00.000,2025-12-21T00:00:00.000
0038753c-4dd9-4815-91d7-903342b6877a,OPIOID DANGERS- FENTANYL AND CARFENTANIL,2023-12-22T00:00:00.000,2025-12-21T00:00:00.000
d0fcf834-c311-4982-8282-c65e856ebbda,COMMAND LEVEL TRAINING,2018-02-23T00:00:00.000,2025-12-21T00:00:00.000
99f386a4-0d1f-4df4-95e1-bb11d1bfbe66,CLT-PROPERTY,2022-10-20T00:00:00.000,2025-12-21T00:00:00.000
