dbn,qr_1_1,cap_sc_pct,gender_male_pct,qr_5_1,qr_1_3,gender_female_pct,survey_pp_ri,rating_ela_grade_8_pct_rs,qr_3_4,qr_3_1,survey_pp_se,qr_4_2,qr_1_4,survey_pp_tr
02M545,Proficient,0.0,0.414,Developing,Well Developed,0.586,0.57,3.21,Proficient,Proficient,0.69,Developing,Well Developed,0.73
10X549,Well Developed,0.0,0.546,Well Developed,Well Developed,0.454,0.86,2.55,Well Developed,Well Developed,0.83,Well Developed,Well Developed,0.95
11X253,Proficient,0.013,0.505,Proficient,Proficient,0.495,No Data,2.62,Proficient,Proficient,No Data,Proficient,Proficient,No Data
02M418,Proficient,0.0,0.423,Proficient,Proficient,0.577,0.84,3.79,Well Developed,Proficient,0.83,Proficient,Well Developed,0.88
09X525,Well Developed,0.006,0.534,Proficient,Proficient,0.466,0.67,2.41,Well Developed,Proficient,0.72,Proficient,Proficient,0.59
11X270,Proficient,0.019,0.512,Proficient,Proficient,0.488,No Data,2.59,Proficient,Proficient,No Data,Proficient,Proficient,No Data
02M407,Well Developed,0.0,0.547,Well Developed,Well Developed,0.453,No Data,2.71,Well Developed,Well Developed,No Data,Well Developed,Well Developed,0.96
01M450,Well Developed,0.0,0.495,Well Developed,Well Developed,0.505,No Data,3.03,Well Developed,Proficient,No Data,Well Developed,Well Developed,1
03M403,Proficient,0.005,0.513,Proficient,Well Developed,0.487,0.77,2.73,Well Developed,Proficient,0.82,Well Developed,Well Developed,0.84
04M555,Well Developed,0.0,0.355,No Data,No Data,0.645,0.87,3.5,Well Developed,No Data,0.86,Well Developed,No Data,0.95
10X141,Proficient,0.068,0.508,Proficient,Proficient,0.492,0.74,2.92,Well Developed,Proficient,0.64,Proficient,Well Developed,0.86
03M479,Proficient,0.003,0.374,Proficient,Proficient,0.626,0.86,3.91,Well Developed,Proficient,0.74,Proficient,Well Developed,0.77
03M860,Proficient,0.0,0.585,Proficient,Proficient,0.415,0.72,2.51,Well Developed,Proficient,0.66,Proficient,Well Developed,0.84
04M495,Well Developed,0.0,0.497,Proficient,Well Developed,0.503,No Data,3.02,Well Developed,Proficient,No Data,Well Developed,Well Developed,0.96
11X290,Proficient,0.0,0.318,Proficient,Well Developed,0.682,0.77,2.7,Well Developed,Well Developed,0.66,Proficient,Well Developed,0.87
09X413,Proficient,0.092,0.426,Proficient,Proficient,0.574,0.89,3.04,Proficient,Proficient,0.86,Developing,Proficient,0.98
05M157,Proficient,0.056,0.515,Proficient,Well Developed,0.485,0.7,2.53,Well Developed,Proficient,0.62,Proficient,Well Developed,0.73
02M600,Well Developed,0.035,0.104,Proficient,Well Developed,0.896,0.78,3.06,Well Developed,Proficient,0.76,Well Developed,Well Developed,0.91
06M540,Proficient,0.018,0.488,Proficient,Proficient,0.512,No Data,2.84,Proficient,Proficient,No Data,Proficient,Proficient,No Data
06M346,Proficient,0.002,0.476,Proficient,Well Developed,0.524,0.9,2.87,Well Developed,Well Developed,0.92,Well Developed,Well Developed,0.98
02M135,Well Developed,0.004,0.48,Proficient,Proficient,0.52,0.77,2.86,Proficient,Proficient,0.65,Proficient,Proficient,0.75
02M459,Well Developed,0.003,0.518,Well Developed,Well Developed,0.482,0.85,1.9,Well Developed,Well Developed,0.8,Well Developed,Well Developed,0.94
09X404,Developing,0.004,0.522,Developing,Developing,0.478,0.59,2.27,Developing,Developing,0.57,Developing,Proficient,0.56
09X329,Proficient,0.007,0.432,Proficient,Proficient,0.568,0.9,2.52,Proficient,Proficient,0.87,Well Developed,Well Developed,0.95
10X225,Proficient,0.024,0.321,Proficient,Well Developed,0.679,No Data,2.72,Proficient,Proficient,No Data,Proficient,Well Developed,0.94
02M139,Proficient,0.0,0.627,Well Developed,Well Developed,0.373,0.68,2.71,Well Developed,Well Developed,0.69,Proficient,Well Developed,0.84
10X440,Developing,0.024,0.55,Proficient,Proficient,0.45,0.72,2.8,Proficient,Proficient,0.72,Proficient,Proficient,0.79
02M533,Well Developed,0.002,0.314,Well Developed,Proficient,0.686,0.75,2.84,Well Developed,Well Developed,0.7,Well Developed,Well Developed,0.85
07X500,Proficient,0.005,0.496,Proficient,Proficient,0.504,0.81,3.13,Well Developed,Proficient,0.78,Proficient,Proficient,0.93
04M610,Well Developed,0.0,0.0,Proficient,Well Developed,1.0,0.89,3.3,Well Developed,Proficient,0.83,Proficient,Well Developed,0.9
11X299,Proficient,0.014,0.561,Proficient,Proficient,0.439,0.71,2.76,Proficient,Proficient,0.64,Developing,Developing,0.77
02M420,Proficient,0.003,0.28,Proficient,Proficient,0.72,0.79,3.18,Proficient,Proficient,0.74,Proficient,Well Developed,0.85
02M260,Well Developed,0.002,0.327,Proficient,Well Developed,0.673,No Data,3.69,Well Developed,Proficient,No Data,Proficient,Well Developed,0.87
02M316,Proficient,0.0,0.0,Proficient,Proficient,1.0,No Data,2.87,Proficient,Proficient,No Data,Developing,Proficient,No Data
08X559,Proficient,0.016,0.402,Proficient,Proficient,0.598,0.5,2.36,Proficient,Proficient,0.5,Developing,Developing,0.8
07X221,Well Developed,0.003,0.475,Well Developed,Well Developed,0.525,0.88,2.86,Well Developed,Proficient,0.85,Well Developed,Well Developed,0.95
