school_name,qr_4_1,dates_of_review,iep,survey_pp_sf,ell,survey_pp_es,school_type
School of the Future High School,Proficient,2019-02-01T00:00:00.000,0.212,0.89,0.0,0.86,High School
"Bronx School for Law, Government and Justice",Proficient,2017-10-01T00:00:00.000,0.219,0.91,0.073,0.97,High School
Frank McCourt High School,Proficient,2017-11-01T00:00:00.000,0.211,0.89,0.017,0.88,High School
Quest to Learn,Proficient,2017-03-01T00:00:00.000,0.277,0.92,0.031,0.91,High School
Repertory Company High School for Theatre Arts,Proficient,2019-11-01T00:00:00.000,0.173,0.85,0.0,0.84,High School
High School for Health Careers and Sciences,Proficient,2018-05-01T00:00:00.000,0.187,1,0.411,0.81,High School
Belmont Preparatory High School,Proficient,2018-01-01T00:00:00.000,0.221,0.82,0.087,0.85,High School
"Urban Assembly School for Media Studies, The",Well Developed,2017-05-01T00:00:00.000,0.166,0.93,0.024,0.94,High School
Manhattan Business Academy,No Data,2015-03-03T00:00:00.000,0.197,No Data,0.062,No Data,High School
47 The American Sign Language and English Secondar,No Data,2015-02-12T00:00:00.000,0.246,0.83,0.047,0.64,High School
Knowledge and Power Preparatory Academy Internatio,Well Developed,2020-01-01T00:00:00.000,0.238,0.91,0.095,0.87,High School
Bronx High School for Law and Community Service,Well Developed,2018-05-01T00:00:00.000,0.234,0.88,0.118,0.94,High School
Manhattan Village Academy,No Data,2014-12-09T00:00:00.000,0.146,0.89,0.017,0.9,High School
Bronx International High School,Proficient,2018-05-01T00:00:00.000,0.045,0.86,0.88,0.95,High School
N.Y.C. Museum School,Proficient,2016-12-01T00:00:00.000,0.211,0.81,0.002,0.57,High School
Bronx High School of Business,Proficient,2018-03-01T00:00:00.000,0.238,0.83,0.363,0.78,High School
High School of Arts and Technology,Proficient,2016-10-01T00:00:00.000,0.235,0.59,0.072,0.62,High School
The Urban Assembly School for Green Careers,Well Developed,2018-01-01T00:00:00.000,0.226,0.75,0.108,0.69,High School
Special Music School,Well Developed,2020-01-01T00:00:00.000,0.154,0.95,0.006,0.87,High School
Vanguard High School,Proficient,2019-03-01T00:00:00.000,0.241,No Data,0.024,No Data,High School
Millennium Art Academy,Proficient,2017-03-01T00:00:00.000,0.232,0.91,0.047,0.87,High School
Eleanor Roosevelt High School,Well Developed,2017-04-01T00:00:00.000,0.155,0.87,0.0,0.89,High School
Manhattan Academy For Arts & Language,Proficient,2020-03-01T00:00:00.000,0.095,1,0.6,1,High School
