dbn,school_name,enrollment,qr_2_2,survey_pp_ct,rating_mth_grade_8_pct_rs,qr_1_2
09X324,Bronx Early College Academy for Teaching & Learnin,283,Proficient,No Data,2.86,Proficient
11X418,Bronx High School for the Visual Arts,440,Proficient,0.65,2.36,Developing
04M372,Esperanza Preparatory Academy,313,Proficient,0.85,2.31,Proficient
02M438,International High School at Union Square,351,Proficient,0.95,2.16,Proficient
02M280,Manhattan Early College School for Advertising,445,Proficient,No Data,2.76,Proficient
03M299,The Maxine Greene HS for Imaginative Inquiry,285,Developing,No Data,2.4,Developing
10X264,Bronx Academy for Software Engineering (BASE),396,Developing,No Data,2.59,Proficient
09X297,Morris Academy for Collaborative Studies,432,Proficient,0.93,2.29,Proficient
04M680,"Heritage School, The",311,Proficient,0.9,2.29,Developing
03M541,Manhattan / Hunter Science High School,455,Proficient,0.76,3.98,Well Developed
09X241,Urban Assembly School for Applied Math and Science,341,Developing,0.83,2.76,Proficient
02M374,Gramercy Arts High School,449,Proficient,0.68,2.74,Developing
10X368,In-Tech Academy (M.S. / High School 368),568,Proficient,0.89,2.58,Proficient
11X542,Pelham Preparatory Academy,495,Proficient,0.89,2.59,Proficient
10X284,Bronx School of Law and Finance,392,Developing,0.9,2.38,Developing
02M419,Landmark High School,335,Proficient,No Data,2.36,Proficient
02M519,Talent Unlimited High School,532,Proficient,0.88,3.08,Proficient
09X263,Validus Preparatory Academy,359,Developing,0.78,2.22,Developing
11X249,Bronx Health Sciences High School,287,Proficient,0.91,2.71,Proficient
09X227,Bronx Collegiate Academy,350,Proficient,0.97,2.25,Proficient
08X452,Gotham Collaborative High School,485,Proficient,0.86,2.21,Proficient
07X522,Bronx Design and Construction Academy,382,Proficient,0.72,2.38,Developing
04M435,Manhattan Center for Science and Mathematics,1647,Well Developed,0.96,3.62,Well Developed
09X564,Claremont International HS,363,Proficient,0.98,1.95,Well Developed
09X568,Young Women's Leadership School of the Bronx,290,Proficient,0.88,3.03,Proficient
02M534,Harvest Collegiate High School,440,Proficient,0.81,2.77,Developing
06M211,Inwood Early College for Health and Information Te,459,Developing,0.78,2.71,Developing
08X405,Herbert H. Lehman High School,898,Proficient,No Data,2.52,Developing
09X327,Comprehensive Model School Project M.S. 327,406,Proficient,0.87,2.97,Proficient
02M489,High School of Economics and Finance,738,Proficient,0.8,2.89,Proficient
08X349,Bronx River High School,460,Proficient,0.84,2.33,Proficient
08X320,Pelham Lab High School,450,Proficient,0.78,2.36,Developing
02M615,Chelsea Career and Technical Education High School,449,Proficient,0.78,2.79,Developing
01M448,University Neighborhood High School,492,Well Developed,0.91,3.02,Proficient
02M282,Urban Assembly Maker Academy,435,Proficient,0.89,2.74,Developing
06M462,The College Academy,367,Proficient,0.94,2.15,Proficient
10X696,High School of American Studies at Lehman College,382,Proficient,No Data,4.28,Well Developed
10X353,World View High School,583,Proficient,0.88,2.65,Proficient
08X293,Renaissance High School for Musical Theater and th,431,Proficient,0.92,2.34,Proficient
05M369,Urban Assembly School for the Performing Arts,379,Proficient,No Data,2.33,Proficient
10X351,Bronx Collaborative High School,560,Proficient,0.73,2.46,Proficient
02M425,Leadership and Public Service High School,361,Developing,0.93,2.62,Developing
10X438,Fordham Leadership Academy,373,Proficient,0.81,2.27,Proficient
02M412,N.Y.C. Lab School for Collaborative Studies,514,Proficient,0.89,3.88,Well Developed
08X376,Antonia Pantoja Preparatory Academy: A College Boa,228,Developing,0.88,2.08,Developing
07X495,University Heights Secondary School,581,Proficient,No Data,3.33,Proficient
10X546,Bronx Theatre High School,328,Proficient,0.88,2.2,Developing
08X269,Bronx Studio School for Writers and Artists,326,Developing,0.57,2.27,Developing
01M509,Marta Valle High School,97,Developing,0.93,2.2,Developing
02M542,Manhattan Bridges High School,520,Well Developed,0.85,2.66,Well Developed
02M546,Academy for Software Engineering,453,Proficient,0.86,2.98,Proficient
05M692,"High School for Mathematics, Science and Engineeri",485,Well Developed,No Data,4.27,Well Developed
10X342,International School for Liberal Arts,370,Developing,0.83,2.18,Developing
08X432,Bronx Bridges High School,341,Proficient,0.96,1.91,Developing
05M362,Columbia Secondary School,406,Well Developed,0.82,4.04,Well Developed
10X442,"Celia Cruz Bronx High School of Music, The",441,Proficient,0.87,2.8,Proficient
02M296,High School of Hospitality Management,337,Developing,No Data,2.35,Developing
02M655,Life Sciences Secondary School,394,Developing,0.96,2.46,Developing
09X365,Academy for Language and Technology,331,Well Developed,0.86,2.14,Well Developed
10X237,"The Marie Curie School for Medicine, Nursing, and",383,Proficient,No Data,2.3,Proficient
08X282,Women's Academy of Excellence,230,Proficient,0.91,2.21,Proficient
08X558,Westchester Square Academy,508,Developing,0.78,2.52,Developing
06M293,City College Academy of the Arts,354,Proficient,0.71,3.39,Developing
05M304,Mott Hall High School,239,Proficient,0.71,2.16,Developing
10X477,Marble Hill High School for International Studies,442,Developing,0.91,2.9,Proficient
09X260,Bronx Center for Science and Mathematics,441,Proficient,0.9,2.93,Well Developed
03M291,West End Secondary School,217,Well Developed,0.79,3.39,Well Developed
