dbn,overall_attendance_rate,blended_students_online
02M391,93.2,97.4
02M047,82.7,81.7
02M151,90.6,83.9
01M110,94.0,s
02M002,95.2,93.1
02M340,95.9,93.2
02M531,84.5,87.4
02M412,94.0,96.5
03M250,86.7,79.9
01M515,50.6,
02M114,98.3,99.9
02M411,92.3,98.8
03M165,91.8,97.1
02M427,83.4,95.3
01M363,96.8,95.3
02M529,76.5,93.8
03M247,94.4,69.2
02M630,93.5,99.8
04M057,90.9,99.7
02M316,66.4,61.6
02M104,96.2,96.4
02M300,90.1,82.8
02M534,60.0,67.3
02M449,100.0,s
02M282,74.5,65.6
03M485,83.8,89.8
03M291,95.1,96.1
02M374,96.0,97.2
02M420,74.7,s
02M297,93.6,94.5
02M413,94.1,91.3
02M655,74.7,77.7
03M258,92.0,94.3
03M054,95.1,96.5
02M260,93.3,95.6
02M438,76.5,s
02M419,68.0,71.2
02M570,34.0,47.5
03M862,94.9,95.4
02M545,97.1,s
02M347,89.1,81.0
02M489,84.2,92.4
01M315,94.8,95.3
01M378,94.8,93.9
02M041,96.0,99.4
02M011,96.4,99.2
01M020,92.1,92.9
04M108,85.8,84.0
01M292,80.2,76.3
02M130,99.4,99.0
02M459,75.0,75.9
02M126,96.8,97.8
02M399,72.7,81.8
01M450,97.5,98.8
03M084,95.6,99.8
04M037,88.2,72.6
02M520,91.3,93.5
01M696,95.1,96.5
02M051,89.5,88.0
02M543,79.3,79.1
03M180,87.0,67.9
02M414,94.5,91.9
03M243,98.2,99.6
03M403,75.4,70.5
03M163,94.8,99.8
02M507,94.3,91.1
02M001,92.0,84.9
