school_name,remote_students_online,blended_students_overall
Innovation Diploma Plus,14.8,34.3
P.S. 116 Mary Lindley Murray,90.8,94.1
"Ballet Tech, NYC Public School for Dance",94.9,97.0
P.S. 134 Henrietta Szold,91.6,82.2
The Riverside School for Makers and Artists,79.7,87.0
P.S. 150,96.7,95.0
Stephen T. Mather Building Arts & Craftsmanship Hi,75.2,80.7
Liberty High School Academy for Newcomers,70.3,64.1
The Urban Assembly School for Emergency Management,81.3,88.0
"Urban Assembly Academy of Government and Law, The",89.7,95.0
Urban Assembly New York Harbor School,72.6,83.1
Ella Baker School,99.5,98.3
P.S. 040 Augustus Saint-Gaudens,95.5,96.5
Unity Center for Urban Technologies,87.0,94.5
Union Square Academy for Health Sciences,85.5,70.8
"New Explorations into Science, Technology and Math",94.8,94.4
P.S. 059 Beekman Hill International,95.6,96.2
P.S. 140 Nathan Straus,80.4,78.2
Pace High School,69.9,75.0
Humanities Preparatory Academy,92.7,97.9
Leadership and Public Service High School,93.5,87.0
Talent Unlimited High School,74.7,74.6
Richard R. Green High School of Teaching,72.5,82.8
Manhattan / Hunter Science High School,98.5,98.2
P.S. 075 Emily Dickinson,90.7,93.6
P.S. 527 - East Side School for Social Action,96.5,97.6
Frederick Douglass Academy II Secondary School,89.0,94.8
Hudson High School of Learning Technologies,83.5,82.3
Eleanor Roosevelt High School,98.0,98.5
New York City Lab Middle School for Collaborative,98.8,98.1
West Prep Academy,85.1,90.2
Manhattan Village Academy,97.8,96.9
P.S. 064 Robert Simon,88.0,90.5
Lafayette Academy,61.8,76.5
Battery Park City School,98.8,96.6
High School of Hospitality Management,68.8,76.3
Murray Hill Academy,84.6,66.6
P.S. 77 Lower Lab School,100.0,97.9
P.S. 087 William Sherman,100.0,100.0
Forsyth Satellite Academy,53.2,s
The River School,95.1,94.7
Tompkins Square Middle School,95.8,96.1
NYC iSchool,92.9,93.3
P.S./I.S. 217 Roosevelt Island,95.1,95.8
P.S. 198 Isador E. Ida Straus,97.4,97.1
Earth School,93.5,94.0
The Maxine Greene HS for Imaginative Inquiry,76.4,93.3
P.S. 89,98.5,97.2
Manhattan Early College School for Advertising,79.0,90.2
High School M560 - City As School,32.6,50.0
The Peck Slip School,98.4,95.4
P.S. 234 Independence School,97.1,95.5
Edward A. Reynolds West Side High School,37.8,40.8
P.S. 142 Amalia Castro,92.5,89.5
P.S. 003 Charrette School,97.5,96.2
The Urban Assembly School for Green Careers,73.4,76.2
City Knoll Middle School,81.0,81.1
Quest to Learn,83.0,89.0
P.S. 076 A. Philip Randolph,80.2,88.2
The Children's Workshop School,90.9,94.8
"Urban Assembly School for Media Studies, The",75.3,s
"East Side Elementary School, PS 267",96.7,97.7
P.S. 019 Asher Levy,95.5,93.2
J.H.S. 167 Robert F. Wagner,88.6,92.2
P.S. 184m Shuang Wen,97.6,97.1
Independence High School,28.7,43.2
