dbn,school_name,blended_students_in_person
02M600,The High School of Fashion Industries,89.1
01M650,Cascades High School,95.1
03M494,High School of Arts and Technology,93.0
03M009,P.S. 009 Sarah Anderson,96.1
01M063,The STAR Academy - P.S.63,96.2
04M102,P.S. 102 Jacques Cartier,86.8
02M394,Emma Lazarus High School,85.6
03M199,P.S. 199 Jessie Isador Straus,96.4
02M111,P.S. 111 Adolph S. Ochs,92.4
02M397,Spruce Street School,95.3
03M492,"High School for Law, Advocacy and Community Justic",86.4
01M015,P.S. 015 Roberto Clemente,92.1
02M575,Manhattan Comprehensive Night and Day High School,85.5
02M615,Chelsea Career and Technical Education High School,91.7
04M038,P.S. 38 Roberto Clemente,86.4
03M149,P.S. 149 Sojourner Truth,87.5
02M131,M.S. 131,92.2
02M303,"Facing History School, The",84.5
02M407,Institute for Collaborative Education,100.0
02M006,P.S. 006 Lillie D. Blake,97.1
02M313,"James Baldwin School, The: A School for Expedition",s
02M294,Essex Street Academy,89.1
04M012,Tag Young Scholars,98.0
03M245,M.S. M245 The Computer School,96.1
01M448,University Neighborhood High School,90.7
02M289,I.S. 289,97.9
01M188,P.S. 188 The Island School,86.0
03M242,P.S. 242 - The Young Diplomats Magnet Academy,85.4
04M096,P.S. 096 Joseph Lanzetta,86.3
03M415,Wadleigh Secondary School for the Performing & Vis,100.0
01M034,P.S. 034 Franklin D. Roosevelt,90.1
03M417,Frank McCourt High School,87.6
02M408,Professional Performing Arts High School,98.2
04M007,P.S. 007 Samuel Stern,80.6
02M475,Stuyvesant High School,s
02M392,Manhattan Business Academy,72.3
02M158,P.S. 158 Bayard Taylor,95.1
02M183,P.S. 183 Robert L. Stevenson,95.0
02M418,Millennium High School,s
02M290,P.S. 290 Manhattan New School,97.2
02M124,P.S. 124 Yung Wing,98.4
02M033,P.S. 033 Chelsea Prep,92.9
02M546,Academy for Software Engineering,90.5
02M212,P.S. 212 Midtown West,96.1
03M241,STEM Institute of Manhattan,91.1
03M334,The Anderson School,100.0
02M542,Manhattan Bridges High School,72.3
03M479,Beacon High School,100.0
02M177,Yorkville East Middle School,97.1
02M042,P.S. 042 Benjamin Altman,96.4
04M072,The Lexington Academy,87.6
03M333,P.S. 333 Manhattan School for Children,95.6
02M308,Lower Manhattan Arts Academy,73.2
03M145,"P.S. 145, The Bloomingdale School",88.5
04M083,P.S. 083 Luis Munoz Rivera,90.1
02M393,Business Of Sports School,59.9
02M586,Harvey Milk High School,57.4
02M255,M.S. 255 Salk School of Science,97.5
02M565,Urban Academy Laboratory High School,88.6
02M896,Lower Manhattan Community Middle School,98.2
03M185,The Locke School of Arts and Engineering,91.0
02M400,High School for Environmental Studies,100.0
02M288,Food and Finance High School,85.5
01M332,University Neighborhood Middle School,89.3
03M859,Special Music School,99.4
03M452,P.S. 452,94.6
03M166,P.S. 166 The Richard Rodgers School of The Arts an,95.7
