total_financial_plan_amount,city_funds_financial_plan_amount,total_current_budget_amount,other_categorical_funds_current_budget_amount,state_funds_current_budget_amount,intra_city_sales_funds_current_budget_amount,city_funds_adopted_budget_amount,other_categorical_funds_financial_plan_amount,intra_city_sales_funds_financial_plan_amount,federal_funds_adopted_budget_amount,personal_service_other_than_personal_service_indicator,unit_appropriation_name,inter_fund_agreement_funds_adopted_budget_amount
3790639,3790639,45174888,0,0,0,45174888,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
1,1,0,0,0,0,0,0,0,0,O,CMTEE ON STATE & FED. LEG.,0
4406207,4406207,4558208,0,0,0,5658208,0,0,0,P,PERSONAL SERVICES,0
48223685,48223685,46141596,0,0,0,44845572,0,0,0,O,NYC DOC JAIL OPERATIONS - OTPS,0
1,1,1,0,0,0,1,0,0,0,O,COMMITTEE ON EDUCATION,0
251436,251436,216630,0,0,0,246630,0,0,0,P,PERSONAL SERVICES,0
14103726,12928057,33731343,0,0,0,12323274,0,0,15690826,P,PERSONAL SERVICES,0
0,0,0,0,0,0,0,0,0,204058,P,CRIMINAL JUSTICE PROGRAMS PS,0
10541694,10541694,10200204,0,162589,0,9993894,0,0,0,O,TRAFFIC ENFORCEMENT-OTPS,0
22484,22484,25484,0,0,0,2484,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
117349,117349,267510,0,0,0,267510,0,0,0,O,RENT AND ENERGY,0
1,1,1,0,0,0,1,0,0,0,O,CMTEE ON PARKS REC & CULT,0
57423486,57423486,50870050,0,0,0,50848592,0,0,0,P,PERSONAL SERVICES,0
8601275,8601275,26638948,0,0,0,26638948,0,0,0,P,PERSONAL SERVICES,0
11062273,11062273,11062273,0,0,0,11062273,0,0,0,O,LUMP SUM-BORO OF STATEN ISL,0
1,1,0,0,0,0,0,0,0,0,P,COMMITTEE ON JUVENILE JUSTICE,0
137435,137435,137435,0,0,0,157435,0,0,0,O,OFFICE OF OPERATIONS-OTPS,0
26022,26022,35622,0,0,0,35622,0,0,0,O,OTHER THAN PERSONAL SERVICES,0
20476533,17054722,19664005,0,0,0,16245392,0,0,3325060,P,PROGRAM SERVICES - PS,0
2589981,2589981,3043353,0,0,0,2869728,0,0,0,O,BKLYN CHILDREN'S MUSEUM,0
