city_funds_financial_plan_amount,agency_name,inter_fund_agreement_funds_current_budget_amount,state_funds_financial_plan_amount,agency_number,intra_city_sales_funds_adopted_budget_amount
3790639,CAMPAIGN FINANCE BOARD,0,0,4,0
1,CITY COUNCIL,0,0,102,0
4406207,CITY CLERK,0,0,103,0
48223685,DEPARTMENT OF CORRECTION,0,0,72,0
1,CITY COUNCIL,0,0,102,0
251436,MANHATTAN COMMUNITY BOARD #9,0,0,349,0
12928057,DEPARTMENT OF EMERGENCY MANAGEMENT,0,0,17,0
0,MAYORALTY,0,0,2,0
10541694,POLICE DEPARTMENT,0,0,56,0
22484,BRONX COMMUNITY BOARD #8,0,0,388,0
117349,BROOKLYN COMMUNITY BOARD #14,0,0,484,0
1,CITY COUNCIL,0,0,102,0
57423486,FINANCIAL INFORMATION SERVICE AGENCY,0,0,127,0
8601275,CAMPAIGN FINANCE BOARD,0,0,4,0
11062273,NEW YORK PUBLIC LIBRARY,0,0,37,0
1,CITY COUNCIL,0,0,102,0
137435,MAYORALTY,0,0,2,0
26022,BROOKLYN COMMUNITY BOARD #16,0,0,486,0
17054722,DEPARTMENT OF YOUTH & COMMUNITY DEV,0,0,260,0
2589981,DEPARTMENT OF CULTURAL AFFAIRS,0,0,126,0
6704262,LANDMARKS PRESERVATION COMM.,0,0,136,0
244118547,DEPARTMENT OF YOUTH & COMMUNITY DEV,0,0,260,970000
2271600,DEPARTMENT OF BUILDINGS,0,0,810,0
143752,MANHATTAN COMMUNITY BOARD #3,0,0,343,0
1,CITY COUNCIL,0,0,102,0
88052932,DEPARTMENT OF CORRECTION,0,0,72,0
286925,BRONX COMMUNITY BOARD #11,0,0,391,0
191616715,POLICE DEPARTMENT,0,0,56,0
4593216,DEPARTMENT FOR THE AGING,0,271824,125,0
1,CITY COUNCIL,0,0,102,0
350000,PENSION CONTRIBUTIONS,0,0,95,0
284113,QUEENS COMMUNITY BOARD #7,0,0,437,0
104337285,DEPARTMENT OF INFO TECH & TELECOMM,0,0,858,0
5912936,OFFICE OF ADMINISTRATIVE TAX APPEALS,0,0,21,0
57474820,POLICE DEPARTMENT,0,0,56,0
617545,PUBLIC ADMINISTRATOR-RICHMOND COUNTY,0,0,945,0
