city_funds_current_budget_amount,inter_fund_agreement_funds_financial_plan_amount,total_adopted_budget_amount,community_development_funds_current_budget_amount,state_funds_adopted_budget_amount,community_development_funds_adopted_budget_amount
45174888,0,45174888,0,0,0
0,0,0,0,0,0
4558208,0,5658208,0,0,0
46141596,0,44845572,0,0,0
1,0,1,0,0,0
216630,0,246630,0,0,0
11673274,0,29553032,1135842,0,1538932
0,0,496324,0,292266,0
10037615,0,9993894,0,0,0
25484,0,2484,0,0,0
267510,0,267510,0,0,0
1,0,1,0,0,0
50870050,0,50848592,0,0,0
26638948,0,26638948,0,0,0
11062273,0,11062273,0,0,0
0,0,0,0,0,0
137435,0,157435,0,0,0
35622,0,35622,0,0,0
16245392,0,19664005,93553,0,93553
3043353,0,2869728,0,0,0
6520519,0,7080646,560127,0,560127
255686188,0,307791029,0,0,0
2794700,0,2356200,0,0,0
143752,0,143752,0,0,0
1,0,1,0,0,0
89017733,0,85805000,0,0,0
278951,0,280951,0,0,0
185412130,0,185412130,0,0,0
0,0,0,0,0,0
1,0,1,0,0,0
350000,0,350000,0,0,0
274794,0,277380,0,0,0
107430658,0,107430658,0,0,0
5762426,0,5762426,0,0,0
57157205,0,57157205,0,0,0
609971,0,609971,0,0,0
1,0,1,0,0,0
164341031,0,198393825,0,34095008,0
121472726,0,332326623,0,66045029,0
239108,0,239108,0,0,0
51827,0,51827,0,0,0
4590725,0,4590725,0,0,0
35178474,0,147095953,0,52078311,0
0,0,0,0,0,0
0,0,0,0,0,0
3904381,0,566081,0,0,0
13212,0,13212,0,0,0
69268457,0,69268457,0,0,0
630879,0,854922,525487,0,122900
67020,0,67020,0,0,0
230263,0,230263,0,0,0
10573811,0,10184034,0,0,0
134439,0,134439,0,0,0
27527014,0,23657583,0,0,0
57085,0,57085,0,0,0
15713,0,15713,0,0,0
1156320,0,2290903,0,528533,0
1249603,0,1249603,0,0,0
102770,0,102770,0,0,0
165025002,0,198393825,0,34095008,0
1,0,1,0,0,0
5895562,0,5380995,0,0,0
277847,0,277847,0,0,0
46197563,0,80888419,3246015,16539222,3246015
3215783,0,2115783,0,0,0
12950997,0,17636822,0,706106,0
64236711,0,65301077,0,9584939,0
251705,0,251705,0,0,0
1,0,1,0,0,0
46186,0,46186,0,0,0
2399128,0,2474958,0,0,0
618552,0,618552,0,0,0
100376479,0,169085571,7303830,0,4961737
1272512,0,1241281,0,0,0
18301635,181673,80311424,60061163,0,60061163
70492,0,70492,0,0,0
50426323,0,54309949,0,3717375,0
0,0,0,0,0,0
1,0,1,0,0,0
65132739,0,65132739,0,0,0
63920,0,13920,0,0,0
112411700,0,115750000,0,0,0
35842562,10410352,46047843,0,0,0
42215755,0,41503031,0,261000,0
4058218244,0,7770941390,0,3675372504,0
5199947,360680,8571720,0,0,0
72279450,5873447,62359729,0,0,0
69268457,0,69268457,0,0,0
17293380,0,19583101,0,0,0
3464405,0,3578524,0,0,0
0,0,0,0,0,0
75651945,0,922706411,0,846736496,0
0,0,0,0,0,0
252232,0,275232,0,0,0
261997,0,261997,0,0,0
26138907,0,23657583,0,0,0
293906025,0,293906025,0,0,0
148506016,0,308637326,0,20002723,0
21553538,0,21555652,0,0,0
29757664,0,59339630,0,16093468,0
4558208,0,5658208,0,0,0
1,0,1,0,0,0
113940239,0,76882569,0,0,0
22639442,0,54676186,0,24325181,0
67721933,0,394126896,0,165258724,0
24551187,0,24551187,0,0,0
1,0,1,0,0,0
10615,0,8029,0,0,0
1,0,1,0,0,0
59617524,5307282,64015732,0,0,0
10673272,0,10737520,0,800,0
46219,0,42226,0,0,0
2219036,0,2219036,0,0,0
109230170,0,109230170,0,0,0
154587433,0,354578487,0,69977228,0
1,0,1,0,0,0
2,0,2,0,0,0
252882,0,282222,0,0,0
10449994,0,11712603,0,0,0
1,0,1,0,0,0
6395112,0,6719112,0,0,0
1,0,1,0,0,0
1,0,1,0,0,0
42114,0,42114,0,0,0
300893207,0,300893207,0,0,0
268879,0,268879,0,0,0
9742927,12510291,25393847,1641445,0,1641445
0,0,0,0,0,0
4011497644,0,7770941390,0,3675372504,0
0,0,38049299,0,0,0
9401694,0,9401694,0,0,0
34403,0,34403,0,0,0
19098580,0,31677618,11405576,0,11267508
1202527,0,981541,0,0,0
967623078,0,1086934716,0,0,0
160987814,0,279349956,0,121120431,0
185412130,0,185412130,0,0,0
245047,0,256475,0,0,0
28554,0,28554,0,0,0
22073093,0,22323093,0,0,0
25261447,0,25261447,0,0,0
1,0,1,0,0,0
42161144,0,644840276,0,0,0
24682,0,21182,0,0,0
130911,0,130911,0,0,0
34693,0,23997,0,0,0
308853328,0,1059923978,0,617097905,0
108655,0,108655,0,0,0
0,0,0,0,0,0
274856014,0,284986499,553000,0,553000
2301603,0,2438543,0,0,0
43271632,0,41503031,0,261000,0
160803,0,160803,0,0,0
1,0,1,0,0,0
257581,0,257581,0,0,0
6645176948,0,6782336172,0,83702292,0
1,0,1,0,0,0
632923,0,26468279,0,0,0
11983718,0,11657864,0,0,0
117216,0,117209,0,0,0
79431,0,79431,0,0,0
21741386,0,15054014,2149336,0,675858
83061,0,83061,0,0,0
1,0,1,0,0,0
80528807,135658785,232186910,0,22722215,0
798849147,0,1038484304,0,0,0
236038183,6640339,242754369,0,0,0
1,0,1,0,0,0
1663058,0,1385165,0,0,0
6166582,1041329,7163621,0,0,0
12852373,0,17008519,0,3638920,0
68751623,0,68751623,0,0,0
5869299,0,6269299,0,0,0
0,0,297688,297688,0,297688
25055749,0,269501073,0,0,0
9500765,0,9195300,0,0,0
21202121,0,20787133,0,0,0
1414457,0,1514457,0,100000,0
670001,0,670001,0,0,0
285642,0,2313501,0,613237,0
8,0,8,0,0,0
148506016,0,308637326,0,20002723,0
551139,0,323834,0,0,0
41204639,0,63218998,0,19610265,0
1,0,1,0,0,0
266186,0,266186,0,0,0
231484,0,265124,0,0,0
76327,0,46327,0,0,0
29326930,0,26884108,0,679000,0
80772281,0,104081344,0,23309063,0
271312,0,271312,0,0,0
1,0,1,0,0,0
7188145,0,10068278,0,1336370,0
50779,0,50779,0,0,0
21420562,0,21555652,0,0,0
0,2588198,3215348,0,0,0
30077196,0,32901244,0,437500,0
1191812,0,1065099,0,0,0
18346,0,18346,0,0,0
10592799,0,10184034,0,0,0
