total_financial_plan_amount,city_funds_current_budget_amount,fiscal_year,federal_funds_current_budget_amount,other_categorical_funds_adopted_budget_amount,unit_appropriation_number,community_development_funds_financial_plan_amount
3790639,45174888,2026,0,0,2,0
1,0,2026,0,0,880,0
4406207,4558208,2026,0,0,1,0
48223685,46141596,2026,0,0,7,0
1,1,2026,0,0,825,0
251436,216630,2026,0,0,1,0
14103726,11673274,2026,20922227,0,1,1021913
0,0,2026,0,0,50,0
10541694,10037615,2026,0,0,700,0
22484,25484,2026,0,0,2,0
117349,267510,2026,0,0,3,0
1,1,2026,0,0,860,0
57423486,50870050,2026,0,0,1,0
8601275,26638948,2026,0,0,1,0
11062273,11062273,2026,0,0,5,0
1,0,2026,0,0,653,0
137435,137435,2026,0,0,381,0
26022,35622,2026,0,0,2,0
20476533,16245392,2026,3325060,0,311,96751
2589981,3043353,2026,0,0,9,0
7279649,6520519,2026,0,0,1,575387
299642506,255686188,2026,56456650,0,106,0
2829933,2794700,2026,465278,0,6,0
143752,143752,2026,0,0,3,0
1,1,2026,0,0,870,0
88052932,89017733,2026,0,0,1,0
286925,278951,2026,0,0,1,0
191616715,185412130,2026,0,0,7,0
5649534,0,2026,0,0,8,0
1,1,2026,0,0,815,0
350000,350000,2026,0,0,3,0
284113,274794,2026,0,0,1,0
104337285,107430658,2026,0,0,8,0
5912936,5762426,2026,0,0,1,0
57474820,57157205,2026,0,0,24,0
617545,609971,2026,0,0,1,0
1,1,2026,0,0,633,0
201536418,164341031,2026,0,0,435,0
352181716,121472726,2026,151130024,0,201,0
241040,239108,2026,0,0,1,0
51827,51827,2026,0,0,3,0
4701364,4590725,2026,0,0,1,0
134851602,35178474,2026,60799369,0,2,0
56249438,0,2026,0,0,433,0
75600912,0,2026,0,0,434,0
3904381,3904381,2026,0,0,211,0
13212,13212,2026,0,0,2,0
69958773,69268457,2026,0,0,6,0
862807,630879,2026,504958,0,2,122900
67020,67020,2026,0,0,3,0
234785,230263,2026,0,0,1,0
9184398,10573811,2026,0,0,8,0
134439,134439,2026,0,0,3,0
33019447,27527014,2026,235136,0,8,0
38085,57085,2026,0,0,2,0
15713,15713,2026,0,0,2,0
2384794,1156320,2026,886500,0,6,0
684303,1249603,2026,0,0,2,0
102770,102770,2026,0,0,3,0
201536418,165025002,2026,0,0,435,0
1,1,2026,0,0,820,0
5291828,5895562,2026,0,0,10,0
277847,277847,2026,0,0,7,0
171094499,46197563,2026,14955619,0,112,3246015
1325118,3215783,2026,0,0,2,0
17245120,12950997,2026,4335216,0,1,0
58390654,64236711,2026,2175861,0,117,0
256628,251705,2026,0,0,1,0
1,1,2026,0,0,832,0
46186,46186,2026,0,0,2,0
2398028,2399128,2026,0,0,800,0
683569,618552,2026,0,0,350,0
74841858,100376479,2026,17286217,0,2,7804575
1116123,1272512,2026,0,0,24,0
84296986,18301635,2026,2151409,0,4,61583466
70492,70492,2026,0,0,3,0
57671951,50426323,2026,0,0,204,0
682290,0,2026,0,0,12,0
1,1,2026,0,0,635,0
64190000,65132739,2026,0,0,2,0
4420,63920,2026,0,0,2,0
91661700,112411700,2026,0,0,111,0
47242243,35842562,2026,0,0,2,0
41861615,42215755,2026,0,0,6,0
7843690520,4058218244,2026,14546900,0,401,0
6178494,5199947,2026,3539087,0,1,0
61140378,72279450,2026,0,0,101,0
69958773,69268457,2026,0,0,6,0
17816298,17293380,2026,0,0,7,0
3670088,3464405,2026,0,0,1,0
75600912,0,2026,0,0,434,0
922706411,75651945,2026,0,317970,470,0
1,0,2026,0,0,685,0
260050,252232,2026,0,0,1,0
268718,261997,2026,0,0,1,0
33173094,26138907,2026,235136,0,8,0
299904143,293906025,2026,2891602,0,4,0
321172427,148506016,2026,148265550,0,203,0
20747290,21553538,2026,450522,0,7,0
60238720,29757664,2026,11089769,238916,108,0
4406207,4558208,2026,0,0,1,0
1,1,2026,0,0,635,0
77021437,113940239,2026,0,0,2,0
43940094,22639442,2026,2886262,0,118,0
404363787,67721933,2026,160186038,0,1,0
24551187,24551187,2026,0,0,4,0
1,1,2026,0,0,675,0
8029,10615,2026,0,0,2,0
1,1,2026,0,0,890,0
66359343,59617524,2026,0,0,1,0
11152059,10673272,2026,342018,0,2,0
34226,46219,2026,0,0,2,0
3126330,2219036,2026,4070,0,9,0
113874573,109230170,2026,0,0,2,0
249661555,154587433,2026,132528880,0,105,0
1,1,2026,0,0,652,0
1,2,2026,0,0,816,0
282225,252882,2026,0,29340,2,0
12034553,10449994,2026,0,0,400,0
0,1,2026,0,0,617,0
6719112,6395112,2026,0,324000,62,0
0,1,2026,0,0,817,0
1,1,2026,0,0,825,0
42114,42114,2026,0,0,2,0
303109884,300893207,2026,0,0,8,0
275476,268879,2026,0,0,1,0
27051686,9742927,2026,922152,0,6,1684223
30156000,0,2026,0,0,11,0
8002334393,4011497644,2026,14546900,0,401,0
38049299,0,2026,68743970,0,108,0
2664047,9401694,2026,0,0,5,0
41003,34403,2026,0,0,3,0
33155746,19098580,2026,1746359,0,1,11528509
972674,1202527,2026,0,0,2,0
1094651354,967623078,2026,0,0,1,0
290729500,160987814,2026,0,0,415,0
191870273,185412130,2026,0,0,7,0
260873,245047,2026,0,0,1,0
13554,28554,2026,0,0,2,0
23014613,22073093,2026,0,0,2,0
27868919,25261447,2026,2734889,0,116,0
1,1,2026,0,0,640,0
667379483,42161144,2026,670899582,0,13,0
16182,24682,2026,0,0,2,0
130911,130911,2026,0,0,3,0
12997,34693,2026,0,0,2,0
784936624,308853328,2026,0,0,402,0
108655,108655,2026,0,0,3,0
1,0,2026,0,0,680,0
387410300,274856014,2026,2291070,3000000,202,553000
2454788,2301603,2026,133200,0,210,0
39710826,43271632,2026,0,0,6,0
160803,160803,2026,0,0,3,0
1,1,2026,0,0,830,0
262600,257581,2026,0,0,1,0
6622057844,6645176948,2026,53456932,0,104,0
0,1,2026,0,0,848,0
28995306,632923,2026,27393374,34519,3,0
11890977,11983718,2026,0,0,1,0
117209,117216,2026,0,0,3,0
79431,79431,2026,0,0,3,0
17451071,21741386,2026,718400,0,2,3456888
83061,83061,2026,0,0,3,0
1,1,2026,0,0,830,0
245440200,80528807,2026,198611,0,2,0
1676235616,798849147,2026,136940676,0,6,0
247860474,236038183,2026,0,0,8,0
1,1,2026,0,0,857,0
1629670,1663058,2026,0,0,200,0
6492005,6166582,2026,0,0,380,0
17358432,12852373,2026,517226,0,3,0
69853711,68751623,2026,0,0,1,0
6354794,5869299,2026,0,0,1,0
297688,0,2026,0,0,4,297688
300261198,25055749,2026,1968263,0,3,0
8908322,9500765,2026,0,0,5,0
22410112,21202121,2026,0,0,6,0
1514457,1414457,2026,0,0,3,0
678895,670001,2026,0,0,1,0
2411614,285642,2026,1414622,0,9,0
8,8,2026,0,0,561,0
338565412,148506016,2026,148481845,0,203,0
324627,551139,2026,0,0,2,0
72061493,41204639,2026,6215758,0,101,0
1,1,2026,0,0,673,0
270669,266186,2026,0,0,1,0
244884,231484,2026,0,0,1,0
31327,76327,2026,0,0,2,0
29938155,29326930,2026,0,0,9,0
107608680,80772281,2026,0,0,474,0
277335,271312,2026,0,0,1,0
1,1,2026,0,0,673,0
9939927,7188145,2026,5547512,0,119,0
50779,50779,2026,0,0,3,0
18717180,21420562,2026,450522,0,7,0
2588198,0,2026,6120,0,10,0
33832378,30077196,2026,0,0,3,0
696687,1191812,2026,0,0,15,0
